Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001862,9.680672,[15 57] ; [13 11],[21. 51.] ; [ 7. 17.],0
p11,1,0.025724,4.974507,[26 49] ; [15 10],[30.75 44.25] ; [10.25 14.75],0
p8,1,0.03827,4.292973,[10 64] ; [ 8 17],[13.45454545 60.54545455] ; [ 4.54545455 20.45454545],0
p1,1,0.497237,0.460829,[ 6 69] ; [ 1 24],[ 5.25 69.75] ; [ 1.75 23.25],0
p3,1,0.780439,0.0777,[17 58] ; [ 5 20],[16.5 58.5] ; [ 5.5 19.5],0
b1,1,0.907162,0.0136,[43 32] ; [14 11],[42.75 32.25] ; [14.25 10.75],0
