Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.056807,3.628234,[40 15] ; [7 8],[36.92857143 18.07142857] ; [10.07142857  4.92857143],0
a6,1,0.064051,3.429253,[38 17] ; [7 9],[34.85915493 20.14084507] ; [10.14084507  5.85915493],0
s8,1,0.081145,3.041819,[12 43] ; [7 9],[14.71830986 40.28169014] ; [ 4.28169014 11.71830986],0
n1,1,0.111219,2.536813,[ 3 11] ; [3 2],[4.42105263 9.57894737] ; [1.57894737 3.42105263],0
s7,1,0.117819,2.44608,[15 37] ; [8 8],[17.58823529 34.41176471] ; [ 5.41176471 10.58823529],0
s3,1,0.130881,2.282022,[19 35] ; [9 7],[21.6 32.4] ; [6.4 9.6],0
p10,1,0.158156,1.991765,[14 41] ; [7 9],[16.26760563 38.73239437] ; [ 4.73239437 11.26760563],0
d2,1,0.166889,1.91067,[22 33] ; [9 6],[24.35714286 30.64285714] ; [6.64285714 8.35714286],0
a4,1,0.209686,1.573595,[15 40] ; [7 9],[17.04225352 37.95774648] ; [ 4.95774648 11.04225352],0
r1,1,0.222944,1.485319,[40 15] ; [14  2],[41.83098592 13.16901408] ; [12.16901408  3.83098592],0
s2,1,0.225578,1.468531,[18 36] ; [8 8],[20.05714286 33.94285714] ; [ 5.94285714 10.05714286],0
s6,1,0.230019,1.440747,[25 30] ; [10  6],[27.11267606 27.88732394] ; [7.88732394 8.11267606],0
d5,1,0.275022,1.191524,[41 14] ; [14  2],[42.6056338 12.3943662] ; [12.3943662  3.6056338],0
u3,1,0.326109,0.964286,[10 10] ; [2 5],[ 8.88888889 11.11111111] ; [3.11111111 3.88888889],0
p1,1,0.332324,0.939821,[ 3 52] ; [ 2 14],[ 3.87323944 51.12676056] ; [ 1.12676056 14.87323944],0
p3,1,0.37297,0.793747,[20 34] ; [ 4 12],[18.51428571 35.48571429] ; [ 5.48571429 10.51428571],0
b5,1,0.397306,0.716465,[34 21] ; [8 8],[32.53521127 22.46478873] ; [9.46478873 6.53521127],0
u1,1,0.40671,0.688398,[ 6 49] ; [ 3 13],[ 6.97183099 48.02816901] ; [ 2.02816901 13.97183099],0
d1,1,0.413265,0.669389,[28 27] ; [10  6],[29.43661972 25.56338028] ; [8.56338028 7.43661972],0
b3,1,0.420153,0.649888,[11 20] ; [ 3 10],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
b2,1,0.420153,0.649888,[11 20] ; [ 3 10],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
b4,1,0.522048,0.409846,[39 16] ; [10  6],[37.95774648 17.04225352] ; [11.04225352  4.95774648],0
p8,1,0.525718,0.402662,[22 33] ; [ 5 11],[20.91549296 34.08450704] ; [6.08450704 9.91549296],0
n6,1,0.556341,0.346079,[37 18] ; [12  4],[37.95774648 17.04225352] ; [11.04225352  4.95774648],0
b1,1,0.572316,0.318823,[30 25] ; [10  6],[30.98591549 24.01408451] ; [9.01408451 6.98591549],0
a3,1,0.59219,0.286937,[35 20] ; [9 7],[34.08450704 20.91549296] ; [9.91549296 6.08450704],0
n2,1,0.636982,0.222711,[10  4] ; [3 2],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
d4,1,0.658743,0.195054,[45 10] ; [13  2],[45.57142857  9.42857143] ; [12.42857143  2.57142857],0
p2,1,0.661858,0.191275,[31 24] ; [10  6],[31.76056338 23.23943662] ; [9.23943662 6.76056338],0
p4,1,0.695205,0.153509,[24 30] ; [8 8],[24.68571429 29.31428571] ; [7.31428571 8.68571429],0
a8,1,0.699868,0.148609,[ 5 42] ; [ 1 13],[ 4.62295082 42.37704918] ; [ 1.37704918 12.62295082],0
p11,1,0.706622,0.141674,[28 27] ; [9 7],[28.66197183 26.33802817] ; [8.33802817 7.66197183],0
s4,1,0.719161,0.129298,[ 5 50] ; [ 1 15],[ 4.64788732 50.35211268] ; [ 1.35211268 14.64788732],0
d3,1,0.722434,0.126173,[37 18] ; [10  6],[36.4084507 18.5915493] ; [10.5915493  5.4084507],0
n3,1,0.786648,0.07326,[10  5] ; [3 2],[9.75 5.25] ; [3.25 1.75],0
n4,1,0.806253,0.060154,[36 19] ; [11  5],[36.4084507 18.5915493] ; [10.5915493  5.4084507],0
p7,1,0.819304,0.052185,[27 27] ; [8 7],[27.39130435 26.60869565] ; [7.60869565 7.39130435],0
a2,1,0.82262,0.050255,[ 9 46] ; [ 3 13],[ 9.29577465 45.70422535] ; [ 2.70422535 13.29577465],0
r4,1,0.856577,0.032665,[40 15] ; [12  4],[40.28169014 14.71830986] ; [11.71830986  4.28169014],0
a5,1,0.857079,0.032434,[33 22] ; [10  6],[33.30985915 21.69014085] ; [9.69014085 6.30985915],0
s1,1,0.90333,0.014752,[ 3 52] ; [ 1 15],[ 3.09859155 51.90140845] ; [ 0.90140845 15.09859155],0
u2,1,0.910443,0.012652,[10  9] ; [3 3],[9.88 9.12] ; [3.12 2.88],0
v3,1,0.913961,0.011673,[24 29] ; [7 9],[23.8115942 29.1884058] ; [7.1884058 8.8115942],0
v1,1,0.948957,0.004098,[27 28] ; [8 8],[27.11267606 27.88732394] ; [7.88732394 8.11267606],0
n5,1,0.948957,0.004098,[27 28] ; [8 8],[27.11267606 27.88732394] ; [7.88732394 8.11267606],0
p6,1,0.949113,0.004073,[11 42] ; [ 3 12],[10.91176471 42.08823529] ; [ 3.08823529 11.91176471],0
v4,1,0.980813,0.000578,[48  7] ; [14  2],[48.02816901  6.97183099] ; [13.97183099  2.02816901],0
