Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,25.579536,[71 15] ; [10 20],[60.05172414 25.94827586] ; [20.94827586  9.05172414],1
n6,1,0.001275,10.377831,[70 16] ; [16 15],[63.21367521 22.78632479] ; [22.78632479  8.21367521],0
p10,1,0.00671,7.348979,[63 21] ; [15 16],[56.97391304 27.02608696] ; [21.02608696  9.97391304],0
s8,1,0.008936,6.835551,[33 53] ; [ 4 27],[27.1965812 58.8034188] ; [ 9.8034188 21.1965812],0
p11,1,0.014403,5.988013,[67 19] ; [17 14],[61.74358974 24.25641026] ; [22.25641026  8.74358974],0
p6,1,0.018203,5.576459,[28 57] ; [ 3 26],[23.11403509 61.88596491] ; [ 7.88596491 21.11403509],0
s5,1,0.077359,3.119534,[ 8 73] ; [ 7 24],[10.84821429 70.15178571] ; [ 4.15178571 26.84821429],0
s1,1,0.088652,2.898687,[ 2 82] ; [ 3 28],[ 3.65217391 80.34782609] ; [ 1.34782609 29.65217391],0
r4,1,0.092062,2.837952,[75 11] ; [23  8],[72.03418803 13.96581197] ; [25.96581197  5.03418803],0
d4,1,0.120153,2.415329,[59 27] ; [25  5],[62.27586207 23.72413793] ; [21.72413793  8.27586207],0
b5,1,0.120758,2.407459,[50 36] ; [13 18],[46.30769231 39.69230769] ; [16.69230769 14.30769231],0
r1,1,0.139049,2.188457,[64 21] ; [19 12],[60.81896552 24.18103448] ; [22.18103448  8.81896552],0
p8,1,0.139447,2.184046,[45 41] ; [11 19],[41.51724138 44.48275862] ; [14.48275862 15.51724138],0
d2,1,0.140693,2.170361,[34 52] ; [17 14],[37.48717949 48.51282051] ; [13.51282051 17.48717949],0
n2,1,0.160475,1.969742,[17  4] ; [7 5],[15.27272727  5.72727273] ; [8.72727273 3.27272727],0
n1,1,0.163309,1.94332,[10 10] ; [3 9],[ 8.125 11.875] ; [4.875 7.125],0
p9,1,0.167515,1.905043,[64 22] ; [19 12],[61.00854701 24.99145299] ; [21.99145299  9.00854701],0
p5,1,0.181815,1.782723,[10 76] ; [ 1 29],[ 8.15517241 77.84482759] ; [ 2.84482759 27.15517241],0
d5,1,0.212244,1.556056,[63 23] ; [19 12],[60.27350427 25.72649573] ; [21.72649573  9.27350427],0
n3,1,0.213731,1.545974,[12  8] ; [9 2],[13.5483871  6.4516129] ; [7.4516129 3.5483871],0
r2,1,0.218138,1.516581,[79  5] ; [27  4],[77.42608696  6.57391304] ; [28.57391304  2.42608696],0
s6,1,0.264717,1.24392,[53 31] ; [16 15],[50.4 33.6] ; [18.6 12.4],0
s7,1,0.266931,1.232452,[29 53] ; [ 7 22],[26.59459459 55.40540541] ; [ 9.40540541 19.59459459],0
a4,1,0.275813,1.187605,[29 56] ; [14 17],[31.50862069 53.49137931] ; [11.49137931 19.50862069],0
a5,1,0.311154,1.025773,[56 30] ; [17 14],[53.65811966 32.34188034] ; [19.34188034 11.65811966],0
p2,1,0.315037,1.009438,[71 15] ; [23  8],[69.09401709 16.90598291] ; [24.90598291  6.09401709],0
a6,1,0.32238,0.979265,[61 25] ; [19 12],[58.8034188 27.1965812] ; [21.1965812  9.8034188],0
p3,1,0.349567,0.875028,[40 46] ; [11 19],[37.81034483 48.18965517] ; [13.18965517 16.81034483],0
a2,1,0.371197,0.799654,[14 72] ; [ 3 28],[12.4957265 73.5042735] ; [ 4.5042735 26.4957265],0
v4,1,0.381379,0.766252,[76  9] ; [25  5],[74.65217391 10.34782609] ; [26.34782609  3.65217391],0
u2,1,0.388395,0.743961,[14 18] ; [7 5],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
s4,1,0.404832,0.693928,[ 9 77] ; [ 5 26],[10.29059829 75.70940171] ; [ 3.70940171 27.29059829],0
r3,1,0.46496,0.533929,[81  5] ; [28  3],[80.11965812  5.88034188] ; [28.88034188  2.11965812],0
a1,1,0.484332,0.489093,[ 3 83] ; [ 2 29],[ 3.67521368 82.32478632] ; [ 1.32478632 29.67521368],0
a7,1,0.485061,0.487463,[56 30] ; [18 13],[54.39316239 31.60683761] ; [19.60683761 11.39316239],0
