Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,52.127019,[431  76] ; [87 64],[399.12765957 107.87234043] ; [118.87234043  32.12765957],1
p9,1,0.0,49.882822,[438  67] ; [92 59],[408.00304878  96.99695122] ; [121.99695122  29.00304878],1
r3,1,0.0,35.236966,[502   7] ; [134  18],[489.74886536  19.25113464] ; [146.25113464   5.74886536],1
p2,1,0.0,34.078009,[442  67] ; [102  52],[417.64102564  91.35897436] ; [126.35897436  27.64102564],1
n6,1,0.0,29.341348,[439  70] ; [101  50],[416.45454545  92.54545455] ; [123.54545455  27.45454545],1
r4,1,0.0,28.179916,[497  14] ; [133  21],[484.10526316  26.89473684] ; [145.89473684   8.10526316],1
p8,1,1e-06,23.326306,[276 226] ; [ 50 103],[249.85038168 252.14961832] ; [76.14961832 76.85038168],1
p7,1,3e-06,21.870356,[332 165] ; [69 82],[307.55709877 189.44290123] ; [93.44290123 57.55709877],1
n4,1,9e-06,19.745418,[409 101] ; [96 57],[388.46153846 121.53846154] ; [116.53846154  36.46153846],1
b1,1,2.7e-05,17.608795,[173 338] ; [81 73],[195.17894737 315.82105263] ; [58.82105263 95.17894737],1
n5,1,3.5e-05,17.147352,[387 120] ; [90 62],[366.97875569 140.02124431] ; [110.02124431  41.97875569],1
v4,1,9.6e-05,15.214428,[495  13] ; [138  15],[486.48108926  21.51891074] ; [146.51891074   6.48108926],1
s1,1,0.000415,12.464054,[ 10 491] ; [ 12 140],[ 16.87901991 484.12098009] ; [  5.12098009 146.87901991],1
p4,1,0.000534,11.994565,[303 205] ; [67 86],[284.3570348 223.6429652] ; [85.6429652 67.3570348],1
v1,1,0.009103,6.802506,[278 220] ; [67 86],[263.91705069 234.08294931] ; [81.08294931 71.91705069],0
p3,1,0.01603,5.799592,[245 265] ; [57 97],[231.95783133 278.04216867] ; [70.04216867 83.95783133],0
p12,1,0.021195,5.310701,[ 35 471] ; [  3 150],[ 29.17754173 476.82245827] ; [  8.82245827 144.17754173],0
r2,1,0.045601,3.996282,[493  13] ; [144   9],[489.107739  16.892261] ; [147.892261   5.107739],0
