Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3e-06,21.736566,[ 22 217] ; [6 5],[ 26.768 212.232] ; [1.232 9.768],1
p4,1,0.002018,9.5328,[ 86 155] ; [9 2],[ 90.8531746 150.1468254] ; [4.1468254 6.8531746],0
v1,1,0.003718,8.416754,[ 92 150] ; [9 2],[ 96.60869565 145.39130435] ; [4.39130435 6.60869565],0
p3,1,0.025209,5.009481,[ 76 167] ; [7 4],[ 79.40551181 163.59448819] ; [3.59448819 7.40551181],0
p1,1,0.037368,4.333542,[ 21 224] ; [3 8],[ 22.96875 222.03125] ; [1.03125 9.96875],0
p10,1,0.048902,3.87873,[149  93] ; [10  1],[152.08695652  89.91304348] ; [6.91304348 4.08695652],0
v3,1,0.053074,3.741599,[ 65 171] ; [6 5],[ 67.83805668 168.16194332] ; [3.16194332 7.83805668],0
v2,1,0.072567,3.223979,[106 129] ; [8 3],[108.90243902 126.09756098] ; [5.09756098 5.90243902],0
p7,1,0.088192,2.907061,[112 129] ; [8 3],[114.76190476 126.23809524] ; [5.23809524 5.76190476],0
p9,1,0.098817,2.72453,[162  79] ; [10  1],[164.49206349  76.50793651] ; [7.50793651 3.49206349],0
d1,1,0.099398,2.715175,[116 129] ; [8 3],[118.671875 126.328125] ; [5.328125 5.671875],0
b3,1,0.108513,2.575741,[49 93] ; [5 3],[51.12 90.88] ; [2.88 5.12],0
b2,1,0.108513,2.575741,[49 93] ; [5 3],[51.12 90.88] ; [2.88 5.12],0
p12,1,0.131764,2.271594,[  5 239] ; [ 1 10],[  5.74117647 238.25882353] ; [ 0.25882353 10.74117647],0
p2,1,0.147491,2.098013,[167  77] ; [9 1],[169.07086614  74.92913386] ; [6.92913386 3.07086614],0
d2,1,0.15927,1.981142,[102 140] ; [7 4],[104.26086957 137.73913043] ; [4.73913043 6.26086957],0
p8,1,0.276061,1.186379,[ 92 149] ; [6 5],[ 93.72222222 147.27777778] ; [4.27777778 6.72222222],0
s1,1,0.373481,0.792049,[  9 232] ; [ 1 10],[  9.56349206 231.43650794] ; [ 0.43650794 10.56349206],0
r4,1,0.37362,0.791589,[185  60] ; [7 4],[183.75  61.25] ; [8.25 2.75],0
a5,1,0.384011,0.757821,[146  99] ; [8 3],[147.3828125  97.6171875] ; [6.6171875 4.3828125],0
b1,1,0.396241,0.719704,[102 143] ; [6 5],[103.359375 141.640625] ; [4.640625 6.359375],0
b5,1,0.396241,0.719704,[143 102] ; [5 6],[141.640625 103.359375] ; [6.359375 4.640625],0
s8,1,0.399389,0.710164,[ 25 220] ; [2 9],[ 25.83984375 219.16015625] ; [1.16015625 9.83984375],0
a7,1,0.411866,0.673409,[161  81] ; [6 5],[159.73913043  82.26086957] ; [7.26086957 3.73913043],0
r1,1,0.42344,0.640749,[161  82] ; [6 5],[159.76771654  83.23228346] ; [7.23228346 3.76771654],0
a3,1,0.4308,0.620666,[148  95] ; [8 3],[149.24409449  93.75590551] ; [6.75590551 4.24409449],0
d4,1,0.481287,0.495946,[176  68] ; [9 2],[177.01960784  66.98039216] ; [7.98039216 3.01960784],0
n5,1,0.504642,0.445161,[152  90] ; [8 3],[153.04347826  88.95652174] ; [6.95652174 4.04347826],0
a2,1,0.562188,0.33593,[ 38 207] ; [ 1 10],[ 37.32421875 207.67578125] ; [1.67578125 9.32421875],0
s2,1,0.632929,0.228109,[ 32 211] ; [2 9],[ 32.52755906 210.47244094] ; [1.47244094 9.52755906],0
v4,1,0.692297,0.15661,[210  34] ; [9 2],[209.55294118  34.44705882] ; [9.44705882 1.55294118],0
d3,1,0.712002,0.136286,[141 102] ; [7 4],[141.59055118 101.40944882] ; [6.40944882 4.59055118],0
r3,1,0.732802,0.116554,[207  35] ; [9 2],[206.60869565  35.39130435] ; [9.39130435 1.60869565],0
r2,1,0.736844,0.11292,[210  30] ; [10  1],[210.35856574  29.64143426] ; [9.64143426 1.35856574],0
s3,1,0.788427,0.072014,[ 52 189] ; [2 9],[ 51.64285714 189.35714286] ; [2.35714286 8.64285714],0
b4,1,0.886027,0.020544,[139 106] ; [6 5],[138.76953125 106.23046875] ; [6.23046875 4.76953125],0
n1,1,0.889124,0.019436,[21 50] ; [1 2],[21.10810811 49.89189189] ; [0.89189189 2.10810811],0
n4,1,0.894814,0.017481,[160  84] ; [7 4],[159.79607843  84.20392157] ; [7.20392157 3.79607843],0
n2,1,0.921766,0.009645,[46 26] ; [2 1],[46.08 25.92] ; [1.92 1.08],0
n3,1,0.921766,0.009645,[46 26] ; [2 1],[46.08 25.92] ; [1.92 1.08],0
p6,1,0.926099,0.008603,[ 45 194] ; [2 8],[ 45.1124498 193.8875502] ; [1.8875502 8.1124498],0
n6,1,0.928431,0.008068,[174  70] ; [7 3],[173.87401575  70.12598425] ; [7.12598425 2.87401575],0
a6,1,0.953868,0.003347,[158  87] ; [7 4],[157.91015625  87.08984375] ; [7.08984375 3.91015625],0
a4,1,0.993989,5.7e-05,[ 89 155] ; [4 7],[ 88.98823529 155.01176471] ; [4.01176471 6.98823529],0
