Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,119.439655,[215 143] ; [ 45 225],[148.21656051 209.78343949] ; [111.78343949 158.21656051],1
v1,1,0.0,61.286557,[248 109] ; [102 166],[199.92 157.08] ; [150.08 117.92],1
r1,1,0.000285,13.163989,[311  54] ; [198  71],[293.0362776  71.9637224] ; [215.9637224  53.0362776],1
d1,1,0.001005,10.81805,[241 124] ; [144 127],[220.95125786 144.04874214] ; [164.04874214 106.95125786],0
a3,1,0.00121,10.475234,[283  81] ; [178  91],[265.09320695  98.90679305] ; [195.90679305  73.09320695],0
d4,1,0.001911,9.632925,[316  48] ; [209  61],[301.41955836  62.58044164] ; [223.58044164  46.41955836],0
a5,1,0.001971,9.576641,[291  74] ; [187  84],[274.32389937  90.67610063] ; [203.67610063  67.32389937],0
s4,1,0.002522,9.124738,[ 45 317] ; [ 57 209],[ 58.79617834 303.20382166] ; [ 43.20382166 222.79617834],0
u1,1,0.005608,7.672186,[ 83 282] ; [ 38 233],[ 69.4418239 295.5581761] ; [ 51.5581761 219.4418239],0
a6,1,0.006964,7.282298,[260 104] ; [166 105],[244.19527559 119.80472441] ; [181.80472441  89.19527559],0
r3,1,0.007629,7.118564,[356   7] ; [253  16],[349.78955696  13.21044304] ; [259.21044304   9.78955696],0
a2,1,0.008707,6.881971,[103 262] ; [ 52 219],[ 88.95440252 276.04559748] ; [ 66.04559748 204.95440252],0
d2,1,0.009214,6.780925,[196 167] ; [118 153],[179.78233438 183.21766562] ; [134.21766562 136.78233438],0
s8,1,0.009391,6.746977,[182 179] ; [108 162],[165.91125198 195.08874802] ; [124.08874802 145.91125198],0
p3,1,0.013045,6.162952,[212 153] ; [130 140],[196.58267717 168.41732283] ; [145.41732283 124.58267717],0
r4,1,0.014552,5.969953,[342  23] ; [239  32],[333.43553459  31.56446541] ; [247.56446541  23.43553459],0
d3,1,0.018453,5.552642,[272  93] ; [178  92],[258.66141732 106.33858268] ; [191.33858268  78.66141732],0
p11,1,0.019758,5.43315,[315  50] ; [215  56],[304.16666667  60.83333333] ; [225.83333333  45.16666667],0
a7,1,0.047389,3.931507,[277  86] ; [187  83],[266.08530806  96.91469194] ; [197.91469194  72.08530806],0
n4,1,0.048081,3.907145,[308  56] ; [212  58],[298.5488959  65.4511041] ; [221.4511041  48.5488959],0
s7,1,0.051061,3.806278,[194 152] ; [126 136],[182.10526316 163.89473684] ; [137.89473684 124.10526316],0
d5,1,0.062323,3.474464,[311  54] ; [214  55],[302.24763407  62.75236593] ; [222.75236593  46.24763407],0
p9,1,0.069906,3.285235,[328  32] ; [232  36],[321.01910828  38.98089172] ; [238.98089172  29.01910828],0
n3,1,0.075958,3.149337,[53 13] ; [44 22],[48.5 17.5] ; [48.5 17.5],0
p7,1,0.079753,3.069929,[259  98] ; [177  91],[249.0432 107.9568] ; [186.9568  81.0432],0
b1,1,0.083767,2.990246,[116 249] ; [104 167],[126.25786164 238.74213836] ; [ 93.74213836 177.25786164],0
