Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.1e-05,15.771093,[155  85] ; [19 35],[142.04081633  97.95918367] ; [31.95918367 22.04081633],1
p10,1,0.000101,15.117041,[222  20] ; [37 14],[213.91808874  28.08191126] ; [45.08191126  5.91808874],1
p7,1,0.002632,9.0464,[172  61] ; [28 25],[162.93706294  70.06293706] ; [37.06293706 15.93706294],0
d4,1,0.006265,7.472488,[214  28] ; [40 14],[207.66216216  34.33783784] ; [46.33783784  7.66216216],0
v3,1,0.012187,6.283454,[113 119] ; [15 36],[104.93286219 127.06713781] ; [23.06713781 27.93286219],0
p1,1,0.014687,5.953587,[ 22 220] ; [11 42],[ 27.07118644 214.92881356] ; [ 5.92881356 47.07118644],0
p3,1,0.022956,5.171825,[149  94] ; [24 30],[141.54545455 101.45454545] ; [31.45454545 22.54545455],0
a5,1,0.029913,4.714286,[195  48] ; [36 18],[189.  54.] ; [42. 12.],0
n4,1,0.030329,4.690527,[204  39] ; [37 15],[198.51864407  44.48135593] ; [42.48135593  9.51864407],0
p9,1,0.065528,3.391625,[225  18] ; [44  8],[221.58305085  21.41694915] ; [47.41694915  4.58305085],0
b1,1,0.072348,3.228925,[ 98 145] ; [29 25],[103.90909091 139.09090909] ; [23.09090909 30.90909091],0
n5,1,0.089102,2.890523,[203  40] ; [39 14],[198.66891892  44.33108108] ; [43.33108108  9.66891892],0
r3,1,0.111103,2.538462,[236   7] ; [50  4],[234.   9.] ; [52.  2.],0
b3,1,0.173605,1.851532,[76 96] ; [10 22],[72.50980392 99.49019608] ; [13.49019608 18.50980392],0
b2,1,0.173605,1.851532,[76 96] ; [10 22],[72.50980392 99.49019608] ; [13.49019608 18.50980392],0
a1,1,0.175689,1.833718,[ 16 227] ; [ 1 53],[ 13.90909091 229.09090909] ; [ 3.09090909 50.90909091],0
p12,1,0.197391,1.661571,[ 34 207] ; [ 4 49],[ 31.14965986 209.85034014] ; [ 6.85034014 46.14965986],0
a7,1,0.198465,1.653636,[162  80] ; [41 13],[165.96621622  76.03378378] ; [37.03378378 16.96621622],0
s5,1,0.199809,1.643773,[106 124] ; [27 21],[110.03597122 119.96402878] ; [22.96402878 25.03597122],0
b4,1,0.20512,1.605537,[140 103] ; [26 28],[135.81818182 107.18181818] ; [30.18181818 23.81818182],0
p6,1,0.24079,1.375961,[114 125] ; [21 33],[110.11945392 128.88054608] ; [24.88054608 29.11945392],0
s4,1,0.25335,1.304738,[ 50 192] ; [15 39],[ 53.14189189 188.85810811] ; [11.85810811 42.14189189],0
r1,1,0.281013,1.162183,[200  42] ; [47  6],[202.62372881  39.37627119] ; [44.37627119  8.62372881],0
a3,1,0.28531,1.141623,[195  47] ; [40 14],[192.12837838  49.87162162] ; [42.87162162 11.12837838],0
p4,1,0.289409,1.122369,[166  76] ; [33 21],[162.69594595  79.30405405] ; [36.30405405 17.69594595],0
a4,1,0.297808,1.083985,[118 125] ; [22 32],[114.54545455 128.45454545] ; [25.45454545 28.54545455],0
n6,1,0.336947,0.922012,[217  26] ; [44  8],[214.99322034  28.00677966] ; [46.00677966  5.99322034],0
s7,1,0.345976,0.888162,[194  44] ; [41  6],[196.24561404  41.75438596] ; [38.75438596  8.24561404],0
b5,1,0.358326,0.84375,[141 102] ; [35 19],[144.  99.] ; [32. 22.],0
a8,1,0.395049,0.723345,[ 37 192] ; [10 37],[ 38.99637681 190.00362319] ; [ 8.00362319 38.99637681],0
v1,1,0.405077,0.693202,[145  86] ; [30 23],[142.3415493  88.6584507] ; [32.6584507 20.3415493],0
d2,1,0.42401,0.639175,[134 109] ; [33 21],[136.63636364 106.36363636] ; [30.36363636 23.63636364],0
s2,1,0.431353,0.619179,[211  32] ; [49  5],[212.72727273  30.27272727] ; [47.27272727  6.72727273],0
v2,1,0.461312,0.542709,[141  89] ; [29 23],[138.65248227  91.34751773] ; [31.34751773 20.65248227],0
u2,1,0.478582,0.502092,[31 17] ; [7 6],[29.90163934 18.09836066] ; [8.09836066 4.90163934],0
n1,1,0.48881,0.479144,[21 21] ; [13  9],[22.3125 19.6875] ; [11.6875 10.3125],0
d5,1,0.663926,0.188789,[205  37] ; [47  7],[206.02702703  35.97297297] ; [45.97297297  8.02702703],0
v4,1,0.669801,0.181835,[235   7] ; [53  1],[235.45945946   6.54054054] ; [52.54054054  1.45945946],0
n2,1,0.670242,0.181319,[34 10] ; [18  4],[34.66666667  9.33333333] ; [17.33333333  4.66666667],0
r2,1,0.67415,0.176786,[232   7] ; [52  1],[232.45205479   6.54794521] ; [51.54794521  1.45205479],0
p5,1,0.721423,0.127134,[ 40 198] ; [ 8 46],[ 39.12328767 198.87671233] ; [ 8.87671233 45.12328767],0
d3,1,0.741798,0.108553,[172  71] ; [37 17],[171.  72.] ; [38. 16.],0
a6,1,0.754076,0.098138,[165  77] ; [38 16],[165.96621622  76.03378378] ; [37.03378378 16.96621622],0
d1,1,0.768715,0.086469,[167  76] ; [36 18],[166.09090909  76.90909091] ; [36.90909091 17.09090909],0
r4,1,0.779895,0.078095,[227  16] ; [51  3],[227.45454545  15.54545455] ; [50.54545455  3.45454545],0
s1,1,0.799861,0.064276,[ 11 230] ; [ 2 51],[ 10.65646259 230.34353741] ; [ 2.34353741 50.65646259],0
s6,1,0.840024,0.040749,[220  21] ; [47  4],[220.36643836  20.63356164] ; [46.63356164  4.36643836],0
p2,1,0.884148,0.021232,[208  34] ; [46  8],[207.66216216  34.33783784] ; [46.33783784  7.66216216],0
u1,1,0.894149,0.017704,[ 52 191] ; [12 42],[ 52.36363636 190.63636364] ; [11.63636364 42.36363636],0
u3,1,0.912552,0.01206,[35 13] ; [10  4],[34.83870968 13.16129032] ; [10.16129032  3.83870968],0
u4,1,0.951694,0.00367,[ 13 230] ; [ 3 51],[ 13.09090909 229.90909091] ; [ 2.90909091 51.09090909],0
a2,1,0.975594,0.000936,[ 67 176] ; [15 39],[ 67.09090909 175.90909091] ; [14.90909091 39.09090909],0
n3,1,1.0,0.0,[32 12] ; [16  6],[32. 12.] ; [16.  6.],0
