Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9e-05,15.33262,[19 15] ; [ 1 21],[12.14285714 21.85714286] ; [ 7.85714286 14.14285714],1
a5,1,0.000788,11.26881,[20 14] ; [ 3 19],[13.96428571 20.03571429] ; [ 9.03571429 12.96428571],1
d4,1,0.002688,9.007978,[26  8] ; [ 8 14],[20.64285714 13.35714286] ; [13.35714286  8.64285714],0
a4,1,0.007665,7.110043,[14 19] ; [ 2 20],[ 9.6 23.4] ; [ 6.4 15.6],0
a3,1,0.011643,6.364497,[21 13] ; [ 6 16],[16.39285714 17.60714286] ; [10.60714286 11.39285714],0
d3,1,0.028601,4.791444,[21 13] ; [ 7 15],[17. 17.] ; [11. 11.],0
v2,1,0.045283,4.008063,[15 19] ; [ 4 18],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],0
a7,1,0.048244,3.901462,[20 14] ; [ 7 15],[16.39285714 17.60714286] ; [10.60714286 11.39285714],0
b1,1,0.063187,3.451691,[21 13] ; [ 8 14],[17.60714286 16.39285714] ; [11.39285714 10.60714286],0
n3,1,0.071855,3.240135,[ 6 10] ; [8 3],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
v4,1,0.072703,3.220915,[25  9] ; [11 11],[21.85714286 12.14285714] ; [14.14285714  7.85714286],0
u3,1,0.112654,2.516587,[6 7] ; [ 3 13],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
d2,1,0.12317,2.376543,[19 14] ; [ 8 14],[16.2 16.8] ; [10.8 11.2],0
u2,1,0.141929,2.156918,[7 6] ; [ 4 11],[5.10714286 7.89285714] ; [5.89285714 9.10714286],0
n5,1,0.153399,2.038123,[15 19] ; [14  8],[17.60714286 16.39285714] ; [11.39285714 10.60714286],0
p2,1,0.155097,2.02139,[12 22] ; [12 10],[14.57142857 19.42857143] ; [ 9.42857143 12.57142857],0
v1,1,0.172069,1.864827,[10 24] ; [ 3 19],[ 7.89285714 26.10714286] ; [ 5.10714286 16.89285714],0
p4,1,0.203495,1.617112,[15 19] ; [ 6 16],[12.75 21.25] ; [ 8.25 13.75],0
p3,1,0.216446,1.527778,[ 7 26] ; [ 8 14],[ 9. 24.] ; [ 6. 16.],0
p10,1,0.252574,1.30901,[ 7 27] ; [ 2 20],[ 5.46428571 28.53571429] ; [ 3.53571429 18.46428571],0
r3,1,0.274621,1.193521,[22 12] ; [11 11],[20.03571429 13.96428571] ; [12.96428571  9.03571429],0
b2,1,0.298094,1.082702,[ 8 13] ; [ 3 11],[ 6.6 14.4] ; [4.4 9.6],0
b3,1,0.298094,1.082702,[ 8 13] ; [ 3 11],[ 6.6 14.4] ; [4.4 9.6],0
r4,1,0.317852,0.997766,[12 22] ; [ 5 17],[10.32142857 23.67857143] ; [ 6.67857143 15.32142857],0
p7,1,0.327231,0.959824,[14 20] ; [12 10],[15.78571429 18.21428571] ; [10.21428571 11.78571429],0
s1,1,0.338352,0.916667,[ 4 29] ; [ 1 21],[ 3. 30.] ; [ 2. 20.],0
a1,1,0.354827,0.856118,[ 4 30] ; [ 1 21],[ 3.03571429 30.96428571] ; [ 1.96428571 20.03571429],0
s8,1,0.37152,0.798574,[ 6 28] ; [ 2 20],[ 4.85714286 29.14285714] ; [ 3.14285714 18.85714286],0
a6,1,0.384929,0.754902,[21 13] ; [11 11],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
n1,1,0.40905,0.681561,[ 3 11] ; [4 7],[ 3.92 10.08] ; [3.08 7.92],0
r2,1,0.417736,0.656676,[23 10] ; [13  9],[21.6 11.4] ; [14.4  7.6],0
n6,1,0.50311,0.44837,[18 15] ; [14  8],[19.2 13.8] ; [12.8  9.2],0
s4,1,0.562833,0.334822,[ 7 27] ; [ 6 16],[ 7.89285714 26.10714286] ; [ 5.10714286 16.89285714],0
b4,1,0.584218,0.299465,[18 16] ; [10 12],[17. 17.] ; [11. 11.],0
b5,1,0.584218,0.299465,[16 18] ; [12 10],[17. 17.] ; [11. 11.],0
p8,1,0.586151,0.296396,[ 9 25] ; [ 7 14],[ 9.89090909 24.10909091] ; [ 6.10909091 14.89090909],0
v3,1,0.640263,0.218398,[ 6 28] ; [ 5 17],[ 6.67857143 27.32142857] ; [ 4.32142857 17.67857143],0
p1,1,0.648874,0.207322,[ 2 32] ; [ 2 20],[ 2.42857143 31.57142857] ; [ 1.57142857 20.42857143],0
s7,1,0.697212,0.151388,[ 7 24] ; [ 4 18],[ 6.43396226 24.56603774] ; [ 4.56603774 17.43396226],0
p11,1,0.718728,0.129715,[14 20] ; [ 8 14],[13.35714286 20.64285714] ; [ 8.64285714 13.35714286],0
n4,1,0.739541,0.110531,[17 17] ; [12 10],[17.60714286 16.39285714] ; [11.39285714 10.60714286],0
s2,1,0.752044,0.099822,[ 9 25] ; [ 5 17],[ 8.5 25.5] ; [ 5.5 16.5],0
s6,1,0.756873,0.095846,[11 23] ; [ 8 14],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],0
n2,1,0.816334,0.053946,[8 8] ; [6 5],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
p6,1,0.822902,0.050093,[ 7 26] ; [ 5 16],[ 7.33333333 25.66666667] ; [ 4.66666667 16.33333333],0
s3,1,0.906607,0.013764,[11 22] ; [ 7 15],[10.8 22.2] ; [ 7.2 14.8],0
s5,1,0.930426,0.007623,[ 5 28] ; [ 3 18],[ 4.88888889 28.11111111] ; [ 3.11111111 17.88888889],0
