Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.6e-05,17.71438,[ 1 30] ; [9 7],[ 6.59574468 24.40425532] ; [ 3.40425532 12.59574468],1
p8,1,0.000302,13.059164,[ 2 29] ; [8 7],[ 6.73913043 24.26086957] ; [ 3.26086957 11.73913043],1
b5,1,0.000675,11.55721,[ 9 22] ; [13  3],[14.5106383 16.4893617] ; [7.4893617 8.5106383],1
p3,1,0.005714,7.638402,[ 4 27] ; [8 8],[ 7.91489362 23.08510638] ; [ 4.08510638 11.91489362],0
p2,1,0.012492,6.239677,[ 7 24] ; [9 6],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
a5,1,0.031347,4.633842,[13 18] ; [12  4],[16.4893617 14.5106383] ; [8.5106383 7.4893617],0
s3,1,0.035194,4.435714,[ 6 24] ; [8 8],[ 9.13043478 20.86956522] ; [ 4.86956522 11.13043478],0
p5,1,0.058392,3.582488,[ 1 30] ; [ 3 12],[ 2.69565217 28.30434783] ; [ 1.30434783 13.69565217],0
n3,1,0.061369,3.5,[ 4 10] ; [5 2],[6. 8.] ; [3. 4.],0
n4,1,0.068928,3.308363,[22  9] ; [7 9],[19.12765957 11.87234043] ; [9.87234043 6.12765957],0
n5,1,0.097191,2.751041,[23  8] ; [8 8],[20.44680851 10.55319149] ; [10.55319149  5.44680851],0
a8,1,0.132626,2.261499,[ 3 28] ; [ 4 11],[ 4.7173913 26.2826087] ; [ 2.2826087 12.7173913],0
p11,1,0.156305,2.009614,[ 9 22] ; [8 8],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
p10,1,0.156305,2.009614,[ 9 22] ; [8 8],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
p9,1,0.172435,1.861645,[11 20] ; [9 7],[13.19148936 17.80851064] ; [6.80851064 9.19148936],0
b3,1,0.219836,1.505439,[10 10] ; [3 8],[ 8.38709677 11.61290323] ; [4.61290323 6.38709677],0
b2,1,0.219836,1.505439,[10 10] ; [3 8],[ 8.38709677 11.61290323] ; [4.61290323 6.38709677],0
v3,1,0.231792,1.429832,[ 6 25] ; [ 1 15],[ 4.61702128 26.38297872] ; [ 2.38297872 13.61702128],0
a6,1,0.259838,1.269621,[14 17] ; [10  6],[15.82978723 15.17021277] ; [8.17021277 7.82978723],0
r2,1,0.291721,1.11166,[17 13] ; [6 9],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
