Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,48.581781,[42 23] ; [ 4 61],[23. 42.] ; [23. 42.],1
s6,1,7.3e-05,15.726526,[41 23] ; [19 46],[29.76744186 34.23255814] ; [30.23255814 34.76744186],1
s7,1,0.001436,10.15873,[26 34] ; [10 50],[18. 42.] ; [18. 42.],0
s5,1,0.004601,8.03003,[19 41] ; [ 7 57],[12.58064516 47.41935484] ; [13.41935484 50.58064516],0
d4,1,0.007073,7.254333,[53 11] ; [40 25],[46.13953488 17.86046512] ; [46.86046512 18.13953488],0
s8,1,0.014556,5.969388,[22 43] ; [10 55],[16. 49.] ; [16. 49.],0
p10,1,0.015835,5.821073,[41 22] ; [28 36],[34.22834646 28.77165354] ; [34.77165354 29.22834646],0
s4,1,0.023787,5.110063,[17 48] ; [ 7 58],[12. 53.] ; [12. 53.],0
v4,1,0.024577,5.053435,[54  8] ; [46 19],[48.81889764 13.18110236] ; [51.18110236 13.81889764],0
n2,1,0.038105,4.300321,[19  5] ; [15 14],[15.39622642  8.60377358] ; [18.60377358 10.39622642],0
p7,1,0.055803,3.657918,[35 23] ; [28 37],[29.70731707 28.29268293] ; [33.29268293 31.70731707],0
r3,1,0.057092,3.619917,[55  9] ; [47 18],[50.60465116 13.39534884] ; [51.39534884 13.60465116],0
a2,1,0.061306,3.501684,[ 7 58] ; [15 50],[11. 54.] ; [11. 54.],0
d3,1,0.061854,3.486963,[44 21] ; [33 31],[38.79844961 26.20155039] ; [38.20155039 25.79844961],0
u3,1,0.114105,2.496421,[18  7] ; [12 12],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
u2,1,0.114105,2.496421,[18  7] ; [12 12],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
p11,1,0.1565,2.007722,[41 24] ; [33 32],[37. 28.] ; [37. 28.],0
s1,1,0.160184,1.972484,[ 4 59] ; [ 1 64],[ 2.4609375 60.5390625] ; [ 2.5390625 62.4609375],0
p9,1,0.167118,1.908608,[42 21] ; [35 29],[38.19685039 24.80314961] ; [38.80314961 25.19685039],0
r2,1,0.18778,1.734952,[54  9] ; [49 15],[51.09448819 11.90551181] ; [51.90551181 12.09448819],0
n4,1,0.218617,1.513424,[27 38] ; [34 31],[30.5 34.5] ; [30.5 34.5],0
a1,1,0.299958,1.07438,[ 6 59] ; [ 3 62],[ 4.5 60.5] ; [ 4.5 60.5],0
p4,1,0.329081,0.952509,[27 37] ; [22 43],[24.31007752 39.68992248] ; [24.68992248 40.31007752],0
r4,1,0.365518,0.818846,[43 22] ; [38 27],[40.5 24.5] ; [40.5 24.5],0
b3,1,0.366228,0.816423,[ 9 31] ; [12 26],[10.76923077 29.23076923] ; [10.23076923 27.76923077],0
