Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000219,13.658346,[13 17] ; [22  2],[19.44444444 10.55555556] ; [15.55555556  8.44444444],1
s8,1,0.000639,11.659091,[ 5 28] ; [14 10],[11. 22.] ; [ 8. 16.],1
u1,1,0.00073,11.412403,[ 1 32] ; [ 9 15],[ 5.78947368 27.21052632] ; [ 4.21052632 19.78947368],1
s3,1,0.001208,10.478831,[14 17] ; [21  3],[19.72727273 11.27272727] ; [15.27272727  8.72727273],0
a2,1,0.00195,9.59596,[ 1 32] ; [ 8 16],[ 5.21052632 27.78947368] ; [ 3.78947368 20.21052632],0
s5,1,0.00646,7.41737,[ 6 22] ; [13  9],[10.64 17.36] ; [ 8.36 13.64],0
a3,1,0.007083,7.251804,[16 17] ; [20  4],[20.84210526 12.15789474] ; [15.15789474  8.84210526],0
d2,1,0.007823,7.073476,[ 9 24] ; [15  9],[13.89473684 19.10526316] ; [10.10526316 13.89473684],0
p6,1,0.018176,5.579151,[ 2 31] ; [ 7 17],[ 5.21052632 27.78947368] ; [ 3.78947368 20.21052632],0
n4,1,0.032617,4.565792,[17 16] ; [19  5],[20.84210526 12.15789474] ; [15.15789474  8.84210526],0
a4,1,0.069809,3.287506,[10 23] ; [13 11],[13.31578947 19.68421053] ; [ 9.68421053 14.31578947],0
p2,1,0.142162,2.154397,[17 16] ; [17  7],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
p4,1,0.147144,2.101612,[ 9 24] ; [11 13],[11.57894737 21.42105263] ; [ 8.42105263 15.57894737],0
d1,1,0.157387,1.999158,[13 20] ; [14 10],[15.63157895 17.36842105] ; [11.36842105 12.63157895],0
s6,1,0.188031,1.732981,[21 10] ; [20  4],[23.10909091  7.89090909] ; [17.89090909  6.10909091],0
u2,1,0.222969,1.48516,[ 7 10] ; [3 1],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
d3,1,0.299759,1.075267,[22 11] ; [19  5],[23.73684211  9.26315789] ; [17.26315789  6.73684211],0
n6,1,0.352248,0.865343,[28  5] ; [18  6],[26.63157895  6.36842105] ; [19.36842105  4.63157895],0
a6,1,0.357069,0.848175,[18 15] ; [16  8],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
d5,1,0.362151,0.83042,[21 12] ; [18  6],[22.57894737 10.42105263] ; [16.42105263  7.57894737],0
p1,1,0.376021,0.78367,[ 1 32] ; [ 2 22],[ 1.73684211 31.26315789] ; [ 1.26315789 22.73684211],0
n1,1,0.416793,0.659341,[4 9] ; [1 6],[3.25 9.75] ; [1.75 5.25],0
b5,1,0.422776,0.642587,[23 10] ; [19  5],[24.31578947  8.68421053] ; [17.68421053  6.31578947],0
v1,1,0.4244,0.638099,[13 20] ; [ 7 17],[11.57894737 21.42105263] ; [ 8.42105263 15.57894737],0
a5,1,0.4244,0.638099,[20 13] ; [17  7],[21.42105263 11.57894737] ; [15.57894737  8.42105263],0
v2,1,0.429607,0.623886,[14 18] ; [ 8 16],[12.57142857 19.42857143] ; [ 9.42857143 14.57142857],0
n3,1,0.443939,0.586081,[7 6] ; [5 2],[7.8 5.2] ; [4.2 2.8],0
p9,1,0.476496,0.506871,[23 10] ; [18  5],[24.16071429  8.83928571] ; [16.83928571  6.16071429],0
r2,1,0.478848,0.501485,[29  3] ; [22  1],[29.67272727  2.32727273] ; [21.32727273  1.67272727],0
p3,1,0.490925,0.474498,[ 7 26] ; [ 7 17],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
d4,1,0.577097,0.310952,[24  9] ; [19  5],[24.89473684  8.10526316] ; [18.10526316  5.89473684],0
n2,1,0.588792,0.292235,[9 4] ; [4 3],[8.45 4.55] ; [4.55 2.45],0
r3,1,0.625697,0.237941,[29  4] ; [20  4],[28.36842105  4.63157895] ; [20.63157895  3.36842105],0
b1,1,0.676796,0.173755,[ 8 25] ; [ 7 17],[ 8.68421053 24.31578947] ; [ 6.31578947 17.68421053],0
n5,1,0.684706,0.164876,[21 12] ; [14 10],[20.26315789 12.73684211] ; [14.73684211  9.26315789],0
a8,1,0.776011,0.080952,[ 2 28] ; [ 1 20],[ 1.76470588 28.23529412] ; [ 1.23529412 19.76470588],0
p12,1,0.81793,0.052996,[ 1 32] ; [ 1 23],[ 1.15789474 31.84210526] ; [ 0.84210526 23.15789474],0
p8,1,0.822354,0.050408,[ 5 28] ; [ 4 19],[ 5.30357143 27.69642857] ; [ 3.69642857 19.30357143],0
b2,1,0.826824,0.047863,[ 3 10] ; [ 4 11],[3.25 9.75] ; [ 3.75 11.25],0
b3,1,0.826824,0.047863,[ 3 10] ; [ 4 11],[3.25 9.75] ; [ 3.75 11.25],0
v3,1,0.846026,0.03771,[ 6 26] ; [ 5 19],[ 6.28571429 25.71428571] ; [ 4.71428571 19.28571429],0
p11,1,0.862902,0.029819,[20 13] ; [14 10],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
r4,1,0.881953,0.02205,[27  6] ; [20  4],[27.21052632  5.78947368] ; [19.78947368  4.21052632],0
a7,1,0.947693,0.004304,[25  8] ; [18  6],[24.89473684  8.10526316] ; [18.10526316  5.89473684],0
v4,1,0.959302,0.002604,[30  3] ; [21  2],[30.05357143  2.94642857] ; [20.94642857  2.05357143],0
r1,1,1.0,0.0,[22 11] ; [16  8],[22. 11.] ; [16.  8.],0
b4,1,1.0,0.0,[22 11] ; [16  8],[22. 11.] ; [16.  8.],0
p10,1,1.0,0.0,[22 11] ; [16  8],[22. 11.] ; [16.  8.],0
