Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.116381,[31 42] ; [125  41],[47.64853556 25.35146444] ; [108.35146444  57.64853556],1
a6,1,0.000359,12.732713,[39 34] ; [127  39],[50.70292887 22.29707113] ; [115.29707113  50.70292887],1
a2,1,0.000807,11.224373,[ 7 66] ; [ 49 117],[17.10460251 55.89539749] ; [ 38.89539749 127.10460251],1
d5,1,0.000953,10.916383,[52 21] ; [147  19],[60.78242678 12.21757322] ; [138.21757322  27.78242678],1
u1,1,0.001681,9.868367,[ 5 68] ; [ 40 126],[13.74476987 59.25523013] ; [ 31.25523013 134.74476987],0
v4,1,0.001844,9.698936,[64  9] ; [162   4],[69.0292887  3.9707113] ; [156.9707113   9.0292887],0
d1,1,0.003904,8.328141,[32 41] ; [106  60],[42.15062762 30.84937238] ; [95.84937238 70.15062762],0
r2,1,0.004728,7.980761,[64  9] ; [161   5],[68.72384937  4.27615063] ; [156.27615063   9.72384937],0
b1,1,0.005565,7.686187,[39 34] ; [ 57 109],[29.32217573 43.67782427] ; [66.67782427 99.32217573],0
b5,1,0.012921,6.179839,[35 38] ; [108  58],[43.67782427 29.32217573] ; [99.32217573 66.67782427],0
s1,1,0.017497,5.645822,[ 6 67] ; [  3 161],[ 2.7721519 70.2278481] ; [  6.2278481 157.7721519],0
r4,1,0.017834,5.612406,[61 12] ; [155  11],[65.9748954  7.0251046] ; [150.0251046  15.9748954],0
n4,1,0.05033,3.830441,[62 10] ; [124  42],[56.26890756 15.73109244] ; [129.73109244  36.26890756],0
s5,1,0.061165,3.505502,[29 42] ; [ 46 116],[22.85407725 48.14592275] ; [ 52.14592275 109.85407725],0
r3,1,0.062364,3.473386,[64  9] ; [157   9],[67.50209205  5.49790795] ; [153.49790795  12.50209205],0
n3,1,0.07886,3.088235,[10  5] ; [24  3],[12.14285714  2.85714286] ; [21.85714286  5.14285714],0
p10,1,0.102891,2.660145,[55 18] ; [139  26],[59.50420168 13.49579832] ; [134.49579832  30.50420168],0
p5,1,0.106491,2.60554,[12 61] ; [ 15 148],[ 8.35169492 64.64830508] ; [ 18.64830508 144.35169492],0
p1,1,0.114498,2.491011,[10 63] ; [ 12 153],[ 6.74789916 66.25210084] ; [ 15.25210084 149.74789916],0
p11,1,0.128264,2.313395,[54 19] ; [137  29],[58.33891213 14.66108787] ; [132.66108787  33.33891213],0
n2,1,0.129219,2.301857,[9 6] ; [22  5],[11.07142857  3.92857143] ; [19.92857143  7.07142857],0
p9,1,0.130263,2.289367,[57 16] ; [141  23],[60.98734177 12.01265823] ; [137.01265823  26.98734177],0
s7,1,0.147064,2.10244,[37 32] ; [66 87],[32.01351351 36.98648649] ; [70.98648649 82.01351351],0
u3,1,0.154679,2.025495,[ 9 11] ; [33 19],[11.66666667  8.33333333] ; [30.33333333 21.66666667],0
b3,1,0.155339,2.019026,[21 30] ; [29 69],[17.11409396 33.88590604] ; [32.88590604 65.11409396],0
b2,1,0.155339,2.019026,[21 30] ; [29 69],[17.11409396 33.88590604] ; [32.88590604 65.11409396],0
s8,1,0.187034,1.740831,[37 36] ; [68 96],[32.34177215 40.65822785] ; [72.65822785 91.34177215],0
r1,1,0.21454,1.540523,[54 19] ; [133  31],[57.59915612 15.40084388] ; [129.40084388  34.59915612],0
s4,1,0.301624,1.066999,[13 60] ; [ 21 144],[10.42857143 62.57142857] ; [ 23.57142857 141.42857143],0
p2,1,0.30457,1.054075,[58 15] ; [140  25],[60.73109244 12.26890756] ; [137.26890756  27.73109244],0
a4,1,0.308101,1.038799,[28 45] ; [75 90],[31.59243697 41.40756303] ; [71.40756303 93.59243697],0
s2,1,0.323656,0.974114,[38 35] ; [74 90],[34.4978903 38.5021097] ; [77.5021097 86.4978903],0
p12,1,0.359766,0.838709,[ 3 70] ; [ 12 154],[ 4.58158996 68.41841004] ; [ 10.41841004 155.58158996],0
p4,1,0.37218,0.796373,[50 23] ; [123  43],[52.84100418 20.15899582] ; [120.15899582  45.84100418],0
a5,1,0.427076,0.630762,[58 15] ; [124  42],[55.58995816 17.41004184] ; [126.41004184  39.58995816],0
d4,1,0.487329,0.482418,[57 16] ; [136  30],[58.94979079 14.05020921] ; [134.05020921  31.94979079],0
v3,1,0.49814,0.458896,[33 37] ; [66 90],[30.66371681 39.33628319] ; [68.33628319 87.66371681],0
p7,1,0.510859,0.432308,[45 28] ; [109  56],[47.23529412 25.76470588] ; [106.76470588  58.23529412],0
v2,1,0.519255,0.415372,[38 32] ; [93 65],[40.21929825 29.78070175] ; [90.78070175 67.21929825],0
a3,1,0.542107,0.371648,[53 20] ; [114  52],[51.0083682 21.9916318] ; [115.9916318  50.0083682],0
n1,1,0.542385,0.371137,[7 8] ; [10 17],[6.07142857 8.92857143] ; [10.92857143 16.07142857],0
s3,1,0.578296,0.308997,[43 29] ; [91 72],[41.05531915 30.94468085] ; [92.94468085 70.05531915],0
a8,1,0.604407,0.2684,[ 7 64] ; [ 18 129],[ 8.14220183 62.85779817] ; [ 16.85779817 130.14220183],0
d2,1,0.631874,0.229528,[34 38] ; [84 82],[35.69747899 36.30252101] ; [82.30252101 83.69747899],0
u2,1,0.648942,0.207237,[10 10] ; [28 22],[10.85714286  9.14285714] ; [27.14285714 22.85714286],0
a1,1,0.663929,0.188785,[ 3 70] ; [  5 161],[ 2.44351464 70.55648536] ; [  5.55648536 160.44351464],0
n6,1,0.746642,0.104374,[61 11] ; [137  28],[60.15189873 11.84810127] ; [137.84810127  27.15189873],0
s6,1,0.778232,0.079312,[49 24] ; [107  57],[48.05063291 24.94936709] ; [107.94936709  56.05063291],0
u4,1,0.808183,0.058937,[ 1 72] ; [  3 163],[ 1.22175732 71.77824268] ; [  2.77824268 163.22175732],0
b4,1,0.896694,0.016858,[42 31] ; [97 69],[42.45606695 30.54393305] ; [96.54393305 69.45606695],0
p8,1,0.923678,0.009178,[38 35] ; [87 78],[38.34033613 34.65966387] ; [86.65966387 78.34033613],0
v1,1,0.931231,0.007447,[39 31] ; [89 69],[39.29824561 30.70175439] ; [88.70175439 69.29824561],0
n5,1,0.984387,0.000383,[55 17] ; [127  39],[55.05882353 16.94117647] ; [126.94117647  39.05882353],0
