Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4.3e-05,16.722737,[30 79] ; [22 11],[39.91549296 69.08450704] ; [12.08450704 20.91549296],1
s6,1,0.001957,9.589174,[44 64] ; [23  9],[51.68571429 56.31428571] ; [15.31428571 16.68571429],0
s7,1,0.004973,7.889083,[18 88] ; [13 19],[23.8115942 82.1884058] ; [ 7.1884058 24.8115942],0
s3,1,0.014848,5.934439,[40 69] ; [20 13],[46.05633803 62.94366197] ; [13.94366197 19.05633803],0
b1,1,0.048138,3.905172,[44 66] ; [ 7 26],[39.23076923 70.76923077] ; [11.76923077 21.23076923],0
s5,1,0.050483,3.825329,[22 85] ; [12 20],[26.17266187 80.82733813] ; [ 7.82733813 24.17266187],0
p10,1,0.064424,3.419666,[64 44] ; [24  7],[68.37410072 39.62589928] ; [19.62589928 11.37410072],0
u3,1,0.079076,3.083794,[22 26] ; [12  5],[25.10769231 22.89230769] ; [8.89230769 8.10769231],0
d3,1,0.088941,2.893428,[60 49] ; [23  9],[64.16312057 44.83687943] ; [18.83687943 13.16312057],0
s8,1,0.090162,2.871483,[21 88] ; [11 22],[24.56338028 84.43661972] ; [ 7.43661972 25.56338028],0
p9,1,0.110878,2.541656,[74 34] ; [25  5],[77.47826087 30.52173913] ; [21.52173913  8.47826087],0
r2,1,0.158617,1.987364,[92 17] ; [31  2],[94.41549296 14.58450704] ; [28.58450704  4.41549296],0
r1,1,0.180674,1.792072,[74 36] ; [18 15],[70.76923077 39.23076923] ; [21.23076923 11.76923077],0
b4,1,0.204634,1.608989,[67 43] ; [16 17],[63.84615385 46.15384615] ; [19.15384615 13.84615385],0
p3,1,0.205986,1.599417,[20 89] ; [ 3 30],[17.65492958 91.34507042] ; [ 5.34507042 27.65492958],0
b5,1,0.234595,1.412781,[64 46] ; [23 10],[66.92307692 43.07692308] ; [20.07692308 12.92307692],0
p8,1,0.240619,1.376965,[37 73] ; [ 7 24],[34.32624113 75.67375887] ; [ 9.67375887 21.32624113],0
a4,1,0.291278,1.113707,[30 80] ; [ 6 27],[27.69230769 82.30769231] ; [ 8.30769231 24.69230769],0
n6,1,0.31356,1.015619,[66 44] ; [23 10],[68.46153846 41.53846154] ; [20.53846154 12.46153846],0
a2,1,0.343794,0.896233,[13 97] ; [ 2 31],[11.53846154 98.46153846] ; [ 3.46153846 29.53846154],0
p11,1,0.346465,0.886364,[70 40] ; [18 15],[67.69230769 42.30769231] ; [20.30769231 12.69230769],0
a7,1,0.355395,0.8541,[73 37] ; [24  8],[75.14084507 34.85915493] ; [21.85915493 10.14084507],0
d4,1,0.375999,0.783741,[81 28] ; [27  6],[82.90140845 26.09859155] ; [25.09859155  7.90140845],0
a3,1,0.395733,0.721252,[62 47] ; [16 17],[59.87323944 49.12676056] ; [18.12676056 14.87323944],0
b3,1,0.437948,0.601653,[14 37] ; [5 8],[15.140625 35.859375] ; [3.859375 9.140625],0
b2,1,0.437948,0.601653,[14 37] ; [5 8],[15.140625 35.859375] ; [3.859375 9.140625],0
a6,1,0.454221,0.560098,[68 42] ; [18 15],[66.15384615 43.84615385] ; [19.84615385 13.15384615],0
v3,1,0.464209,0.535728,[22 82] ; [ 9 24],[23.53284672 80.46715328] ; [ 7.46715328 25.53284672],0
r4,1,0.549829,0.357624,[81 29] ; [26  7],[82.30769231 27.69230769] ; [24.69230769  8.30769231],0
n5,1,0.556316,0.346123,[34 76] ; [12 21],[35.38461538 74.61538462] ; [10.61538462 22.38461538],0
r3,1,0.607159,0.264333,[96 14] ; [29  3],[96.83098592 13.16901408] ; [28.16901408  3.83098592],0
a5,1,0.624123,0.240115,[52 58] ; [14 19],[50.76923077 59.23076923] ; [15.23076923 17.76923077],0
v4,1,0.629237,0.233097,[94 13] ; [30  3],[94.77142857 12.22857143] ; [29.22857143  3.77142857],0
p1,1,0.6969,0.151717,[  5 104] ; [ 1 32],[  4.6056338 104.3943662] ; [ 1.3943662 31.6056338],0
v2,1,0.70582,0.142488,[43 61] ; [14 17],[43.91111111 60.08888889] ; [13.08888889 17.91111111],0
n1,1,0.724498,0.124224,[10 35] ; [ 4 11],[10.5 34.5] ; [ 3.5 11.5],0
p6,1,0.727963,0.12099,[14 92] ; [ 5 27],[14.5942029 91.4057971] ; [ 4.4057971 27.5942029],0
n2,1,0.75706,0.095694,[28 17] ; [10  5],[28.5 16.5] ; [9.5 5.5],0
p7,1,0.76945,0.085904,[42 64] ; [11 19],[41.30882353 64.69117647] ; [11.69117647 18.30882353],0
v1,1,0.79396,0.068211,[42 66] ; [12 21],[41.36170213 66.63829787] ; [12.63829787 20.36170213],0
u1,1,0.810745,0.057343,[  8 102] ; [ 2 31],[  7.69230769 102.30769231] ; [ 2.30769231 30.69230769],0
u2,1,0.894407,0.017617,[23 24] ; [8 9],[22.765625 24.234375] ; [8.234375 8.765625],0
n3,1,0.925494,0.008745,[27 17] ; [9 6],[26.84745763 17.15254237] ; [9.15254237 5.84745763],0
p2,1,0.948115,0.004235,[72 37] ; [22 11],[72.15492958 36.84507042] ; [21.84507042 11.15492958],0
d1,1,0.950662,0.003829,[46 64] ; [14 19],[46.15384615 63.84615385] ; [13.84615385 19.15384615],0
d5,1,0.951518,0.003697,[75 35] ; [22 10],[75.14084507 34.85915493] ; [21.85915493 10.14084507],0
d2,1,0.974208,0.001045,[37 73] ; [11 22],[36.92307692 73.07692308] ; [11.07692308 21.92307692],0
