Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.009054,6.812143,[2 6] ; [19  6],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
p9,1,0.044368,4.0425,[3 5] ; [19  6],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
a5,1,0.053829,3.718,[2 6] ; [16  9],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
b4,1,0.053829,3.718,[2 6] ; [16  9],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
r4,1,0.073679,3.199096,[1 7] ; [12 13],[3.15151515 4.84848485] ; [ 9.84848485 15.15151515],0
v1,1,0.073679,3.199096,[1 7] ; [12 13],[3.15151515 4.84848485] ; [ 9.84848485 15.15151515],0
d3,1,0.077464,3.117321,[3 5] ; [18  7],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
p11,1,0.103604,2.649167,[5 3] ; [22  3],[6.54545455 1.45454545] ; [20.45454545  4.54545455],0
v3,1,0.106948,2.59875,[1 7] ; [11 14],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
d1,1,0.150962,2.0625,[1 7] ; [10 15],[2.66666667 5.33333333] ; [ 8.33333333 16.66666667],0
v4,1,0.150962,2.0625,[7 1] ; [15 10],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
p10,1,0.163687,1.939826,[4 4] ; [19  6],[5.57575758 2.42424242] ; [17.42424242  7.57575758],0
a6,1,0.186832,1.742425,[3 5] ; [16  9],[4.60606061 3.39393939] ; [14.39393939 10.60606061],0
r3,1,0.195418,1.676291,[5 3] ; [21  4],[6.3030303 1.6969697] ; [19.6969697  5.3030303],0
n4,1,0.208082,1.584717,[7 1] ; [16  9],[5.57575758 2.42424242] ; [17.42424242  7.57575758],0
n6,1,0.250592,1.32,[4 4] ; [18  7],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
s8,1,0.251932,1.312556,[2 6] ; [12 13],[3.39393939 4.60606061] ; [10.60606061 14.39393939],0
u3,1,0.252136,1.311429,[4 1] ; [6 6],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
s7,1,0.255146,1.294904,[4 3] ; [ 8 16],[2.70967742 4.29032258] ; [ 9.29032258 14.70967742],0
s3,1,0.265953,1.2375,[5 3] ; [10 15],[3.63636364 4.36363636] ; [11.36363636 13.63636364],0
d4,1,0.314753,1.010625,[5 3] ; [20  5],[6.06060606 1.93939394] ; [18.93939394  6.06060606],0
p7,1,0.338426,0.916385,[6 2] ; [14 11],[4.84848485 3.15151515] ; [15.15151515  9.84848485],0
p3,1,0.356957,0.848571,[4 4] ; [ 8 17],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
p4,1,0.356957,0.848571,[4 4] ; [17  8],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
d5,1,0.356957,0.848571,[4 4] ; [17  8],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
a7,1,0.36214,0.83046,[3 5] ; [14 11],[4.12121212 3.87878788] ; [12.87878788 12.12121212],0
p1,1,0.380492,0.769113,[1 7] ; [ 1 24],[0.48484848 7.51515152] ; [ 1.51515152 23.48484848],0
s1,1,0.380492,0.769113,[1 7] ; [ 1 24],[0.48484848 7.51515152] ; [ 1.51515152 23.48484848],0
n5,1,0.442695,0.589286,[6 2] ; [15 10],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
r1,1,0.442695,0.589286,[2 6] ; [10 15],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
a3,1,0.475067,0.510165,[3 5] ; [13 12],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
v2,1,0.475067,0.510165,[3 5] ; [13 12],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
n3,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
n2,1,0.490153,0.47619,[2 1] ; [3 4],[1.5 1.5] ; [3.5 3.5],0
b2,1,0.601448,0.272817,[1 7] ; [ 3 11],[1.45454545 6.54545455] ; [ 2.54545455 11.45454545],0
b3,1,0.601448,0.272817,[1 7] ; [ 3 11],[1.45454545 6.54545455] ; [ 2.54545455 11.45454545],0
b1,1,0.603667,0.2695,[5 3] ; [13 12],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
a4,1,0.632142,0.229167,[1 7] ; [ 5 20],[1.45454545 6.54545455] ; [ 4.54545455 20.45454545],0
a1,1,0.699973,0.1485,[1 7] ; [ 2 23],[0.72727273 7.27272727] ; [ 2.27272727 22.72727273],0
s5,1,0.707677,0.140609,[2 6] ; [ 8 17],[2.42424242 5.57575758] ; [ 7.57575758 17.42424242],0
p8,1,0.766735,0.088,[4 4] ; [11 14],[3.63636364 4.36363636] ; [11.36363636 13.63636364],0
p2,1,0.86829,0.0275,[6 2] ; [18  7],[5.81818182 2.18181818] ; [18.18181818  6.81818182],0
p6,1,0.86829,0.0275,[2 6] ; [ 7 18],[2.18181818 5.81818182] ; [ 6.81818182 18.18181818],0
n1,1,0.880303,0.022676,[1 2] ; [2 5],[0.9 2.1] ; [2.1 4.9],0
s2,1,0.921521,0.009706,[4 4] ; [12 13],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
d2,1,0.938811,0.005893,[3 5] ; [ 9 16],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
