Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,50.568084,[95  2] ; [25 25],[79.18367347 17.81632653] ; [40.81632653  9.18367347],1
d2,1,0.0,42.199192,[72 24] ; [ 9 40],[53.62758621 42.37241379] ; [27.37241379 21.62758621],1
d3,1,0.0,33.858219,[81 16] ; [18 32],[65.32653061 31.67346939] ; [33.67346939 16.32653061],1
a4,1,1e-05,19.496261,[60 36] ; [12 38],[47.34246575 48.65753425] ; [24.65753425 25.34246575],1
a2,1,3e-05,17.388375,[31 66] ; [ 1 49],[21.11564626 75.88435374] ; [10.88435374 39.11564626],1
a5,1,0.000185,13.973119,[76 21] ; [24 26],[65.98639456 31.01360544] ; [34.01360544 15.98639456],1
u1,1,0.000507,12.090013,[24 73] ; [ 1 49],[16.49659864 80.50340136] ; [ 8.50340136 41.49659864],1
s7,1,0.000859,11.109529,[45 45] ; [10 38],[35.86956522 54.13043478] ; [19.13043478 28.86956522],1
a3,1,0.001023,10.785111,[76 21] ; [26 24],[67.30612245 29.69387755] ; [34.69387755 15.30612245],0
r2,1,0.002555,9.100828,[87  6] ; [38 12],[81.29370629 11.70629371] ; [43.70629371  6.29370629],0
s8,1,0.024543,5.05585,[40 57] ; [11 38],[33.88356164 63.11643836] ; [17.11643836 31.88356164],0
p9,1,0.029821,4.719559,[60 34] ; [22 27],[53.9020979 40.0979021] ; [28.0979021 20.9020979],0
n4,1,0.041938,4.137705,[67 30] ; [26 24],[61.36734694 35.63265306] ; [31.63265306 18.36734694],0
a6,1,0.047622,3.923275,[63 34] ; [24 26],[57.40816327 39.59183673] ; [29.59183673 20.40816327],0
a7,1,0.053048,3.742404,[68 29] ; [27 23],[62.68707483 34.31292517] ; [32.31292517 17.68707483],0
a8,1,0.076346,3.141026,[ 5 86] ; [ 7 42],[ 7.8 83.2] ; [ 4.2 44.8],0
u3,1,0.093533,2.8125,[14  7] ; [10 14],[11.2  9.8] ; [12.8 11.2],0
n5,1,0.107646,2.588447,[61 36] ; [24 25],[56.47260274 40.52739726] ; [28.52739726 20.47260274],0
n1,1,0.155037,2.021976,[22 24] ; [3 9],[19.82758621 26.17241379] ; [5.17241379 6.82758621],0
p4,1,0.15939,1.98,[33 63] ; [11 37],[29.33333333 66.66666667] ; [14.66666667 33.33333333],0
