Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,168.271115,[  6 102] ; [388 149],[65.97209302 42.02790698] ; [328.02790698 208.97209302],1
d5,1,0.0,103.315416,[52 55] ; [480  57],[88.39130435 18.60869565] ; [443.60869565  93.39130435],1
d3,1,0.0,100.927642,[31 76] ; [418 119],[74.60093168 32.39906832] ; [374.39906832 162.60093168],1
d2,1,0.0,34.274254,[26 82] ; [294 241],[53.74805599 54.25194401] ; [266.25194401 268.74805599],1
a3,1,0.0,32.028808,[56 52] ; [418 117],[79.61430793 28.38569207] ; [394.38569207 140.61430793],1
a4,1,0.0,29.445961,[24 84] ; [272 264],[49.63975155 58.36024845] ; [246.36024845 289.63975155],1
a5,1,0.0,27.176931,[62 46] ; [433 104],[82.88372093 25.11627907] ; [412.11627907 124.88372093],1
a2,1,1.6e-05,18.59602,[ 9 99] ; [150 387],[26.62325581 81.37674419] ; [132.37674419 404.62325581],1
u1,1,2.5e-05,17.794587,[  5 103] ; [119 418],[20.7627907 87.2372093] ; [103.2372093 433.7627907],1
r1,1,0.001308,10.330986,[75 32] ; [447  89],[86.86469673 20.13530327] ; [435.13530327 100.86469673],0
v2,1,0.007471,7.156126,[48 54] ; [317 200],[60.1453958 41.8546042] ; [304.8546042 212.1453958],0
p2,1,0.013816,6.061543,[86 22] ; [472  62],[93.86915888 14.13084112] ; [464.13084112  69.86915888],0
s2,1,0.018261,5.57091,[46 60] ; [298 235],[57.06416275 48.93583725] ; [286.93583725 246.06416275],0
b2,1,0.019353,5.469378,[17 46] ; [139 186],[25.32989691 37.67010309] ; [130.67010309 194.32989691],0
b3,1,0.019353,5.469378,[17 46] ; [139 186],[25.32989691 37.67010309] ; [130.67010309 194.32989691],0
r4,1,0.021069,5.321057,[94 14] ; [502  35],[99.79534884  8.20465116] ; [496.20465116  40.79534884],0
s5,1,0.022202,5.229923,[29 75] ; [205 310],[39.31502423 64.68497577] ; [194.68497577 320.31502423],0
a6,1,0.034418,4.473843,[65 43] ; [378 158],[74.29192547 33.70807453] ; [368.70807453 167.29192547],0
r3,1,0.036291,4.383362,[99  8] ; [517  17],[102.82683307   4.17316693] ; [513.17316693  20.82683307],0
a1,1,0.043931,4.059196,[  1 107] ; [ 29 508],[  5.02325581 102.97674419] ; [ 24.97674419 512.02325581],0
p7,1,0.046858,3.950497,[63 43] ; [364 161],[71.73058637 34.26941363] ; [355.26941363 169.73058637],0
a8,1,0.056455,3.638581,[ 8 93] ; [ 74 415],[14.03728814 86.96271186] ; [ 67.96271186 421.03728814],0
v1,1,0.060634,3.519971,[51 54] ; [306 217],[59.68949045 45.31050955] ; [297.31050955 225.68949045],0
u2,1,0.068546,3.317507,[23 29] ; [70 48],[28.44705882 23.55294118] ; [64.55294118 53.44705882],0
b4,1,0.069911,3.285101,[55 53] ; [324 213],[63.46046512 44.53953488] ; [315.53953488 221.46046512],0
p4,1,0.071372,3.251171,[61 47] ; [351 184],[69.20062208 38.79937792] ; [342.79937792 192.20062208],0
n4,1,0.073135,3.211208,[83 25] ; [451  86],[89.41395349 18.58604651] ; [444.58604651  92.41395349],0
p3,1,0.086057,2.946635,[50 57] ; [299 237],[58.07620529 48.92379471] ; [290.92379471 245.07620529],0
p1,1,0.086982,2.929352,[15 93] ; [ 46 489],[10.24572317 97.75427683] ; [ 50.75427683 484.24572317],0
v3,1,0.09342,2.814424,[37 69] ; [227 292],[44.7744 61.2256] ; [219.2256 299.7744],0
s8,1,0.098935,2.722625,[44 64] ; [264 270],[51.81308411 56.18691589] ; [256.18691589 277.81308411],0
p6,1,0.102956,2.659149,[35 72] ; [219 313],[42.53208138 64.46791862] ; [211.46791862 320.53208138],0
a7,1,0.10713,2.596055,[72 35] ; [401 135],[78.71073095 28.28926905] ; [394.28926905 141.71073095],0
p8,1,0.12002,2.417063,[53 53] ; [309 222],[60.23861852 45.76138148] ; [301.76138148 229.23861852],0
v4,1,0.1275,2.322682,[101   7] ; [516  18],[103.79439252   4.20560748] ; [513.20560748  20.79439252],0
s6,1,0.188231,1.731408,[68 36] ; [377 148],[73.57710652 30.42289348] ; [371.42289348 153.57710652],0
s1,1,0.203482,1.617203,[  5 102] ; [ 13 519],[  3.01408451 103.98591549] ; [ 14.98591549 517.01408451],0
p9,1,0.228678,1.449063,[99  8] ; [511  25],[101.50855365   5.49144635] ; [508.49144635  27.50855365],0
p11,1,0.278259,1.175575,[89 19] ; [464  73],[92.59534884 15.40465116] ; [460.40465116  76.59534884],0
s4,1,0.287004,1.133622,[23 84] ; [ 91 439],[19.14913658 87.85086342] ; [ 94.85086342 435.14913658],0
s3,1,0.287497,1.131303,[55 50] ; [308 223],[59.92924528 45.07075472] ; [303.07075472 227.92924528],0
u3,1,0.305175,1.051442,[26 26] ; [69 49],[29.05882353 22.94117647] ; [65.94117647 52.05882353],0
n1,1,0.354893,0.855886,[12 14] ; [37 65],[ 9.953125 16.046875] ; [39.046875 62.953125],0
b5,1,0.377317,0.779427,[59 49] ; [318 219],[63.1255814 44.8744186] ; [313.8744186 223.1255814],0
n2,1,0.392344,0.731664,[21  5] ; [74 28],[19.296875  6.703125] ; [75.703125 26.296875],0
n3,1,0.432014,0.617402,[21  5] ; [74 27],[19.4488189  6.5511811] ; [75.5511811 25.4488189],0
r2,1,0.516022,0.421838,[102   6] ; [508  22],[103.26018809   4.73981191] ; [506.73981191  23.26018809],0
p12,1,0.533891,0.38698,[ 9 99] ; [ 55 479],[10.76635514 97.23364486] ; [ 53.23364486 480.76635514],0
p5,1,0.538051,0.379165,[13 95] ; [ 76 456],[15.01875 92.98125] ; [ 73.98125 458.01875],0
s7,1,0.558464,0.34237,[50 50] ; [275 242],[52.67423015 47.32576985] ; [272.32576985 244.67423015],0
n5,1,0.628423,0.234205,[88 20] ; [447  89],[89.72049689 18.27950311] ; [445.27950311  90.72049689],0
b1,1,0.942569,0.00519,[38 70] ; [187 350],[37.6744186 70.3255814] ; [187.3255814 349.6744186],0
