Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.193972,[44 49] ; [271  96],[63.68478261 29.31521739] ; [251.31521739 115.68478261],1
n5,1,1.3e-05,19.05213,[46 46] ; [270  97],[63.33769063 28.66230937] ; [252.66230937 114.33769063],1
r4,1,0.00011,14.953155,[70 23] ; [333  36],[81.12337662 11.87662338] ; [321.87662338  47.12337662],1
p10,1,0.002257,9.32781,[55 35] ; [280  84],[66.40969163 23.59030837] ; [268.59030837  95.40969163],0
p11,1,0.002433,9.190547,[56 37] ; [280  89],[67.63636364 25.36363636] ; [268.36363636 100.63636364],0
u2,1,0.0032,8.68984,[28  8] ; [60 60],[20.30769231 15.69230769] ; [67.69230769 52.30769231],0
s5,1,0.004624,8.02111,[13 75] ; [106 251],[23.53258427 64.46741573] ; [ 95.46741573 261.53258427],0
p2,1,0.004912,7.911564,[61 32] ; [293  76],[71.25974026 21.74025974] ; [282.74025974  86.25974026],0
p9,1,0.007274,7.204096,[61 29] ; [291  69],[70.4 19.6] ; [281.6  78.4],0
r2,1,0.008875,6.847723,[81 11] ; [349  17],[86.37554585  5.62445415] ; [343.62445415  22.37554585],0
a5,1,0.010874,6.485722,[51 42] ; [254 115],[61.3961039 31.6038961] ; [243.6038961 125.3961039],0
b1,1,0.012646,6.217901,[42 51] ; [116 253],[31.80519481 61.19480519] ; [126.19480519 242.80519481],0
r3,1,0.014721,5.949542,[80 12] ; [347  21],[85.4  6.6] ; [341.6  26.4],0
d2,1,0.025449,4.993075,[30 62] ; [167 200],[39.48583878 52.51416122] ; [157.51416122 209.48583878],0
s6,1,0.026566,4.918815,[47 45] ; [230 131],[56.25607064 35.74392936] ; [220.74392936 140.25607064],0
d1,1,0.027131,4.882487,[39 54] ; [202 167],[48.51298701 44.48701299] ; [192.48701299 176.51298701],0
u3,1,0.034179,4.48575,[25 10] ; [62 59],[19.51923077 15.48076923] ; [67.48076923 53.51923077],0
a2,1,0.065287,3.397704,[12 81] ; [ 79 290],[18.31818182 74.68181818] ; [ 72.68181818 296.31818182],0
b2,1,0.065392,3.395049,[10 36] ; [ 75 134],[15.33333333 30.66666667] ; [ 69.66666667 139.33333333],0
b3,1,0.065392,3.395049,[10 36] ; [ 75 134],[15.33333333 30.66666667] ; [ 69.66666667 139.33333333],0
a4,1,0.08797,2.911137,[30 63] ; [154 213],[37.2 55.8] ; [146.8 220.2],0
p6,1,0.092709,2.826701,[16 74] ; [ 96 269],[22.15384615 67.84615385] ; [ 89.84615385 275.15384615],0
s7,1,0.09591,2.772274,[28 60] ; [149 210],[34.84563758 53.15436242] ; [142.15436242 216.84563758],0
s1,1,0.101559,2.680896,[ 6 83] ; [ 11 350],[ 3.36222222 85.63777778] ; [ 13.63777778 347.36222222],0
p8,1,0.109294,2.564407,[28 63] ; [144 217],[34.62831858 56.37168142] ; [137.37168142 223.62831858],0
u1,1,0.114453,2.491631,[ 7 86] ; [ 50 319],[11.47402597 81.52597403] ; [ 45.52597403 323.47402597],0
v3,1,0.134404,2.240888,[22 63] ; [123 235],[27.82167043 57.17832957] ; [117.17832957 240.82167043],0
s8,1,0.135644,2.22669,[27 66] ; [137 230],[33.15652174 59.84347826] ; [130.84347826 236.15652174],0
v1,1,0.16862,1.895169,[35 55] ; [170 192],[40.81858407 49.18141593] ; [164.18141593 197.81858407],0
r1,1,0.186879,1.742048,[67 26] ; [288  79],[71.77173913 21.22826087] ; [283.22826087  83.77173913],0
p1,1,0.219233,1.509383,[ 2 90] ; [ 19 349],[ 4.2 87.8] ; [ 16.8 351.2],0
p7,1,0.248176,1.333544,[38 48] ; [182 174],[42.80542986 43.19457014] ; [177.19457014 178.80542986],0
s4,1,0.250521,1.320397,[12 81] ; [ 65 298],[15.70394737 77.29605263] ; [ 61.29605263 301.70394737],0
s2,1,0.273781,1.197703,[38 54] ; [174 191],[42.67833698 49.32166302] ; [169.32166302 195.67833698],0
a3,1,0.273993,1.196645,[57 36] ; [247 120],[61.46086957 31.53913043] ; [242.53913043 124.46086957],0
v2,1,0.277975,1.176962,[38 48] ; [178 173],[42.50800915 43.49199085] ; [173.49199085 177.50800915],0
d4,1,0.303628,1.058192,[69 23] ; [294  74],[72.6 19.4] ; [290.4  77.6],0
a7,1,0.372654,0.794795,[62 31] ; [262 105],[65.50434783 27.49565217] ; [258.49565217 108.50434783],0
p4,1,0.426069,0.633514,[31 61] ; [139 225],[34.29824561 57.70175439] ; [135.70175439 228.29824561],0
p5,1,0.455511,0.556903,[ 3 88] ; [ 19 349],[ 4.36165577 86.63834423] ; [ 17.63834423 350.36165577],0
n3,1,0.529429,0.395487,[28 10] ; [73 34],[26.46896552 11.53103448] ; [74.53103448 32.46896552],0
p12,1,0.589359,0.291347,[ 3 87] ; [ 17 350],[ 3.93873085 86.06126915] ; [ 16.06126915 350.93873085],0
a1,1,0.620973,0.244502,[ 4 89] ; [ 12 357],[ 3.22077922 89.77922078] ; [ 12.77922078 356.22077922],0
d3,1,0.641385,0.216936,[60 31] ; [252 116],[61.85620915 29.14379085] ; [250.14379085 117.85620915],0
n2,1,0.690646,0.158387,[29 11] ; [81 26],[29.93197279 10.06802721] ; [80.06802721 26.93197279],0
a8,1,0.778052,0.079444,[11 77] ; [ 46 291],[11.80235294 76.19764706] ; [ 45.19764706 291.80235294],0
b4,1,0.804672,0.06116,[55 38] ; [213 156],[53.94805195 39.05194805] ; [214.05194805 154.94805195],0
b5,1,0.813274,0.055792,[58 35] ; [235 134],[58.98051948 34.01948052] ; [234.01948052 134.98051948],0
s3,1,0.815678,0.054339,[48 43] ; [186 176],[47.00662252 43.99337748] ; [186.99337748 175.00662252],0
a6,1,0.818027,0.052938,[62 30] ; [244 125],[61.06724512 30.93275488] ; [244.93275488 124.06724512],0
n1,1,0.830435,0.045857,[14 24] ; [37 69],[13.45833333 24.54166667] ; [37.54166667 68.45833333],0
d5,1,0.956549,0.002969,[70 22] ; [279  89],[69.8 22.2] ; [279.2  88.8],0
