Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.114386,[78 38] ; [ 7 25],[66.62162162 49.37837838] ; [18.37837838 13.62162162],1
v4,1,0.00019,13.92708,[100  16] ; [18 14],[92.48648649 23.51351351] ; [25.51351351  6.48648649],1
s7,1,0.00515,7.825987,[46 64] ; [ 4 25],[39.56834532 70.43165468] ; [10.43165468 18.56834532],0
v1,1,0.019339,5.470608,[54 58] ; [ 8 24],[48.22222222 63.77777778] ; [13.77777778 18.22222222],0
d5,1,0.021818,5.260202,[83 33] ; [16 16],[77.59459459 38.40540541] ; [21.40540541 10.59459459],0
r3,1,0.026982,4.891991,[96 20] ; [20 11],[91.53741497 24.46258503] ; [24.46258503  6.53741497],0
s3,1,0.027742,4.844021,[58 58] ; [ 9 23],[52.51351351 63.48648649] ; [14.48648649 17.51351351],0
p10,1,0.030893,4.6589,[89 26] ; [18 13],[84.28082192 30.71917808] ; [22.71917808  8.28082192],0
p6,1,0.033012,4.545146,[41 72] ; [ 5 26],[36.09722222 76.90277778] ; [ 9.90277778 21.09722222],0
s2,1,0.035457,4.423046,[49 67] ; [ 7 25],[43.89189189 72.10810811] ; [12.10810811 19.89189189],0
v3,1,0.040204,4.209271,[39 74] ; [ 5 27],[34.28965517 78.71034483] ; [ 9.71034483 22.28965517],0
a7,1,0.051698,3.785525,[66 50] ; [12 20],[61.13513514 54.86486486] ; [16.86486486 15.13513514],0
d1,1,0.063281,3.449227,[50 66] ; [ 8 24],[45.45945946 70.54054054] ; [12.54054054 19.45945946],0
a4,1,0.084999,2.966626,[44 71] ; [ 7 25],[39.89795918 75.10204082] ; [11.10204082 20.89795918],0
d3,1,0.089884,2.87645,[59 56] ; [11 21],[54.76190476 60.23809524] ; [15.23809524 16.76190476],0
d4,1,0.116109,2.469044,[79 37] ; [17 15],[75.24324324 40.75675676] ; [20.75675676 11.24324324],0
a8,1,0.13956,2.182799,[  9 103] ; [ 5 24],[ 11.12056738 100.87943262] ; [ 2.87943262 26.12056738],0
p2,1,0.143399,2.141102,[83 31] ; [19 13],[79.64383562 34.35616438] ; [22.35616438  9.64383562],0
a5,1,0.145734,2.116347,[71 45] ; [15 17],[67.40540541 48.59459459] ; [18.59459459 13.40540541],0
a3,1,0.145734,2.116347,[71 45] ; [15 17],[67.40540541 48.59459459] ; [18.59459459 13.40540541],0
a6,1,0.145734,2.116347,[71 45] ; [15 17],[67.40540541 48.59459459] ; [18.59459459 13.40540541],0
s8,1,0.147012,2.102982,[37 79] ; [ 6 26],[33.7027027 82.2972973] ; [ 9.2972973 22.7027027],0
p3,1,0.157034,2.002558,[52 63] ; [10 22],[48.50340136 66.49659864] ; [13.49659864 18.50340136],0
s4,1,0.169688,1.885695,[20 96] ; [ 9 23],[22.72972973 93.27027027] ; [ 6.27027027 25.72972973],0
u3,1,0.172409,1.86187,[16 29] ; [ 3 14],[13.79032258 31.20967742] ; [ 5.20967742 11.79032258],0
u2,1,0.176624,1.825801,[15 29] ; [9 8],[17.31147541 26.68852459] ; [ 6.68852459 10.31147541],0
s5,1,0.191735,1.704233,[25 83] ; [ 4 28],[22.37142857 85.62857143] ; [ 6.62857143 25.37142857],0
s6,1,0.196396,1.668973,[60 52] ; [13 19],[56.77777778 55.22222222] ; [16.22222222 15.77777778],0
b4,1,0.218291,1.515569,[72 44] ; [16 16],[68.97297297 47.02702703] ; [19.02702703 12.97297297],0
n6,1,0.220733,1.499601,[94 21] ; [23  9],[91.53061224 23.46938776] ; [25.46938776  6.53061224],0
