Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,26.844776,[132  31] ; [87 74],[110.17592593  52.82407407] ; [108.82407407  52.17592593],1
s7,1,0.000129,14.653767,[118  40] ; [86 73],[101.67823344  56.32176656] ; [102.32176656  56.67823344],1
p5,1,0.006388,7.437427,[ 36 128] ; [ 18 148],[ 26.83636364 137.16363636] ; [ 27.16363636 138.83636364],0
p12,1,0.014901,5.928106,[ 26 138] ; [ 12 153],[ 18.94224924 145.05775076] ; [ 19.05775076 145.94224924],0
p3,1,0.015818,5.822967,[103  60] ; [83 83],[92.15197568 70.84802432] ; [93.84802432 72.15197568],0
s4,1,0.019179,5.485136,[ 21 143] ; [ 37 126],[ 29.08868502 134.91131498] ; [ 28.91131498 134.08868502],0
n5,1,0.025024,5.022223,[145  20] ; [129  35],[137.41641337  27.58358663] ; [136.58358663  27.41641337],0
d1,1,0.025839,4.966792,[113  52] ; [94 72],[103.18731118  61.81268882] ; [103.81268882  62.18731118],0
n2,1,0.027584,4.853898,[22  9] ; [33  3],[25.44776119  5.55223881] ; [29.55223881  6.44776119],0
n6,1,0.029469,4.74,[150  13] ; [139  26],[143.61890244  19.38109756] ; [145.38109756  19.61890244],0
s8,1,0.029883,4.715997,[105  57] ; [88 78],[95.32317073 66.67682927] ; [97.67682927 68.32317073],0
s2,1,0.042688,4.107724,[117  46] ; [101  64],[108.33536585  54.66463415] ; [109.66463415  55.33536585],0
s3,1,0.046663,3.957514,[117  43] ; [103  61],[108.64197531  51.35802469] ; [111.35802469  52.64197531],0
a1,1,0.062967,3.457461,[ 14 151] ; [  6 160],[  9.96978852 155.03021148] ; [ 10.03021148 155.96978852],0
r4,1,0.063399,3.446161,[157   8] ; [149  17],[152.53776435  12.46223565] ; [153.46223565  12.53776435],0
u2,1,0.072679,3.221454,[27 10] ; [23 20],[23.125 13.875] ; [26.875 16.125],0
p8,1,0.101499,2.681837,[101  61] ; [87 76],[93.71076923 68.28923077] ; [94.28923077 68.71076923],0
n4,1,0.11256,2.517904,[140  25] ; [128  36],[134.40729483  30.59270517] ; [133.59270517  30.40729483],0
u4,1,0.122722,2.382228,[  8 157] ; [  3 163],[  5.48338369 159.51661631] ; [  5.51661631 160.48338369],0
d3,1,0.125172,2.351384,[125  39] ; [114  52],[118.77575758  45.22424242] ; [120.22424242  45.77575758],0
s1,1,0.130275,2.289223,[  8 155] ; [  3 158],[  5.53395062 157.46604938] ; [  5.46604938 155.53395062],0
d2,1,0.136718,2.214514,[88 75] ; [76 90],[81.25227964 81.74772036] ; [82.74772036 83.25227964],0
n3,1,0.16296,1.946544,[18 13] ; [26  9],[20.66666667 10.33333333] ; [23.33333333 11.66666667],0
d4,1,0.168127,1.899563,[145  18] ; [139  27],[140.70516717  22.29483283] ; [143.29483283  22.70516717],0
p4,1,0.168295,1.898069,[117  47] ; [106  59],[111.16109422  52.83890578] ; [111.83890578  53.16109422],0
p1,1,0.192544,1.698041,[ 20 144] ; [ 13 152],[ 16.44984802 147.55015198] ; [ 16.55015198 148.44984802],0
n1,1,0.249517,1.326007,[12 19] ; [19 17],[14.34328358 16.65671642] ; [16.65671642 19.34328358],0
a8,1,0.255092,1.295201,[ 20 129] ; [ 27 121],[ 23.57912458 125.42087542] ; [ 23.42087542 124.57912458],0
p11,1,0.283216,1.151592,[136  29] ; [129  37],[132.09969789  32.90030211] ; [132.90030211  33.09969789],0
d5,1,0.319482,0.991065,[141  22] ; [137  29],[137.7325228  25.2674772] ; [140.2674772  25.7325228],0
a7,1,0.349693,0.874572,[116  48] ; [125  41],[119.76969697  44.23030303] ; [121.23030303  44.76969697],0
b5,1,0.396351,0.719369,[104  61] ; [112  54],[107.67371601  57.32628399] ; [108.32628399  57.67371601],0
u1,1,0.488883,0.478984,[ 39 126] ; [ 34 132],[ 36.3897281 128.6102719] ; [ 36.6102719 129.3897281],0
v4,1,0.514365,0.425178,[161   4] ; [158   6],[159.98480243   5.01519757] ; [159.01519757   4.98480243],0
