Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.027012,4.890046,[1 8] ; [9 7],[3.6 5.4] ; [6.4 9.6],0
a5,1,0.032577,4.567869,[35  8] ; [26 17],[30.5 12.5] ; [30.5 12.5],0
n6,1,0.032581,4.567685,[33 10] ; [23 19],[28.32941176 14.67058824] ; [27.67058824 14.32941176],0
u2,1,0.060761,3.516484,[4 3] ; [12  1],[5.6 1.4] ; [10.4  2.6],0
s5,1,0.078404,3.097684,[12 27] ; [21 21],[15.88888889 23.11111111] ; [17.11111111 24.88888889],0
a3,1,0.078911,3.087179,[36  7] ; [29 14],[32.5 10.5] ; [32.5 10.5],0
p11,1,0.103855,2.645323,[33 10] ; [26 17],[29.5 13.5] ; [29.5 13.5],0
s4,1,0.110343,2.549304,[11 32] ; [18 25],[14.5 28.5] ; [14.5 28.5],0
a2,1,0.125649,2.345455,[13 30] ; [ 7 36],[10. 33.] ; [10. 33.],0
p1,1,0.128277,2.313231,[ 2 41] ; [ 6 36],[ 4.04705882 38.95294118] ; [ 3.95294118 38.04705882],0
s6,1,0.138113,2.198864,[29 14] ; [35  8],[32. 11.] ; [32. 11.],0
r1,1,0.138113,2.198864,[35  8] ; [29 14],[32. 11.] ; [32. 11.],0
v4,1,0.146779,2.10541,[40  2] ; [37  6],[38.04705882  3.95294118] ; [38.95294118  4.04705882],0
p6,1,0.149824,2.074037,[19 22] ; [13 29],[15.80722892 25.19277108] ; [16.19277108 25.80722892],0
v2,1,0.155047,2.021884,[26 16] ; [18 21],[22.81481481 19.18518519] ; [21.18518519 17.81481481],0
b3,1,0.17602,1.83091,[11 23] ; [12 12],[13.48275862 20.51724138] ; [ 9.51724138 14.48275862],0
b2,1,0.17602,1.83091,[11 23] ; [12 12],[13.48275862 20.51724138] ; [ 9.51724138 14.48275862],0
d4,1,0.213202,1.54955,[39  4] ; [35  8],[37.  6.] ; [37.  6.],0
a6,1,0.254092,1.300665,[31 12] ; [26 17],[28.5 14.5] ; [28.5 14.5],0
u1,1,0.267685,1.228571,[10 33] ; [ 6 37],[ 8. 35.] ; [ 8. 35.],0
v1,1,0.274006,1.196581,[17 25] ; [22 20],[19.5 22.5] ; [19.5 22.5],0
b5,1,0.276162,1.18588,[27 16] ; [22 21],[24.5 18.5] ; [24.5 18.5],0
d2,1,0.280888,1.162791,[24 19] ; [19 24],[21.5 21.5] ; [21.5 21.5],0
d3,1,0.307258,1.042424,[35  8] ; [31 12],[33. 10.] ; [33. 10.],0
n2,1,0.317113,1.000817,[5 4] ; [12  4],[6.12 2.88] ; [10.88  5.12],0
r4,1,0.332746,0.938182,[39  4] ; [36  7],[37.5  5.5] ; [37.5  5.5],0
d5,1,0.366471,0.815595,[38  5] ; [35  8],[36.5  6.5] ; [36.5  6.5],0
a4,1,0.377668,0.778281,[19 24] ; [15 28],[17. 26.] ; [17. 26.],0
p10,1,0.414135,0.666899,[30 12] ; [34  9],[31.62352941 10.37647059] ; [32.37647059 10.62352941],0
r2,1,0.431271,0.619399,[39  2] ; [39  4],[38.07142857  2.92857143] ; [39.92857143  3.07142857],0
u3,1,0.431923,0.617647,[5 2] ; [12  2],[5.66666667 1.33333333] ; [11.33333333  2.66666667],0
p7,1,0.450763,0.568734,[28 15] ; [24 18],[26.30588235 16.69411765] ; [25.69411765 16.30588235],0
d1,1,0.513506,0.426917,[26 17] ; [23 20],[24.5 18.5] ; [24.5 18.5],0
a1,1,0.556739,0.345382,[ 2 41] ; [ 1 42],[ 1.5 41.5] ; [ 1.5 41.5],0
b1,1,0.645343,0.211823,[13 30] ; [15 28],[14. 29.] ; [14. 29.],0
a8,1,0.662593,0.190389,[ 5 33] ; [ 4 36],[ 4.38461538 33.61538462] ; [ 4.61538462 35.38461538],0
s8,1,0.664087,0.188596,[23 20] ; [25 18],[24. 19.] ; [24. 19.],0
p4,1,0.666143,0.186147,[20 23] ; [22 21],[21. 22.] ; [21. 22.],0
p2,1,0.80181,0.063004,[33 10] ; [32 11],[32.5 10.5] ; [32.5 10.5],0
a7,1,0.80181,0.063004,[32 11] ; [33 10],[32.5 10.5] ; [32.5 10.5],0
b4,1,0.819574,0.052027,[29 14] ; [28 15],[28.5 14.5] ; [28.5 14.5],0
s2,1,0.826262,0.048179,[25 18] ; [26 17],[25.5 17.5] ; [25.5 17.5],0
p3,1,0.828516,0.046918,[20 23] ; [19 24],[19.5 23.5] ; [19.5 23.5],0
p8,1,0.901672,0.015264,[19 24] ; [18 24],[18.71764706 24.28235294] ; [18.28235294 23.71764706],0
v3,1,0.951855,0.003645,[13 29] ; [12 26],[13.125 28.875] ; [11.875 26.125],0
p5,1,0.976152,0.000894,[ 3 40] ; [ 3 39],[ 3.03529412 39.96470588] ; [ 2.96470588 39.03529412],0
s3,1,1.0,0.0,[28 15] ; [28 15],[28. 15.] ; [28. 15.],0
p9,1,1.0,0.0,[33  9] ; [33  9],[33.  9.] ; [33.  9.],0
p12,1,1.0,0.0,[ 1 42] ; [ 1 42],[ 1. 42.] ; [ 1. 42.],0
