Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,3.5e-05,17.107312,[49 17] ; [33 49],[36.56756757 29.43243243] ; [45.43243243 36.56756757],1
v2,1,0.000715,11.449624,[39 24] ; [26 52],[29.04255319 33.95744681] ; [35.95744681 42.04255319],1
r1,1,0.00258,9.082884,[56 10] ; [52 31],[47.83892617 18.16107383] ; [60.16107383 22.83892617],0
d2,1,0.011492,6.387664,[22 44] ; [13 70],[15.5033557 50.4966443] ; [19.4966443 63.5033557],0
b3,1,0.012473,6.242378,[25 25] ; [10 31],[19.23076923 30.76923077] ; [15.76923077 25.23076923],0
b2,1,0.012473,6.242378,[25 25] ; [10 31],[19.23076923 30.76923077] ; [15.76923077 25.23076923],0
v3,1,0.016233,5.777497,[28 38] ; [19 61],[21.24657534 44.75342466] ; [25.75342466 54.24657534],0
d1,1,0.018605,5.538252,[ 8 58] ; [ 2 81],[ 4.4295302 61.5704698] ; [ 5.5704698 77.4295302],0
n5,1,0.025602,4.982707,[52 14] ; [50 31],[45.79591837 20.20408163] ; [56.20408163 24.79591837],0
a5,1,0.027438,4.863049,[41 25] ; [36 46],[34.33783784 31.66216216] ; [42.66216216 39.33783784],0
s4,1,0.030036,4.707225,[ 8 57] ; [22 60],[13.26530612 51.73469388] ; [16.73469388 65.26530612],0
u3,1,0.041675,4.148352,[12  5] ; [21 29],[8.37313433 8.62686567] ; [24.62686567 25.37313433],0
n4,1,0.045665,3.993925,[49 17] ; [48 34],[43.25675676 22.74324324] ; [53.74324324 28.25675676],0
r4,1,0.055916,3.65456,[60  6] ; [66 17],[55.81208054 10.18791946] ; [70.18791946 12.81208054],0
s8,1,0.057288,3.614213,[28 37] ; [23 59],[22.55102041 42.44897959] ; [28.44897959 53.55102041],0
a2,1,0.058162,3.589023,[ 9 57] ; [ 4 79],[ 5.75838926 60.24161074] ; [ 7.24161074 75.75838926],0
s7,1,0.08064,3.051948,[30 32] ; [26 51],[24.97841727 37.02158273] ; [31.02158273 45.97841727],0
n3,1,0.084382,2.978422,[6 3] ; [21  2],[7.59375 1.40625] ; [19.40625  3.59375],0
r2,1,0.097715,2.742441,[60  5] ; [69 14],[56.65540541  8.34459459] ; [72.34459459 10.65540541],0
p10,1,0.113716,2.501805,[53 11] ; [58 23],[48.99310345 15.00689655] ; [62.00689655 18.99310345],0
b5,1,0.15971,1.976974,[41 25] ; [42 41],[36.76510067 29.23489933] ; [46.23489933 36.76510067],0
r3,1,0.168335,1.897705,[62  3] ; [74  9],[59.72972973  5.27027027] ; [76.27027027  6.72972973],0
a4,1,0.174937,1.840123,[18 47] ; [15 67],[14.59183673 50.40816327] ; [18.40816327 63.59183673],0
b1,1,0.181927,1.781809,[31 35] ; [30 53],[27.02013423 38.97986577] ; [33.97986577 49.02013423],0
p1,1,0.197687,1.659381,[12 53] ; [ 9 73],[ 9.28571429 55.71428571] ; [11.71428571 70.28571429],0
d3,1,0.202046,1.627524,[31 35] ; [30 52],[27.2027027 38.7972973] ; [33.7972973 48.2027027],0
p4,1,0.239221,1.385177,[34 31] ; [34 46],[30.48275862 34.51724138] ; [37.51724138 42.48275862],0
a6,1,0.245303,1.34986,[44 22] ; [47 35],[40.58108108 25.41891892] ; [50.41891892 31.58108108],0
n2,1,0.256372,1.288245,[8 1] ; [16  7],[6.75 2.25] ; [17.25  5.75],0
s5,1,0.329897,0.949303,[15 47] ; [25 54],[17.58865248 44.41134752] ; [22.41134752 56.58865248],0
s3,1,0.332214,0.940248,[36 28] ; [38 41],[33.11888112 30.88111888] ; [40.88111888 38.11888112],0
p12,1,0.35738,0.847079,[ 5 60] ; [10 71],[ 6.67808219 58.32191781] ; [ 8.32191781 72.67808219],0
u2,1,0.362769,0.828286,[11  6] ; [26 24],[9.3880597 7.6119403] ; [27.6119403 22.3880597],0
p9,1,0.366888,0.814177,[55 10] ; [63 17],[52.89655172 12.10344828] ; [65.10344828 14.89655172],0
p7,1,0.375116,0.786646,[40 24] ; [43 35],[37.4084507 26.5915493] ; [45.5915493 32.4084507],0
s2,1,0.396857,0.71783,[29 34] ; [32 50],[26.50344828 36.49655172] ; [34.49655172 47.50344828],0
p8,1,0.410971,0.67599,[36 28] ; [40 41],[33.54482759 30.45517241] ; [42.45517241 38.54482759],0
s1,1,0.477523,0.504515,[ 4 60] ; [ 3 78],[ 3.08965517 60.91034483] ; [ 3.91034483 77.08965517],0
v4,1,0.509077,0.435965,[62  3] ; [77  6],[61.0472973  3.9527027] ; [77.9527027  5.0472973],0
a7,1,0.527569,0.399072,[42 24] ; [48 34],[40.13513514 25.86486486] ; [49.86486486 32.13513514],0
p2,1,0.528994,0.396323,[49 16] ; [58 24],[47.31292517 17.68707483] ; [59.68707483 22.31292517],0
n6,1,0.553727,0.350682,[55 11] ; [66 17],[53.59731544 12.40268456] ; [67.40268456 15.59731544],0
d4,1,0.607232,0.264226,[35 31] ; [40 42],[33.44594595 32.55405405] ; [41.55405405 40.44594595],0
n1,1,0.61174,0.257649,[4 5] ; [ 8 15],[3.375 5.625] ; [ 8.625 14.375],0
a1,1,0.773998,0.082455,[ 3 63] ; [ 3 80],[ 2.65771812 63.34228188] ; [ 3.34228188 79.65771812],0
u1,1,0.773998,0.082455,[ 3 63] ; [ 3 80],[ 2.65771812 63.34228188] ; [ 3.34228188 79.65771812],0
p5,1,0.775692,0.08119,[ 8 56] ; [ 9 73],[ 7.45205479 56.54794521] ; [ 9.54794521 72.45205479],0
p6,1,0.835729,0.042998,[21 42] ; [26 56],[20.42068966 42.57931034] ; [26.57931034 55.42068966],0
p3,1,0.873982,0.025155,[27 38] ; [33 49],[26.53061224 38.46938776] ; [33.46938776 48.53061224],0
b4,1,0.916832,0.010905,[40 26] ; [51 32],[40.30872483 25.69127517] ; [50.69127517 32.30872483],0
s6,1,0.969919,0.001422,[37 27] ; [46 34],[36.88888889 27.11111111] ; [46.11111111 33.88888889],0
a8,1,0.987788,0.000234,[ 7 54] ; [ 9 70],[ 6.97142857 54.02857143] ; [ 9.02857143 69.97142857],0
