Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,35.06452,[249  43] ; [22 24],[234.1183432  57.8816568] ; [36.8816568  9.1183432],1
n5,1,0.0,32.797056,[243  49] ; [21 25],[228.07100592  63.92899408] ; [35.92899408 10.07100592],1
a4,1,0.000667,11.578538,[149 144] ; [11 35],[138.28908555 154.71091445] ; [21.71091445 24.28908555],1
a3,1,0.001595,9.965699,[233  59] ; [27 19],[224.61538462  67.38461538] ; [35.38461538 10.61538462],0
a5,1,0.005054,7.859902,[238  55] ; [29 17],[230.7699115  62.2300885] ; [36.2300885  9.7699115],0
b1,1,0.008682,6.887044,[112 181] ; [27 19],[120.13864307 172.86135693] ; [18.86135693 27.13864307],0
u1,1,0.010452,6.556269,[ 76 217] ; [ 4 42],[ 69.14454277 223.85545723] ; [10.85545723 35.14454277],0
a2,1,0.01496,5.921156,[ 89 204] ; [ 6 40],[ 82.10914454 210.89085546] ; [12.89085546 33.10914454],0
s7,1,0.017808,5.614918,[211  69] ; [25 18],[204.58204334  75.41795666] ; [31.41795666 11.58204334],0
d2,1,0.021311,5.301212,[174 119] ; [19 27],[166.81120944 126.18879056] ; [26.18879056 19.81120944],0
u2,1,0.022587,5.2,[36 24] ; [16  2],[40. 20.] ; [12.  6.],0
v3,1,0.023578,5.125433,[134 150] ; [12 30],[127.19018405 156.80981595] ; [18.80981595 23.19018405],0
r1,1,0.027159,4.880652,[247  44] ; [33 13],[241.78041543  49.21958457] ; [38.21958457  7.78041543],0
r4,1,0.028585,4.792449,[275  18] ; [39  7],[271.39233038  21.60766962] ; [42.60766962  3.39233038],0
p9,1,0.031217,4.640973,[263  27] ; [36  9],[258.8358209  31.1641791] ; [40.1641791  4.8358209],0
v2,1,0.035974,4.398332,[179 104] ; [20 23],[172.75153374 110.24846626] ; [26.24846626 16.75153374],0
r2,1,0.042153,4.129043,[278  12] ; [39  5],[275.23952096  14.76047904] ; [41.76047904  2.23952096],0
u3,1,0.053262,3.735695,[40 20] ; [17  2],[43.29113924 16.70886076] ; [13.70886076  5.29113924],0
p10,1,0.064611,3.414894,[254  35] ; [35 10],[250.06287425  38.93712575] ; [38.93712575  6.06287425],0
d1,1,0.154482,2.02743,[197  96] ; [26 20],[192.74041298 100.25958702] ; [30.25958702 15.74041298],0
p6,1,0.217192,1.522827,[129 161] ; [16 30],[125.14880952 164.85119048] ; [19.85119048 26.14880952],0
p3,1,0.276423,1.184593,[159 134] ; [21 25],[155.57522124 137.42477876] ; [24.42477876 21.57522124],0
d4,1,0.2798,1.168059,[247  45] ; [36 10],[244.4852071  47.5147929] ; [38.5147929  7.4852071],0
s4,1,0.282545,1.154805,[ 56 235] ; [12 34],[ 58.71810089 232.28189911] ; [ 9.28189911 36.71810089],0
p1,1,0.284252,1.146649,[ 19 273] ; [ 5 41],[ 20.73372781 271.26627219] ; [ 3.26627219 42.73372781],0
b3,1,0.304277,1.055355,[ 84 112] ; [11 22],[ 81.31004367 114.68995633] ; [13.68995633 19.31004367],0
b2,1,0.304277,1.055355,[ 84 112] ; [11 22],[ 81.31004367 114.68995633] ; [13.68995633 19.31004367],0
p12,1,0.338295,0.916881,[ 25 265] ; [ 2 43],[ 23.37313433 266.62686567] ; [ 3.62686567 41.37313433],0
d5,1,0.361463,0.832803,[250  42] ; [37  9],[247.9408284  44.0591716] ; [39.0591716  6.9408284],0
p4,1,0.373689,0.791362,[185 107] ; [26 20],[182.28402367 109.71597633] ; [28.71597633 17.28402367],0
s1,1,0.418442,0.654687,[  7 282] ; [ 2 42],[  7.81081081 281.18918919] ; [ 1.18918919 42.81081081],0
p8,1,0.435445,0.608257,[155 132] ; [22 24],[152.54954955 134.45045045] ; [24.45045045 21.54954955],0
p11,1,0.447196,0.577749,[237  56] ; [35 11],[235.09144543  57.90855457] ; [36.90855457  9.09144543],0
a6,1,0.504701,0.445038,[195  97] ; [33 13],[196.9704142  95.0295858] ; [31.0295858 14.9704142],0
n2,1,0.543707,0.368713,[43 18] ; [11  3],[43.92 17.08] ; [10.08  3.92],0
a7,1,0.557743,0.343626,[203  89] ; [30 16],[201.28994083  90.71005917] ; [31.71005917 14.28994083],0
n3,1,0.586393,0.296012,[43 17] ; [9 5],[42.16216216 17.83783784] ; [9.83783784 4.16216216],0
v4,1,0.60509,0.267387,[282  11] ; [44  1],[282.59763314  10.40236686] ; [43.40236686  1.59763314],0
b4,1,0.608306,0.26265,[171 122] ; [25 21],[169.40412979 123.59587021] ; [26.59587021 19.40412979],0
p7,1,0.624474,0.23963,[192  93] ; [28 16],[190.5775076  94.4224924] ; [29.4224924 14.5775076],0
s5,1,0.63106,0.230627,[115 165] ; [16 27],[113.56037152 166.43962848] ; [17.43962848 25.56037152],0
s2,1,0.731817,0.11745,[207  83] ; [31 14],[206.02985075  83.97014925] ; [31.97014925 13.02985075],0
r3,1,0.749725,0.101762,[283  10] ; [44  2],[282.62831858  10.37168142] ; [44.37168142  1.62831858],0
s3,1,0.749892,0.101622,[211  79] ; [31 13],[210.11976048  79.88023952] ; [31.88023952 12.11976048],0
p2,1,0.77809,0.079416,[246  46] ; [38  8],[245.34911243  46.65088757] ; [38.65088757  7.34911243],0
s6,1,0.791261,0.070052,[243  47] ; [37  8],[242.3880597  47.6119403] ; [37.6119403  7.3880597],0
a1,1,0.845477,0.037983,[ 11 282] ; [ 2 44],[ 11.2359882 281.7640118] ; [ 1.7640118 44.2359882],0
v1,1,0.872813,0.025628,[165 119] ; [25 19],[164.51219512 119.48780488] ; [25.48780488 18.51219512],0
d3,1,0.895625,0.017211,[201  92] ; [32 14],[201.38348083  91.61651917] ; [31.61651917 14.38348083],0
a8,1,0.93213,0.007253,[ 44 222] ; [ 7 34],[ 44.18892508 221.81107492] ; [ 6.81107492 34.18892508],0
n1,1,0.964934,0.001933,[25 36] ; [5 7],[25.06849315 35.93150685] ; [4.93150685 7.06849315],0
b5,1,0.989942,0.000159,[185 108] ; [29 17],[184.96165192 108.03834808] ; [29.03834808 16.96165192],0
