Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,79.645323,[329  80] ; [61 87],[286.37342908 122.62657092] ; [103.62657092  44.37342908],1
d3,1,0.0,57.946843,[327  83] ; [69 79],[290.96774194 119.03225806] ; [105.03225806  42.96774194],1
a2,1,0.0,39.149061,[148 264] ; [ 13 135],[118.45 293.55] ; [ 42.55 105.45],1
u1,1,0.0,26.191152,[115 297] ; [ 11 137],[ 92.7 319.3] ; [ 33.3 114.7],1
b5,1,2e-06,22.76742,[268 144] ; [63 85],[243.52142857 168.47857143] ; [87.47857143 60.52142857],1
d1,1,0.00199,9.558601,[276 136] ; [78 70],[260.44285714 151.55714286] ; [93.55714286 54.44285714],0
r4,1,0.004244,8.176285,[401  11] ; [136  12],[395.07857143  16.92142857] ; [141.92142857   6.07857143],0
v2,1,0.011062,6.455315,[247 148] ; [72 71],[234.21003717 160.78996283] ; [84.78996283 58.21003717],0
b1,1,0.012933,6.178255,[155 257] ; [73 75],[167.74285714 244.25714286] ; [60.25714286 87.74285714],0
b3,1,0.013041,6.163477,[ 92 160] ; [50 48],[102.24 149.76] ; [39.76 58.24],0
b2,1,0.013041,6.163477,[ 92 160] ; [50 48],[102.24 149.76] ; [39.76 58.24],0
r3,1,0.013063,6.160503,[396  13] ; [136  12],[390.6427289  18.3572711] ; [141.3572711   6.6427289],0
s5,1,0.026183,4.943914,[138 260] ; [65 79],[149.06642066 248.93357934] ; [53.93357934 90.06642066],0
p4,1,0.027963,4.830362,[277 131] ; [85 62],[266.11891892 141.88108108] ; [95.88108108 51.11891892],0
a4,1,0.041987,4.135712,[213 197] ; [62 85],[202.42369838 207.57630162] ; [72.57630162 74.42369838],0
v4,1,0.048937,3.877519,[402   9] ; [139   8],[398.47849462  12.52150538] ; [142.52150538   4.47849462],0
n3,1,0.060409,3.526128,[55 19] ; [21 16],[50.66666667 23.33333333] ; [25.33333333 11.66666667],0
a5,1,0.061791,3.48866,[331  81] ; [108  40],[322.97857143  89.02142857] ; [116.02142857  31.97857143],0
u3,1,0.072835,3.217952,[67 35] ; [17 18],[62.54014599 39.45985401] ; [21.45985401 13.54014599],0
n2,1,0.084784,2.970729,[62 13] ; [26 12],[58.40707965 16.59292035] ; [29.59292035  8.40707965],0
r2,1,0.101261,2.685573,[403   9] ; [138   7],[400.16517056  11.83482944] ; [140.83482944   4.16517056],0
s8,1,0.106535,2.60489,[193 212] ; [82 66],[201.40144665 203.59855335] ; [73.59855335 74.40144665],0
n1,1,0.128348,2.312367,[36 37] ; [13 25],[32.22522523 40.77477477] ; [16.77477477 21.22522523],0
d4,1,0.129755,2.295431,[348  62] ; [116  30],[342.15827338  67.84172662] ; [121.84172662  24.15827338],0
p1,1,0.137144,2.209716,[ 42 368] ; [  9 138],[ 37.54039497 372.45960503] ; [ 13.45960503 133.54039497],0
d5,1,0.159607,1.977946,[347  63] ; [117  30],[341.54398564  68.45601436] ; [122.45601436  24.54398564],0
