Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,35.146599,[64 72] ; [ 27 143],[40.44444444 95.55555556] ; [ 50.55555556 119.44444444],1
r3,1,1.4e-05,18.870642,[132   5] ; [137  35],[119.26537217  17.73462783] ; [149.73462783  22.26537217],1
v1,1,5.5e-05,16.270158,[67 67] ; [ 47 124],[50.0852459 83.9147541] ; [ 63.9147541 107.0852459],1
d4,1,0.000108,14.988278,[120  19] ; [116  56],[105.47909968  33.52090032] ; [130.52090032  41.47909968],1
r1,1,0.000247,13.43789,[113  27] ; [106  66],[98.26923077 41.73076923] ; [120.73076923  51.26923077],1
p10,1,0.0003,13.068175,[104  34] ; [95 76],[88.87378641 49.12621359] ; [110.12621359  60.87378641],1
p9,1,0.000594,11.795402,[110  26] ; [105  62],[96.50165017 39.49834983] ; [118.49834983  48.50165017],1
d1,1,0.000599,11.778057,[79 61] ; [ 64 109],[63.96166134 76.03833866] ; [79.03833866 93.96166134],1
s8,1,0.00101,10.808743,[51 89] ; [ 34 138],[ 38.14102564 101.85897436] ; [ 46.85897436 125.14102564],0
d5,1,0.002347,9.255906,[112  28] ; [110  61],[99.93569132 40.06430868] ; [122.06430868  48.93569132],0
s2,1,0.003763,8.395007,[66 73] ; [ 54 118],[53.63344051 85.36655949] ; [ 66.36655949 105.63344051],0
s7,1,0.005038,7.865703,[57 77] ; [ 45 121],[45.56 88.44] ; [ 56.44 109.56],0
p11,1,0.005441,7.726826,[105  35] ; [104  69],[93.48242812 46.51757188] ; [115.51757188  57.48242812],0
v4,1,0.006681,7.356803,[127  11] ; [139  32],[118.7961165  19.2038835] ; [147.2038835  23.7961165],0
r4,1,0.011009,6.463878,[116  24] ; [122  51],[106.45367412  33.54632588] ; [131.54632588  41.45367412],0
s6,1,0.011236,6.427545,[80 57] ; [75 96],[68.94480519 68.05519481] ; [86.05519481 84.94480519],0
d3,1,0.011294,6.418444,[94 46] ; [90 80],[83.09677419 56.90322581] ; [100.90322581  69.09677419],0
a7,1,0.015018,5.91431,[103  36] ; [105  67],[92.96463023 46.03536977] ; [115.03536977  56.96463023],0
n6,1,0.022338,5.219278,[112  27] ; [119  53],[103.24437299  35.75562701] ; [127.75562701  44.24437299],0
