Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,8.3e-05,15.490445,[48  5] ; [22 18],[39.89247312 13.10752688] ; [30.10752688  9.89247312],1
p3,1,0.000519,12.046484,[31 22] ; [ 9 31],[22.79569892 30.20430108] ; [17.20430108 22.79569892],1
p8,1,0.005063,7.856778,[26 27] ; [ 8 31],[19.58695652 33.41304348] ; [14.41304348 24.58695652],0
n6,1,0.009237,6.77641,[46  6] ; [25 13],[41.02222222 10.97777778] ; [29.97777778  8.02222222],0
a6,1,0.011198,6.433585,[27 26] ; [30  9],[32.83695652 20.16304348] ; [24.16304348 14.83695652],0
p6,1,0.022385,5.215593,[29 24] ; [12 27],[23.61956522 29.38043478] ; [17.38043478 21.61956522],0
p5,1,0.025622,4.981335,[ 9 44] ; [ 1 39],[ 5.69892473 47.30107527] ; [ 4.30107527 35.69892473],0
n5,1,0.040013,4.217351,[41 11] ; [23 16],[36.57142857 15.42857143] ; [27.42857143 11.57142857],0
n2,1,0.060082,3.535125,[11  8] ; [17  3],[13.64102564  5.35897436] ; [14.35897436  5.64102564],0
p7,1,0.062834,3.460968,[30 23] ; [14 24],[25.62637363 27.37362637] ; [18.37362637 19.62637363],0
p9,1,0.063043,3.455454,[46  7] ; [27 11],[42.51648352 10.48351648] ; [30.48351648  7.51648352],0
a7,1,0.193452,1.691134,[36 17] ; [32  8],[38.75268817 14.24731183] ; [29.24731183 10.75268817],0
v2,1,0.208174,1.584079,[25 28] ; [23 15],[27.95604396 25.04395604] ; [20.04395604 17.95604396],0
a1,1,0.22625,1.464281,[ 2 51] ; [ 4 36],[ 3.41935484 49.58064516] ; [ 2.58064516 37.41935484],0
r4,1,0.250647,1.319693,[48  5] ; [33  7],[46.16129032  6.83870968] ; [34.83870968  5.16129032],0
n1,1,0.255557,1.292669,[12  7] ; [ 9 11],[10.23076923  8.76923077] ; [10.76923077  9.23076923],0
s3,1,0.263489,1.25033,[34 19] ; [30 10],[36.47311828 16.52688172] ; [27.52688172 12.47311828],0
d4,1,0.284327,1.14629,[40 13] ; [33  6],[42.05434783 10.94565217] ; [30.94565217  8.05434783],0
u2,1,0.303552,1.058523,[9 6] ; [3 5],[7.82608696 7.17391304] ; [4.17391304 3.82608696],0
s4,1,0.306262,1.046727,[11 42] ; [12 28],[13.10752688 39.89247312] ; [ 9.89247312 30.10752688],0
v3,1,0.314551,1.011469,[20 31] ; [11 27],[17.76404494 33.23595506] ; [13.23595506 24.76404494],0
p1,1,0.318513,0.995042,[ 9 43] ; [ 4 36],[ 7.34782609 44.65217391] ; [ 5.65217391 34.34782609],0
b4,1,0.344789,0.892544,[33 20] ; [21 19],[30.77419355 22.22580645] ; [23.22580645 16.77419355],0
b1,1,0.344789,0.892544,[33 20] ; [21 19],[30.77419355 22.22580645] ; [23.22580645 16.77419355],0
d2,1,0.352391,0.86483,[31 22] ; [19 20],[28.80434783 24.19565217] ; [21.19565217 17.80434783],0
d3,1,0.353975,0.859158,[40 13] ; [26 13],[38.02173913 14.97826087] ; [27.97826087 11.02173913],0
r1,1,0.386292,0.750583,[42 10] ; [35  5],[43.52173913  8.47826087] ; [33.47826087  6.52173913],0
s2,1,0.407664,0.685604,[37 16] ; [31  9],[38.75268817 14.24731183] ; [29.24731183 10.75268817],0
n4,1,0.409895,0.679104,[40 12] ; [27 12],[38.28571429 13.71428571] ; [28.71428571 10.28571429],0
s1,1,0.435411,0.608346,[ 4 47] ; [ 5 34],[ 5.1 45.9] ; [ 3.9 35.1],0
s5,1,0.444655,0.584239,[25 25] ; [15 21],[23.25581395 26.74418605] ; [16.74418605 19.25581395],0
a4,1,0.454614,0.559123,[28 25] ; [18 22],[26.21505376 26.78494624] ; [19.78494624 20.21505376],0
b2,1,0.517557,0.418758,[10 21] ; [ 9 13],[11.11320755 19.88679245] ; [ 7.88679245 14.11320755],0
b3,1,0.517557,0.418758,[10 21] ; [ 9 13],[11.11320755 19.88679245] ; [ 7.88679245 14.11320755],0
a5,1,0.522144,0.409656,[39 14] ; [27 13],[37.61290323 15.38709677] ; [28.38709677 11.61290323],0
v1,1,0.527135,0.399912,[30 23] ; [20 20],[28.49462366 24.50537634] ; [21.50537634 18.49462366],0
s6,1,0.621873,0.243243,[42  8] ; [32  8],[41.11111111  8.88888889] ; [32.88888889  7.11111111],0
a3,1,0.627185,0.235897,[38 14] ; [31  9],[39. 13.] ; [30. 10.],0
n3,1,0.648474,0.207829,[11  8] ; [13  7],[11.69230769  7.30769231] ; [12.30769231  7.69230769],0
v4,1,0.720701,0.127822,[50  3] ; [37  3],[49.58064516  3.41935484] ; [37.41935484  2.58064516],0
p10,1,0.751332,0.100415,[33 19] ; [26 13],[33.71428571 18.28571429] ; [25.28571429 13.71428571],0
u3,1,0.830696,0.045714,[9 6] ; [5 4],[8.75 6.25] ; [5.25 3.75],0
d5,1,0.844188,0.038628,[43 10] ; [31  8],[42.63043478 10.36956522] ; [31.36956522  7.63043478],0
a2,1,0.858239,0.031904,[15 38] ; [12 28],[15.38709677 37.61290323] ; [11.61290323 28.38709677],0
b5,1,0.869989,0.026789,[34 19] ; [25 15],[33.62365591 19.37634409] ; [25.37634409 14.62365591],0
r2,1,0.871827,0.02603,[49  3] ; [38  2],[49.17391304  2.82608696] ; [37.82608696  2.17391304],0
r3,1,0.895598,0.01722,[48  5] ; [35  4],[47.81521739  5.18478261] ; [35.18478261  3.81521739],0
u1,1,0.90699,0.013651,[14 39] ; [11 29],[14.24731183 38.75268817] ; [10.75268817 29.24731183],0
d1,1,0.923645,0.009186,[31 22] ; [23 17],[30.77419355 22.22580645] ; [23.22580645 16.77419355],0
a8,1,0.970078,0.001407,[ 7 37] ; [ 6 31],[ 7.0617284 36.9382716] ; [ 5.9382716 31.0617284],0
s8,1,0.981456,0.00054,[33 20] ; [25 15],[33.05376344 19.94623656] ; [24.94623656 15.05376344],0
