Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,63.941729,[34 73] ; [126  30],[65.09505703 41.90494297] ; [94.90494297 61.09505703],1
n1,1,0.002359,9.246811,[ 8 38] ; [20 22],[14.63636364 31.36363636] ; [13.36363636 28.63636364],0
a5,1,0.002469,9.163761,[48 59] ; [100  57],[59.98484848 47.01515152] ; [88.01515152 68.98484848],0
a8,1,0.002595,9.072069,[ 4 98] ; [ 24 125],[11.37848606 90.62151394] ; [ 16.62151394 132.37848606],0
a4,1,0.0026,9.068585,[25 82] ; [64 91],[36.34732824 70.65267176] ; [ 52.65267176 102.34732824],0
b3,1,0.004943,7.900051,[ 7 38] ; [34 52],[14.08396947 30.91603053] ; [26.91603053 59.08396947],0
b2,1,0.004943,7.900051,[ 7 38] ; [34 52],[14.08396947 30.91603053] ; [26.91603053 59.08396947],0
s1,1,0.034429,4.473289,[  5 102] ; [  1 151],[  2.47876448 104.52123552] ; [  3.52123552 148.47876448],0
s4,1,0.036428,4.376969,[19 88] ; [ 14 141],[13.47709924 93.52290076] ; [ 19.52290076 135.47709924],0
a2,1,0.040215,4.208794,[10 97] ; [ 29 128],[15.80681818 91.19318182] ; [ 23.19318182 133.80681818],0
a3,1,0.053202,3.737575,[55 51] ; [99 56],[62.5440613 43.4559387] ; [91.4559387 63.5440613],0
a6,1,0.070787,3.264679,[62 45] ; [108  49],[68.90151515 38.09848485] ; [101.09848485  55.90151515],0
d2,1,0.087577,2.918351,[34 73] ; [65 89],[40.5862069 66.4137931] ; [58.4137931 95.5862069],0
n6,1,0.09359,2.811522,[71 36] ; [119  38],[77.00757576 29.99242424] ; [112.99242424  44.00757576],0
s8,1,0.128552,2.309909,[10 96] ; [ 25 132],[14.10646388 91.89353612] ; [ 20.89353612 136.10646388],0
d5,1,0.144894,2.125197,[68 38] ; [114  43],[73.35361217 32.64638783] ; [108.64638783  48.35361217],0
p12,1,0.171609,1.868833,[  2 105] ; [  8 147],[  4.08396947 102.91603053] ; [  5.91603053 149.08396947],0
v3,1,0.227986,1.453382,[22 82] ; [ 42 109],[26.10196078 77.89803922] ; [ 37.89803922 113.10196078],0
r4,1,0.234905,1.410913,[77 30] ; [123  34],[81.06060606 25.93939394] ; [118.93939394  38.06060606],0
s2,1,0.257933,1.279819,[29 77] ; [ 33 122],[25.18007663 80.81992337] ; [ 36.81992337 118.18007663],0
v4,1,0.262039,1.257954,[94 11] ; [133  24],[90.97328244 14.02671756] ; [136.02671756  20.97328244],0
r2,1,0.265789,1.238353,[91 15] ; [140  15],[93.81609195 12.18390805] ; [137.18390805  17.81609195],0
p3,1,0.265796,1.238317,[16 90] ; [ 32 124],[19.41984733 86.58015267] ; [ 28.58015267 127.41984733],0
d1,1,0.311091,1.026037,[41 66] ; [70 87],[44.98863636 62.01136364] ; [66.01136364 90.98863636],0
n2,1,0.325769,0.965642,[29 17] ; [32 12],[31.17777778 14.82222222] ; [29.82222222 14.17777778],0
r1,1,0.332364,0.939666,[67 40] ; [106  49],[70.65267176 36.34732824] ; [102.34732824  52.65267176],0
p1,1,0.351651,0.867489,[  4 102] ; [ 10 146],[  5.66412214 100.33587786] ; [  8.33587786 147.66412214],0
b1,1,0.360108,0.837517,[35 72] ; [60 97],[38.50378788 68.49621212] ; [ 56.49621212 100.50378788],0
n3,1,0.378621,0.775174,[28 18] ; [30 13],[29.97752809 16.02247191] ; [28.02247191 14.97752809],0
v1,1,0.420921,0.647744,[36 69] ; [60 93],[39.06976744 65.93023256] ; [56.93023256 96.06976744],0
r3,1,0.446195,0.580299,[94 13] ; [131  24],[91.88931298 15.11068702] ; [133.11068702  21.88931298],0
p10,1,0.460021,0.545843,[63 42] ; [100  55],[65.82692308 39.17307692] ; [97.17307692 57.82692308],0
u2,1,0.475719,0.508662,[22 30] ; [28 29],[23.85321101 28.14678899] ; [26.14678899 30.85321101],0
b4,1,0.493594,0.468683,[63 44] ; [99 58],[65.65909091 41.34090909] ; [96.34090909 60.65909091],0
u3,1,0.502271,0.450135,[23 29] ; [22 36],[21.27272727 30.72727273] ; [23.72727273 34.27272727],0
p8,1,0.530952,0.392569,[33 74] ; [ 42 112],[30.74712644 76.25287356] ; [ 44.25287356 109.74712644],0
p6,1,0.557174,0.344621,[14 90] ; [ 17 137],[12.49612403 91.50387597] ; [ 18.50387597 135.49612403],0
a1,1,0.558816,0.341759,[  5 102] ; [ 10 147],[  6.07954545 100.92045455] ; [  8.92045455 148.07954545],0
v2,1,0.56444,0.332074,[42 63] ; [62 80],[44.21052632 60.78947368] ; [59.78947368 82.21052632],0
d4,1,0.593865,0.284349,[80 27] ; [112  44],[78.11406844 28.88593156] ; [113.88593156  42.11406844],0
a7,1,0.59644,0.280399,[68 38] ; [105  51],[69.99236641 36.00763359] ; [103.00763359  52.99236641],0
s5,1,0.606254,0.265666,[21 84] ; [ 26 123],[19.42913386 85.57086614] ; [ 27.57086614 121.42913386],0
p11,1,0.609151,0.261413,[69 38] ; [106  51],[70.9280303 36.0719697] ; [104.0719697  52.9280303],0
s3,1,0.690679,0.158351,[36 70] ; [56 98],[37.50769231 68.49230769] ; [54.49230769 99.50769231],0
p7,1,0.859831,0.031184,[41 62] ; [63 91],[41.68093385 61.31906615] ; [62.31906615 91.68093385],0
s6,1,0.877563,0.023734,[41 64] ; [62 93],[41.59615385 63.40384615] ; [61.40384615 93.59615385],0
u1,1,0.883176,0.021592,[  7 100] ; [ 11 146],[ 7.29545455 99.70454545] ; [ 10.70454545 146.29545455],0
d3,1,0.936567,0.006334,[59 46] ; [89 68],[59.3129771 45.6870229] ; [88.6870229 68.3129771],0
b5,1,0.942019,0.00529,[67 40] ; [99 58],[67.28030303 39.71969697] ; [98.71969697 58.28030303],0
p2,1,0.957695,0.002814,[71 35] ; [104  52],[70.80152672 35.19847328] ; [104.19847328  51.80152672],0
p5,1,0.977516,0.000794,[  2 104] ; [  3 152],[  2.03065134 103.96934866] ; [  2.96934866 152.03065134],0
p9,1,0.989775,0.000164,[74 32] ; [106  46],[73.95348837 32.04651163] ; [106.04651163  45.95348837],0
