Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.5e-05,16.666915,[ 1 38] ; [5 5],[ 4.7755102 34.2244898] ; [1.2244898 8.7755102],1
s7,1,0.001993,9.555909,[ 6 31] ; [6 3],[ 9.65217391 27.34782609] ; [2.34782609 6.65217391],0
p11,1,0.007805,7.077778,[13 26] ; [8 2],[16.71428571 22.28571429] ; [4.28571429 5.71428571],0
s2,1,0.009253,6.77334,[ 5 34] ; [5 5],[ 7.95918367 31.04081633] ; [2.04081633 7.95918367],0
n6,1,0.009402,6.744862,[13 25] ; [8 2],[16.625 21.375] ; [4.375 5.625],0
v2,1,0.040174,4.210526,[ 7 31] ; [5 5],[ 9.5 28.5] ; [2.5 7.5],0
s3,1,0.044378,4.042105,[10 28] ; [6 4],[12.66666667 25.33333333] ; [3.33333333 6.66666667],0
v3,1,0.047675,3.921396,[ 5 34] ; [4 6],[ 7.16326531 31.83673469] ; [1.83673469 8.16326531],0
s4,1,0.054872,3.685957,[ 3 36] ; [3 7],[ 4.7755102 34.2244898] ; [1.2244898 8.7755102],0
r3,1,0.065374,3.39551,[18 20] ; [8 2],[20.58333333 17.41666667] ; [5.41666667 4.58333333],0
d5,1,0.133292,2.25374,[21 18] ; [8 2],[23.08163265 15.91836735] ; [5.91836735 4.08163265],0
r4,1,0.135963,2.223065,[ 7 32] ; [4 6],[ 8.75510204 30.24489796] ; [2.24489796 7.75510204],0
b5,1,0.166511,1.914076,[14 25] ; [6 4],[15.91836735 23.08163265] ; [4.08163265 5.91836735],0
p7,1,0.189755,1.71952,[ 5 34] ; [3 7],[ 6.36734694 32.63265306] ; [1.63265306 8.36734694],0
a3,1,0.198887,1.650526,[22 16] ; [8 2],[23.75 14.25] ; [6.25 3.75],0
a2,1,0.251346,1.315804,[ 3 36] ; [2 8],[ 3.97959184 35.02040816] ; [1.02040816 8.97959184],0
b4,1,0.273865,1.197285,[24 15] ; [8 2],[25.46938776 13.53061224] ; [6.53061224 3.46938776],0
a5,1,0.288379,1.127173,[19 20] ; [3 7],[17.51020408 21.48979592] ; [4.48979592 5.51020408],0
u2,1,0.288425,1.126961,[ 3 14] ; [1 1],[ 3.57894737 13.42105263] ; [0.42105263 1.57894737],0
b2,1,0.31218,1.021429,[13 13] ; [2 5],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
b3,1,0.31218,1.021429,[13 13] ; [2 5],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
p8,1,0.327877,0.957265,[ 4 35] ; [2 7],[ 4.875 34.125] ; [1.125 7.875],0
d3,1,0.329385,0.951314,[13 26] ; [5 5],[14.32653061 24.67346939] ; [3.67346939 6.32653061],0
d4,1,0.338869,0.914705,[25 14] ; [8 2],[26.26530612 12.73469388] ; [6.73469388 3.26530612],0
p2,1,0.36987,0.804103,[10 29] ; [4 6],[11.14285714 27.85714286] ; [2.85714286 7.14285714],0
r1,1,0.414177,0.666779,[14 25] ; [5 5],[15.12244898 23.87755102] ; [3.87755102 6.12244898],0
s5,1,0.420247,0.649624,[ 4 34] ; [2 8],[ 4.75 33.25] ; [1.25 8.75],0
n3,1,0.483578,0.490783,[ 9 11] ; [2 1],[ 9.56521739 10.43478261] ; [1.43478261 1.56521739],0
a7,1,0.524313,0.405402,[19 20] ; [6 4],[19.89795918 19.10204082] ; [5.10204082 4.89795918],0
n4,1,0.578669,0.308392,[27 12] ; [6 4],[26.26530612 12.73469388] ; [6.73469388 3.26530612],0
p6,1,0.581909,0.303158,[ 2 36] ; [1 9],[ 2.375 35.625] ; [0.625 9.375],0
d2,1,0.654317,0.200501,[16 22] ; [5 5],[16.625 21.375] ; [4.375 5.625],0
p1,1,0.6642,0.188462,[ 6 33] ; [1 9],[ 5.57142857 33.42857143] ; [1.42857143 8.57142857],0
v1,1,0.681519,0.168421,[ 9 29] ; [3 7],[ 9.5 28.5] ; [2.5 7.5],0
a8,1,0.72462,0.124109,[ 6 33] ; [2 8],[ 6.36734694 32.63265306] ; [1.63265306 8.36734694],0
p10,1,0.733404,0.116009,[13 25] ; [4 6],[13.45833333 24.54166667] ; [3.54166667 6.45833333],0
r2,1,0.801961,0.062906,[20 16] ; [6 4],[20.34782609 15.65217391] ; [5.65217391 4.34782609],0
d1,1,0.810263,0.057642,[14 25] ; [4 6],[14.32653061 24.67346939] ; [3.67346939 6.32653061],0
b1,1,0.827878,0.047273,[21 18] ; [5 5],[20.69387755 18.30612245] ; [5.30612245 4.69387755],0
a6,1,0.837848,0.04188,[17 22] ; [4 6],[16.71428571 22.28571429] ; [4.28571429 5.71428571],0
a4,1,0.923642,0.009187,[12 26] ; [3 7],[11.875 26.125] ; [3.125 6.875],0
n5,1,0.953054,0.003466,[23 16] ; [6 4],[23.08163265 15.91836735] ; [5.91836735 4.08163265],0
p9,1,0.975346,0.000955,[15 22] ; [4 6],[14.95744681 22.04255319] ; [4.04255319 5.95744681],0
s1,1,0.980934,0.000571,[ 4 35] ; [1 9],[ 3.97959184 35.02040816] ; [1.02040816 8.97959184],0
p3,1,0.980934,0.000571,[ 4 35] ; [1 9],[ 3.97959184 35.02040816] ; [1.02040816 8.97959184],0
