Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.1e-05,16.410256,[50  2] ; [4 4],[46.8  5.2] ; [7.2 0.8],1
r4,1,0.000206,13.774486,[44  8] ; [2 6],[39.86666667 12.13333333] ; [6.13333333 1.86666667],1
p2,1,0.000825,11.183432,[38 14] ; [1 7],[33.8 18.2] ; [5.2 2.8],1
r2,1,0.001049,10.739645,[48  4] ; [4 4],[45.06666667  6.93333333] ; [6.93333333 1.06666667],0
p11,1,0.004735,7.978022,[34 18] ; [1 7],[30.33333333 21.66666667] ; [4.66666667 3.33333333],0
d5,1,0.021243,5.306745,[40 12] ; [3 5],[37.26666667 14.73333333] ; [5.73333333 2.26666667],0
s1,1,0.030778,4.665311,[ 5 47] ; [3 5],[ 6.93333333 45.06666667] ; [1.06666667 6.93333333],0
n2,1,0.042522,4.114286,[13  2] ; [1 2],[11.66666667  3.33333333] ; [2.33333333 0.66666667],0
a7,1,0.052193,3.769579,[32 20] ; [2 6],[29.46666667 22.53333333] ; [4.53333333 3.46666667],0
s8,1,0.072267,3.230769,[24 28] ; [1 7],[21.66666667 30.33333333] ; [3.33333333 4.66666667],0
s7,1,0.075476,3.159733,[27 22] ; [1 5],[24.94545455 24.05454545] ; [3.05454545 2.94545455],0
d1,1,0.156009,2.012493,[27 25] ; [2 6],[25.13333333 26.86666667] ; [3.86666667 4.13333333],0
n5,1,0.162898,1.947115,[33 19] ; [3 5],[31.2 20.8] ; [4.8 3.2],0
v2,1,0.188108,1.732378,[25 25] ; [2 6],[23.27586207 26.72413793] ; [3.72413793 4.27586207],0
u3,1,0.189526,1.721296,[11  7] ; [1 3],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
p7,1,0.191428,1.706593,[31 19] ; [3 5],[29.31034483 20.68965517] ; [4.68965517 3.31034483],0
a5,1,0.199183,1.648352,[32 20] ; [3 5],[30.33333333 21.66666667] ; [4.66666667 3.33333333],0
b1,1,0.199183,1.648352,[32 20] ; [3 5],[30.33333333 21.66666667] ; [4.66666667 3.33333333],0
a4,1,0.210629,1.567098,[18 34] ; [1 7],[16.46666667 35.53333333] ; [2.53333333 5.46666667],0
r1,1,0.308848,1.035595,[41 11] ; [5 3],[39.86666667 12.13333333] ; [6.13333333 1.86666667],0
p6,1,0.317142,1.000695,[15 36] ; [1 7],[13.83050847 37.16949153] ; [2.16949153 5.83050847],0
a6,1,0.334922,0.929773,[29 23] ; [3 5],[27.73333333 24.26666667] ; [4.26666667 3.73333333],0
s6,1,0.380455,0.769231,[40 12] ; [5 3],[39. 13.] ; [6. 2.],0
a3,1,0.400554,0.706662,[34 18] ; [4 4],[32.93333333 19.06666667] ; [5.06666667 2.93333333],0
d3,1,0.400554,0.706662,[34 18] ; [4 4],[32.93333333 19.06666667] ; [5.06666667 2.93333333],0
p4,1,0.447521,0.576923,[27 25] ; [3 5],[26. 26.] ; [4. 4.],0
n3,1,0.465693,0.532176,[9 7] ; [1 2],[8.42105263 7.57894737] ; [1.57894737 1.42105263],0
u2,1,0.47433,0.511871,[10  8] ; [3 1],[10.63636364  7.36363636] ; [2.36363636 1.63636364],0
v3,1,0.491956,0.472246,[19 32] ; [4 4],[19.88135593 31.11864407] ; [3.11864407 4.88135593],0
b4,1,0.607565,0.263736,[31 21] ; [4 4],[30.33333333 21.66666667] ; [4.66666667 3.33333333],0
n6,1,0.619016,0.247253,[37 15] ; [5 3],[36.4 15.6] ; [5.6 2.4],0
p3,1,0.638671,0.220484,[21 30] ; [4 4],[21.61016949 29.38983051] ; [3.38983051 4.61016949],0
p1,1,0.646932,0.20979,[ 4 48] ; [1 7],[ 4.33333333 47.66666667] ; [0.66666667 7.33333333],0
n4,1,0.703208,0.145157,[36 16] ; [5 3],[35.53333333 16.46666667] ; [5.46666667 2.53333333],0
v1,1,0.720604,0.127915,[23 29] ; [3 5],[22.53333333 29.46666667] ; [3.46666667 4.53333333],0
b5,1,0.720604,0.127915,[29 23] ; [5 3],[29.46666667 22.53333333] ; [4.53333333 3.46666667],0
p8,1,0.720604,0.127915,[23 29] ; [3 5],[22.53333333 29.46666667] ; [3.46666667 4.53333333],0
d2,1,0.839135,0.041209,[24 28] ; [4 4],[24.26666667 27.73333333] ; [3.73333333 4.26666667],0
s4,1,0.850152,0.035692,[11 39] ; [2 6],[11.20689655 38.79310345] ; [1.79310345 6.20689655],0
n1,1,0.86952,0.026984,[ 4 10] ; [1 2],[4.11764706 9.88235294] ; [0.88235294 2.11764706],0
d4,1,0.904703,0.014333,[40 12] ; [6 2],[39.86666667 12.13333333] ; [6.13333333 1.86666667],0
s3,1,0.904703,0.014333,[40 12] ; [6 2],[39.86666667 12.13333333] ; [6.13333333 1.86666667],0
