Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.2e-05,15.301149,[8 4] ; [ 2 25],[3.07692308 8.92307692] ; [ 6.92307692 20.07692308],1
s7,1,0.041089,4.172327,[4 7] ; [ 2 22],[1.88571429 9.11428571] ; [ 4.11428571 19.88571429],0
p7,1,0.043754,4.066017,[6 6] ; [ 5 22],[3.38461538 8.61538462] ; [ 7.61538462 19.38461538],0
p6,1,0.043915,4.059829,[4 8] ; [ 2 24],[ 1.89473684 10.10526316] ; [ 4.10526316 21.89473684],0
r3,1,0.052681,3.754011,[8 4] ; [ 9 18],[5.23076923 6.76923077] ; [11.76923077 15.23076923],0
v1,1,0.08279,3.009259,[6 6] ; [ 6 21],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
r4,1,0.126514,2.33477,[5 7] ; [ 5 22],[3.07692308 8.92307692] ; [ 6.92307692 20.07692308],0
a8,1,0.129333,2.30049,[3 9] ; [ 2 25],[ 1.53846154 10.46153846] ; [ 3.46153846 23.53846154],0
a3,1,0.146807,2.105114,[9 3] ; [13 13],[6.94736842 5.05263158] ; [15.05263158 10.94736842],0
r1,1,0.174963,1.8399,[3 9] ; [13 14],[4.92307692 7.07692308] ; [11.07692308 15.92307692],0
a7,1,0.200037,1.642105,[8 4] ; [12 15],[6.15384615 5.84615385] ; [13.84615385 13.15384615],0
u3,1,0.201352,1.63254,[1 2] ; [ 1 13],[0.35294118 2.64705882] ; [ 1.64705882 12.35294118],0
p3,1,0.212968,1.551136,[5 7] ; [ 6 21],[3.38461538 8.61538462] ; [ 7.61538462 19.38461538],0
p2,1,0.212968,1.551136,[5 7] ; [ 6 21],[3.38461538 8.61538462] ; [ 7.61538462 19.38461538],0
n6,1,0.240183,1.379522,[5 6] ; [ 7 20],[3.47368421 7.52631579] ; [ 8.52631579 18.47368421],0
v3,1,0.24061,1.377014,[4 7] ; [ 5 22],[2.60526316 8.39473684] ; [ 6.39473684 20.60526316],0
n3,1,0.243216,1.361855,[2 1] ; [ 5 11],[1.10526316 1.89473684] ; [ 5.89473684 10.10526316],0
b1,1,0.249325,1.327083,[9 3] ; [15 12],[7.38461538 4.61538462] ; [16.61538462 10.38461538],0
s3,1,0.253312,1.304945,[6 6] ; [ 8 18],[4.42105263 7.57894737] ; [ 9.57894737 16.42105263],0
p1,1,0.267201,1.231061,[3 9] ; [ 3 24],[ 1.84615385 10.15384615] ; [ 4.15384615 22.84615385],0
a5,1,0.284307,1.146384,[8 4] ; [13 14],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
b4,1,0.284307,1.146384,[8 4] ; [13 14],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
b5,1,0.309078,1.034612,[7 5] ; [11 16],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
v2,1,0.310827,1.02716,[4 8] ; [ 5 22],[2.76923077 9.23076923] ; [ 6.23076923 20.76923077],0
p4,1,0.325603,0.966307,[5 7] ; [ 7 20],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
n2,1,0.347756,0.881629,[2 1] ; [ 6 10],[1.26315789 1.73684211] ; [6.73684211 9.26315789],0
n1,1,0.347756,0.881629,[2 1] ; [ 6 10],[1.26315789 1.73684211] ; [6.73684211 9.26315789],0
s6,1,0.369288,0.806061,[4 7] ; [ 6 21],[2.89473684 8.10526316] ; [ 7.10526316 19.89473684],0
r2,1,0.388741,0.742877,[8 3] ; [15 11],[6.83783784 4.16216216] ; [16.16216216  9.83783784],0
a1,1,0.444284,0.585193,[3 9] ; [ 4 23],[2.15384615 9.84615385] ; [ 4.84615385 22.15384615],0
d4,1,0.447493,0.576993,[6 6] ; [17 10],[7.07692308 4.92307692] ; [15.92307692 11.07692308],0
n5,1,0.514991,0.423913,[8 4] ; [15 12],[7.07692308 4.92307692] ; [15.92307692 11.07692308],0
s8,1,0.545198,0.365991,[ 1 11] ; [ 1 26],[ 0.61538462 11.38461538] ; [ 1.38461538 25.61538462],0
a4,1,0.55336,0.351331,[3 9] ; [ 9 17],[3.78947368 8.21052632] ; [ 8.21052632 17.78947368],0
d5,1,0.556982,0.344956,[7 5] ; [13 14],[6.15384615 5.84615385] ; [13.84615385 13.15384615],0
s5,1,0.558697,0.341965,[2 9] ; [ 3 24],[1.44736842 9.55263158] ; [ 3.55263158 23.44736842],0
d1,1,0.602773,0.270833,[3 9] ; [ 9 18],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
a2,1,0.63196,0.229412,[ 2 10] ; [ 3 24],[ 1.53846154 10.46153846] ; [ 3.46153846 23.53846154],0
p8,1,0.663778,0.188967,[ 2 10] ; [ 3 23],[ 1.57894737 10.42105263] ; [ 3.42105263 22.57894737],0
a6,1,0.748053,0.103175,[6 6] ; [12 15],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
d2,1,0.795953,0.066868,[5 7] ; [12 14],[5.36842105 6.63157895] ; [11.63157895 14.36842105],0
n4,1,0.817085,0.053498,[8 4] ; [19  8],[8.30769231 3.69230769] ; [18.69230769  8.30769231],0
b2,1,0.819872,0.051852,[4 6] ; [ 8 10],[4.28571429 5.71428571] ; [ 7.71428571 10.28571429],0
b3,1,0.819872,0.051852,[4 6] ; [ 8 10],[4.28571429 5.71428571] ; [ 7.71428571 10.28571429],0
d3,1,0.871731,0.02607,[5 7] ; [12 15],[5.23076923 6.76923077] ; [11.76923077 15.23076923],0
s4,1,0.882392,0.021886,[ 2 10] ; [ 4 23],[ 1.84615385 10.15384615] ; [ 4.15384615 22.84615385],0
s1,1,0.882392,0.021886,[ 2 10] ; [ 4 23],[ 1.84615385 10.15384615] ; [ 4.15384615 22.84615385],0
s2,1,0.951264,0.003736,[3 9] ; [ 7 20],[3.07692308 8.92307692] ; [ 6.92307692 20.07692308],0
