Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.7e-05,17.58399,[8 1] ; [11 44],[2.671875 6.328125] ; [16.328125 38.671875],1
v1,1,0.000245,13.446465,[8 2] ; [12 43],[3.07692308 6.92307692] ; [16.92307692 38.07692308],1
s5,1,0.000286,13.161932,[4 4] ; [ 3 49],[0.93333333 7.06666667] ; [ 6.06666667 45.93333333],1
p11,1,0.000455,12.291421,[8 2] ; [13 42],[3.23076923 6.76923077] ; [17.76923077 37.23076923],1
s7,1,0.001005,10.81854,[6 3] ; [ 8 42],[2.13559322 6.86440678] ; [11.86440678 38.13559322],0
r4,1,0.005056,7.859203,[9 1] ; [23 32],[4.92307692 5.07692308] ; [27.07692308 27.92307692],0
s2,1,0.008624,6.899145,[7 3] ; [15 40],[3.38461538 6.61538462] ; [18.61538462 36.38461538],0
s3,1,0.0223,5.222251,[8 2] ; [22 32],[4.6875 5.3125] ; [25.3125 28.6875],0
a7,1,0.026169,4.944799,[2 8] ; [32 23],[5.23076923 4.76923077] ; [28.76923077 26.23076923],0
s4,1,0.032952,4.548253,[3 7] ; [ 4 51],[1.07692308 8.92307692] ; [ 5.92307692 49.07692308],0
p6,1,0.038245,4.294104,[3 7] ; [ 4 49],[1.11111111 8.88888889] ; [ 5.88888889 47.11111111],0
r3,1,0.067996,3.330745,[9 1] ; [33 22],[6.46153846 3.53846154] ; [35.53846154 19.46153846],0
b1,1,0.071301,3.252814,[8 2] ; [27 28],[5.38461538 4.61538462] ; [29.61538462 25.38461538],0
n2,1,0.120507,2.410714,[6 1] ; [15 13],[4.2 2.8] ; [16.8 11.2],0
p9,1,0.179749,1.799696,[6 3] ; [23 31],[4.14285714 4.85714286] ; [24.85714286 29.14285714],0
v2,1,0.202147,1.626794,[5 4] ; [17 34],[3.3 5.7] ; [18.7 32.3],0
d5,1,0.213336,1.548642,[8 2] ; [32 22],[6.25 3.75] ; [33.75 20.25],0
p10,1,0.243993,1.357372,[5 4] ; [19 35],[3.42857143 5.57142857] ; [20.57142857 33.42857143],0
p3,1,0.321062,0.984615,[3 7] ; [ 9 45],[1.875 8.125] ; [10.125 43.875],0
b5,1,0.339667,0.911688,[6 4] ; [24 31],[4.61538462 5.38461538] ; [25.38461538 29.61538462],0
n5,1,0.339976,0.910523,[3 7] ; [25 29],[4.375 5.625] ; [23.625 30.375],0
d4,1,0.347512,0.882523,[8 2] ; [35 19],[6.71875 3.28125] ; [36.28125 17.71875],0
n1,1,0.368261,0.809524,[4 2] ; [13 15],[3. 3.] ; [14. 14.],0
p4,1,0.407133,0.687157,[3 7] ; [10 44],[2.03125 7.96875] ; [10.96875 43.03125],0
r1,1,0.420855,0.647927,[7 3] ; [31 24],[5.84615385 4.15384615] ; [32.15384615 22.84615385],0
a8,1,0.420855,0.647927,[2 8] ; [ 6 49],[1.23076923 8.76923077] ; [ 6.76923077 48.23076923],0
b4,1,0.45898,0.548382,[6 4] ; [26 29],[4.92307692 5.07692308] ; [27.07692308 27.92307692],0
b2,1,0.478105,0.503182,[4 4] ; [12 21],[3.12195122 4.87804878] ; [12.87804878 20.12195122],0
b3,1,0.478105,0.503182,[4 4] ; [12 21],[3.12195122 4.87804878] ; [12.87804878 20.12195122],0
a5,1,0.482848,0.492424,[7 3] ; [32 23],[6. 4.] ; [33. 22.],0
a6,1,0.491119,0.474074,[4 6] ; [28 26],[5. 5.] ; [27. 27.],0
d1,1,0.554997,0.348441,[5 5] ; [22 33],[4.15384615 5.84615385] ; [22.84615385 32.15384615],0
d3,1,0.561085,0.33783,[4 6] ; [27 27],[4.84375 5.15625] ; [26.15625 27.84375],0
a2,1,0.607914,0.263223,[1 9] ; [ 9 46],[1.53846154 8.46153846] ; [ 8.46153846 46.53846154],0
p7,1,0.667087,0.185029,[3 6] ; [14 39],[2.46774194 6.53225806] ; [14.53225806 38.46774194],0
n4,1,0.671299,0.180087,[4 6] ; [26 29],[4.61538462 5.38461538] ; [25.38461538 29.61538462],0
a1,1,0.70185,0.146555,[1 9] ; [ 8 47],[1.38461538 8.61538462] ; [ 7.61538462 47.38461538],0
d2,1,0.745805,0.10509,[5 5] ; [24 30],[4.53125 5.46875] ; [24.46875 29.53125],0
a3,1,0.770683,0.084961,[6 4] ; [35 19],[6.40625 3.59375] ; [34.59375 19.40625],0
a4,1,0.83085,0.04563,[4 6] ; [24 31],[4.30769231 5.69230769] ; [23.69230769 31.30769231],0
v3,1,0.83465,0.043573,[2 7] ; [13 38],[2.25 6.75] ; [12.75 38.25],0
n3,1,0.876438,0.024176,[4 3] ; [14 12],[3.81818182 3.18181818] ; [14.18181818 11.81818182],0
p1,1,0.932018,0.007277,[1 9] ; [ 6 49],[1.07692308 8.92307692] ; [ 5.92307692 49.07692308],0
p8,1,0.978667,0.000715,[2 8] ; [11 43],[2.03125 7.96875] ; [10.96875 43.03125],0
