Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.029225,4.754286,[ 2 18] ; [3 3],[ 3.84615385 16.15384615] ; [1.15384615 4.84615385],0
n4,1,0.168509,1.896162,[13  7] ; [2 4],[11.53846154  8.46153846] ; [3.46153846 2.53846154],0
a5,1,0.210874,1.565417,[ 9 11] ; [1 5],[ 7.69230769 12.30769231] ; [2.30769231 3.69230769],0
b4,1,0.250478,1.320635,[ 8 12] ; [4 2],[ 9.23076923 10.76923077] ; [2.76923077 3.23076923],0
r3,1,0.257757,1.280763,[11  8] ; [5 1],[12.16  6.84] ; [3.84 2.16],0
p4,1,0.29203,1.11024,[ 8 12] ; [1 5],[ 6.92307692 13.07692308] ; [2.07692308 3.92307692],0
p9,1,0.293803,1.102114,[11  8] ; [2 4],[9.88 9.12] ; [3.12 2.88],0
s8,1,0.317618,0.99873,[ 3 17] ; [2 4],[ 3.84615385 16.15384615] ; [1.15384615 4.84615385],0
a6,1,0.366444,0.815686,[ 6 14] ; [3 3],[ 6.92307692 13.07692308] ; [2.07692308 3.92307692],0
s6,1,0.393454,0.728241,[ 7 13] ; [1 5],[ 6.15384615 13.84615385] ; [1.84615385 4.15384615],0
p8,1,0.412494,0.671601,[ 6 13] ; [3 3],[ 6.84 12.16] ; [2.16 3.84],0
v4,1,0.472607,0.515873,[10 10] ; [4 2],[10.76923077  9.23076923] ; [3.23076923 2.76923077],0
b5,1,0.472607,0.515873,[10 10] ; [4 2],[10.76923077  9.23076923] ; [3.23076923 2.76923077],0
n1,1,0.505985,0.442361,[4 5] ; [1 3],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
n3,1,0.505985,0.442361,[5 4] ; [3 1],[5.53846154 3.46153846] ; [2.46153846 1.53846154],0
a7,1,0.507726,0.43875,[ 7 13] ; [3 3],[ 7.69230769 12.30769231] ; [2.30769231 3.69230769],0
p3,1,0.518416,0.417043,[ 6 14] ; [1 5],[ 5.38461538 14.61538462] ; [1.61538462 4.38461538],0
s3,1,0.518416,0.417043,[ 6 14] ; [1 5],[ 5.38461538 14.61538462] ; [1.61538462 4.38461538],0
b2,1,0.518605,0.416667,[ 2 10] ; [1 2],[2.4 9.6] ; [0.6 2.4],0
b3,1,0.518605,0.416667,[ 2 10] ; [1 2],[2.4 9.6] ; [0.6 2.4],0
u2,1,0.605577,0.266667,[8 7] ; [2 3],[7.5 7.5] ; [2.5 2.5],0
n6,1,0.61193,0.257374,[11  9] ; [4 2],[11.53846154  8.46153846] ; [3.46153846 2.53846154],0
p11,1,0.61193,0.257374,[11  9] ; [4 2],[11.53846154  8.46153846] ; [3.46153846 2.53846154],0
a3,1,0.629482,0.232764,[ 5 14] ; [1 5],[ 4.56 14.44] ; [1.44 4.56],0
s2,1,0.653942,0.200966,[ 2 18] ; [1 5],[ 2.30769231 17.69230769] ; [0.69230769 5.30769231],0
r4,1,0.670896,0.180556,[ 5 15] ; [1 5],[ 4.61538462 15.38461538] ; [1.38461538 4.61538462],0
r1,1,0.686494,0.162907,[ 5 15] ; [2 4],[ 5.38461538 14.61538462] ; [1.61538462 4.38461538],0
p10,1,0.702195,0.146199,[ 8 11] ; [2 4],[ 7.6 11.4] ; [2.4 3.6],0
s7,1,0.72158,0.126984,[ 2 16] ; [1 5],[ 2.25 15.75] ; [0.75 5.25],0
v2,1,0.771671,0.084211,[ 4 14] ; [1 5],[ 3.75 14.25] ; [1.25 4.75],0
p6,1,0.814871,0.054825,[ 4 15] ; [1 5],[ 3.8 15.2] ; [1.2 4.8],0
a8,1,0.814871,0.054825,[ 4 15] ; [1 5],[ 3.8 15.2] ; [1.2 4.8],0
n2,1,0.852876,0.034392,[5 4] ; [2 2],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
v1,1,0.855816,0.033016,[ 4 16] ; [1 5],[ 3.84615385 16.15384615] ; [1.15384615 4.84615385],0
b1,1,0.940006,0.005664,[13  7] ; [4 2],[13.07692308  6.92307692] ; [3.92307692 2.07692308],0
p7,1,1.0,0.0,[10 10] ; [3 3],[10. 10.] ; [3. 3.],0
u3,1,1.0,0.0,[ 3 12] ; [1 4],[ 3. 12.] ; [1. 4.],0
