Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,49.209146,[ 20 103] ; [41 19],[41. 82.] ; [20. 40.],1
s2,1,0.0,31.060682,[40 87] ; [48 17],[58.20833333 68.79166667] ; [29.79166667 35.20833333],1
s3,1,0.0,27.403097,[47 80] ; [50 15],[64.16145833 62.83854167] ; [32.83854167 32.16145833],1
s6,1,2e-06,22.891028,[64 63] ; [55  9],[79.12565445 47.87434555] ; [39.87434555 24.12565445],1
p1,1,0.000159,14.267491,[  2 125] ; [10 54],[  7.97905759 119.02094241] ; [ 4.02094241 59.97905759],1
s5,1,0.001378,10.235647,[29 96] ; [29 34],[38.56382979 86.43617021] ; [19.43617021 43.56382979],0
b2,1,0.001541,10.028501,[11 47] ; [18 18],[17.89361702 40.10638298] ; [11.10638298 24.89361702],0
b3,1,0.001541,10.028501,[11 47] ; [18 18],[17.89361702 40.10638298] ; [11.10638298 24.89361702],0
p10,1,0.005701,7.642546,[81 44] ; [53 10],[89.09574468 35.90425532] ; [44.90425532 18.09574468],0
p3,1,0.011876,6.329296,[39 88] ; [32 33],[46.96354167 80.03645833] ; [24.03645833 40.96354167],0
p9,1,0.019395,5.465587,[92 32] ; [56  7],[98.13903743 25.86096257] ; [49.86096257 13.13903743],0
v1,1,0.041051,4.173908,[46 79] ; [33 30],[52.52659574 72.47340426] ; [26.47340426 36.52659574],0
a2,1,0.048115,3.905972,[ 14 114] ; [14 51],[ 18.56994819 109.43005181] ; [ 9.43005181 55.56994819],0
d2,1,0.054499,3.697358,[41 87] ; [30 35],[47.0880829 80.9119171] ; [23.9119171 41.0880829],0
p4,1,0.062006,3.482897,[50 76] ; [35 30],[56.07329843 69.92670157] ; [28.92670157 36.07329843],0
u1,1,0.065624,3.389228,[  9 119] ; [10 55],[ 12.60103627 115.39896373] ; [ 6.39896373 58.60103627],0
a3,1,0.081093,3.04286,[72 56] ; [45 20],[77.59585492 50.40414508] ; [39.40414508 25.59585492],0
n1,1,0.084616,2.973924,[10 35] ; [ 9 12],[12.95454545 32.04545455] ; [ 6.04545455 14.95454545],0
a5,1,0.101951,2.674752,[71 57] ; [44 21],[76.26943005 51.73056995] ; [38.73056995 26.26943005],0
p6,1,0.110449,2.547791,[25 98] ; [20 45],[29.44148936 93.55851064] ; [15.55851064 49.44148936],0
u3,1,0.127087,2.327728,[33 21] ; [16  4],[35.75675676 18.24324324] ; [13.24324324  6.75675676],0
p7,1,0.130413,2.287577,[65 58] ; [40 22],[69.81081081 53.18918919] ; [35.18918919 26.81081081],0
p8,1,0.146285,2.110564,[52 74] ; [34 31],[56.73298429 69.26701571] ; [29.26701571 35.73298429],0
a8,1,0.150715,2.065,[  4 115] ; [ 5 55],[  5.98324022 113.01675978] ; [ 3.01675978 56.98324022],0
p5,1,0.151141,2.060697,[  4 123] ; [ 5 59],[  5.98429319 121.01570681] ; [ 3.01570681 60.98429319],0
p12,1,0.177096,1.821831,[  3 124] ; [ 4 60],[  4.65445026 122.34554974] ; [ 2.34554974 61.65445026],0
n5,1,0.179047,1.805518,[40 86] ; [27 38],[44.19895288 81.80104712] ; [22.80104712 42.19895288],0
r2,1,0.19546,1.675976,[121   7] ; [64  1],[122.69430052   5.30569948] ; [62.30569948  2.69430052],0
b1,1,0.219235,1.50937,[38 90] ; [25 40],[41.78238342 86.21761658] ; [21.21761658 43.78238342],0
d1,1,0.262147,1.257383,[58 70] ; [35 30],[61.67875648 66.32124352] ; [31.32124352 33.67875648],0
p2,1,0.294815,1.097502,[90 36] ; [51 14],[93.01570681 32.98429319] ; [47.98429319 17.01570681],0
s4,1,0.317979,0.997239,[29 99] ; [19 46],[31.83419689 96.16580311] ; [16.16580311 48.83419689],0
n6,1,0.34604,0.887927,[88 39] ; [40 24],[85.10994764 41.89005236] ; [42.89005236 21.10994764],0
a6,1,0.351477,0.868119,[82 46] ; [46 19],[84.89119171 43.10880829] ; [43.10880829 21.89119171],0
v4,1,0.366043,0.817053,[122   5] ; [64  1],[123.03125   3.96875] ; [62.96875  2.03125],0
v3,1,0.391735,0.73355,[31 90] ; [19 41],[33.42541436 87.57458564] ; [16.57458564 43.42541436],0
u2,1,0.43058,0.621259,[32 23] ; [13  6],[33.44594595 21.55405405] ; [11.55405405  7.44594595],0
a7,1,0.434024,0.612031,[91 36] ; [50 15],[93.265625 33.734375] ; [47.734375 17.265625],0
d5,1,0.503064,0.448466,[92 35] ; [50 15],[93.92708333 33.07291667] ; [48.07291667 16.92708333],0
s1,1,0.507111,0.440023,[  4 123] ; [ 1 64],[  3.30729167 123.69270833] ; [ 1.69270833 63.30729167],0
p11,1,0.539567,0.376343,[85 43] ; [46 19],[86.88082902 41.11917098] ; [44.11917098 20.88082902],0
a4,1,0.56263,0.335171,[40 88] ; [23 42],[41.78238342 86.21761658] ; [21.21761658 43.78238342],0
v2,1,0.66537,0.187066,[61 61] ; [31 27],[62.35555556 59.64444444] ; [29.64444444 28.35555556],0
d4,1,0.676879,0.17366,[101  26] ; [50 15],[99.88020833 27.11979167] ; [51.11979167 13.88020833],0
n2,1,0.684594,0.165,[34 10] ; [16  6],[33.33333333 10.66666667] ; [16.66666667  5.33333333],0
r1,1,0.74324,0.107299,[99 28] ; [52 13],[99.88020833 27.11979167] ; [51.11979167 13.88020833],0
a1,1,0.770863,0.084824,[  5 123] ; [ 2 63],[  4.64248705 123.35751295] ; [ 2.35751295 62.64248705],0
n3,1,0.890375,0.018997,[32 13] ; [16  6],[32.23880597 12.76119403] ; [15.76119403  6.23880597],0
b4,1,0.90292,0.014877,[76 52] ; [38 27],[75.60621762 52.39378238] ; [38.39378238 26.60621762],0
b5,1,0.935482,0.006553,[78 50] ; [40 25],[78.25906736 49.74093264] ; [39.74093264 25.25906736],0
d3,1,0.997289,1.2e-05,[86 41] ; [44 21],[85.98958333 41.01041667] ; [44.01041667 20.98958333],0
