Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.872169,[ 4 11] ; [71 15],[11.13861386  3.86138614] ; [63.86138614 22.13861386],1
p2,1,7e-06,20.318428,[ 1 14] ; [59 27],[8.91089109 6.08910891] ; [51.08910891 34.91089109],1
r3,1,7e-06,20.083185,[8 7] ; [80  5],[13.2  1.8] ; [74.8 10.2],1
n6,1,0.00011,14.964914,[ 4 10] ; [67 18],[10.04040404  3.95959596] ; [60.95959596 24.04040404],1
r1,1,0.001129,10.602911,[6 9] ; [68 17],[11.1  3.9] ; [62.9 22.1],0
p8,1,0.011636,6.365548,[ 1 14] ; [34 50],[5.3030303 9.6969697] ; [29.6969697 54.3030303],0
a6,1,0.024276,5.074803,[7 8] ; [64 21],[10.65  4.35] ; [60.35 24.65],0
s2,1,0.030326,4.690694,[ 2 13] ; [36 48],[5.75757576 9.24242424] ; [32.24242424 51.75757576],0
r2,1,0.034969,4.446707,[10  3] ; [80  5],[11.93877551  1.06122449] ; [78.06122449  6.93877551],0
n5,1,0.035776,4.40774,[ 5 10] ; [53 32],[8.7 6.3] ; [49.3 35.7],0
p9,1,0.039166,4.253666,[ 2 12] ; [36 47],[5.48453608 8.51546392] ; [32.51546392 50.48453608],0
u1,1,0.048346,3.897913,[ 1 14] ; [27 59],[ 4.15841584 10.84158416] ; [23.84158416 62.15841584],0
p7,1,0.052785,3.750698,[ 2 13] ; [33 51],[5.3030303 9.6969697] ; [29.6969697 54.3030303],0
s6,1,0.081521,3.034322,[ 5 10] ; [49 36],[8.1 6.9] ; [45.9 39.1],0
a7,1,0.101935,2.675009,[8 7] ; [63 22],[10.65  4.35] ; [60.35 24.65],0
p4,1,0.103197,2.655426,[ 4 11] ; [42 43],[6.9 8.1] ; [39.1 45.9],0
a2,1,0.147331,2.09967,[ 3 12] ; [34 52],[5.4950495 9.5049505] ; [31.5049505 54.4950495],0
d4,1,0.164951,1.92824,[14  1] ; [83  1],[14.6969697  0.3030303] ; [82.3030303  1.6969697],0
s3,1,0.180063,1.7971,[ 4 11] ; [38 46],[6.36363636 8.63636364] ; [35.63636364 48.36363636],0
v3,1,0.204113,1.6127,[ 2 12] ; [25 56],[ 3.97894737 10.02105263] ; [23.02105263 57.97894737],0
p6,1,0.222103,1.490729,[ 2 13] ; [23 58],[ 3.90625 11.09375] ; [21.09375 59.90625],0
s4,1,0.242027,1.36875,[ 3 12] ; [ 8 75],[ 1.68367347 13.31632653] ; [ 9.31632653 73.68367347],0
b1,1,0.257192,1.283809,[9 6] ; [38 48],[6.98019802 8.01980198] ; [40.01980198 45.98019802],0
a1,1,0.290012,1.119565,[ 2 13] ; [ 5 81],[ 1.03960396 13.96039604] ; [ 5.96039604 80.03960396],0
s1,1,0.304307,1.055224,[ 2 13] ; [ 5 79],[ 1.06060606 13.93939394] ; [ 5.93939394 78.06060606],0
a3,1,0.344816,0.892445,[13  2] ; [65 21],[11.58415842  3.41584158] ; [66.41584158 19.58415842],0
n3,1,0.358006,0.844875,[5 6] ; [22 14],[6.31914894 4.68085106] ; [20.68085106 15.31914894],0
v1,1,0.371113,0.799935,[ 4 10] ; [35 50],[5.51515152 8.48484848] ; [33.48484848 51.51515152],0
b2,1,0.373143,0.79317,[3 9] ; [22 35],[4.34782609 7.65217391] ; [20.65217391 36.34782609],0
b3,1,0.373143,0.79317,[3 9] ; [22 35],[4.34782609 7.65217391] ; [20.65217391 36.34782609],0
b5,1,0.38211,0.763901,[8 7] ; [56 30],[9.5049505 5.4950495] ; [54.4950495 31.5049505],0
p11,1,0.424918,0.636673,[6 9] ; [44 42],[7.42574257 7.57425743] ; [42.57425743 43.42574257],0
n2,1,0.452095,0.565393,[5 6] ; [21 15],[6.08510638 4.91489362] ; [19.91489362 16.08510638],0
s7,1,0.464634,0.534709,[4 9] ; [34 48],[5.2 7.8] ; [32.8 49.2],0
d3,1,0.467595,0.527653,[12  3] ; [74 11],[12.9  2.1] ; [73.1 11.9],0
a4,1,0.481206,0.49613,[10  4] ; [53 33],[8.82 5.18] ; [54.18 31.82],0
b4,1,0.544439,0.367375,[8 7] ; [53 33],[9.05940594 5.94059406] ; [51.94059406 34.05940594],0
p1,1,0.629568,0.232647,[ 2 13] ; [ 8 78],[ 1.48514851 13.51485149] ; [ 8.51485149 77.48514851],0
v2,1,0.683343,0.166387,[7 8] ; [44 40],[7.72727273 7.27272727] ; [43.27272727 40.72727273],0
p5,1,0.739843,0.110265,[ 1 14] ; [ 4 82],[ 0.74257426 14.25742574] ; [ 4.25742574 81.74257426],0
p3,1,0.759935,0.093371,[ 4 11] ; [26 59],[ 4.5 10.5] ; [25.5 59.5],0
a8,1,0.850012,0.03576,[ 1 14] ; [ 6 68],[ 1.17977528 13.82022472] ; [ 5.82022472 68.17977528],0
u4,1,0.897421,0.01662,[ 1 14] ; [ 5 81],[ 0.89108911 14.10891089] ; [ 5.10891089 80.89108911],0
a5,1,0.898465,0.016282,[12  3] ; [70 16],[12.17821782  2.82178218] ; [69.82178218 16.17821782],0
s5,1,0.948035,0.004248,[ 3 12] ; [16 67],[ 2.90816327 12.09183673] ; [16.09183673 66.90816327],0
n1,1,0.96275,0.002181,[4 7] ; [13 22],[4.06521739 6.93478261] ; [12.93478261 22.06521739],0
n4,1,0.976243,0.000887,[10  5] ; [57 28],[10.05  4.95] ; [56.95 28.05],0
