Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.003499,8.527159,[7 6] ; [609 115],[10.86567164  2.13432836] ; [605.13432836 118.86567164],0
a5,1,0.026016,4.954939,[6 7] ; [536 191],[9.52162162 3.47837838] ; [532.47837838 194.52162162],0
v1,1,0.034713,4.45925,[ 3 10] ; [374 337],[6.76933702 6.23066298] ; [370.23066298 340.76933702],0
d1,1,0.041605,4.151219,[4 9] ; [428 299],[7.58918919 5.41081081] ; [424.41081081 302.58918919],0
s2,1,0.050122,3.837381,[ 3 10] ; [363 356],[6.5 6.5] ; [359.5 359.5],0
a3,1,0.05645,3.638734,[6 7] ; [511 213],[9.11940299 3.88059701] ; [507.88059701 216.11940299],0
n4,1,0.072577,3.223751,[7 6] ; [547 177],[9.77204885 3.22795115] ; [544.22795115 179.77204885],0
r1,1,0.10215,2.671654,[9 4] ; [618 105],[11.07472826  1.92527174] ; [615.92527174 107.07472826],0
s3,1,0.203214,1.619126,[5 8] ; [402 314],[7.25788752 5.74211248] ; [399.74211248 316.25788752],0
b1,1,0.209148,1.577315,[7 6] ; [268 459],[4.83108108 8.16891892] ; [270.16891892 456.83108108],0
a6,1,0.211225,1.563012,[7 6] ; [507 218],[9.05420054 3.94579946] ; [504.94579946 220.05420054],0
s7,1,0.211649,1.560111,[3 8] ; [321 374],[5.04815864 5.95184136] ; [318.95184136 376.04815864],0
p11,1,0.214974,1.537606,[12  1] ; [567 160],[10.17162162  2.82837838] ; [568.82837838 158.17162162],0
d4,1,0.222487,1.488256,[9 4] ; [596 128],[10.67164179  2.32835821] ; [594.32835821 129.67164179],0
v4,1,0.239789,1.381833,[12  1] ; [707  18],[12.66531165  0.33468835] ; [706.33468835  18.66531165],0
p3,1,0.24981,1.324364,[4 9] ; [340 386],[6.05142084 6.94857916] ; [337.94857916 388.05142084],0
p7,1,0.268907,1.222315,[10  3] ; [439 270],[8.08448753 4.91551247] ; [440.91551247 268.08448753],0
a4,1,0.292068,1.110062,[4 9] ; [329 395],[5.87381275 7.12618725] ; [327.12618725 396.87381275],0
s1,1,0.297436,1.085655,[ 1 12] ; [ 20 693],[ 0.37603306 12.62396694] ; [ 20.62396694 692.37603306],0
u3,1,0.327938,0.957022,[3 4] ; [131  83],[4.24434389 2.75565611] ; [129.75565611  84.24434389],0
p6,1,0.341654,0.904215,[6 7] ; [240 475],[4.39285714 8.60714286] ; [241.60714286 473.39285714],0
a8,1,0.342879,0.899639,[ 3 10] ; [ 91 566],[ 1.8238806 11.1761194] ; [ 92.1761194 564.8238806],0
s6,1,0.343628,0.896848,[7 6] ; [474 240],[8.60110041 4.39889959] ; [472.39889959 241.60110041],0
n3,1,0.34865,0.878363,[1 1] ; [123  35],[1.55 0.45] ; [122.45  35.55],0
n5,1,0.377677,0.778249,[8 5] ; [524 198],[9.40952381 3.59047619] ; [522.59047619 199.40952381],0
p8,1,0.384522,0.756195,[8 5] ; [353 362],[6.44642857 6.55357143] ; [354.55357143 360.44642857],0
n2,1,0.388174,0.744653,[1 1] ; [122  38],[1.51851852 0.48148148] ; [121.48148148  38.51851852],0
b2,1,0.454372,0.559724,[1 4] ; [154 272],[1.79814385 3.20185615] ; [153.20185615 272.79814385],0
b3,1,0.454372,0.559724,[1 4] ; [154 272],[1.79814385 3.20185615] ; [153.20185615 272.79814385],0
s5,1,0.542105,0.371652,[ 3 10] ; [217 484],[4.00560224 8.99439776] ; [215.99439776 485.00560224],0
d3,1,0.564871,0.331341,[10  3] ; [504 221],[9.05420054 3.94579946] ; [504.94579946 220.05420054],0
p2,1,0.601984,0.272014,[10  3] ; [598 127],[10.7100271  2.2899729] ; [597.2899729 127.7100271],0
b5,1,0.609606,0.260749,[9 4] ; [453 274],[8.11621622 4.88378378] ; [453.88378378 273.11621622],0
v2,1,0.643882,0.2137,[6 6] ; [395 302],[6.78702398 5.21297602] ; [394.21297602 302.78702398],0
p10,1,0.645295,0.211883,[11  2] ; [571 148],[10.33606557  2.66393443] ; [571.66393443 147.33606557],0
d5,1,0.65444,0.200348,[10  3] ; [592 132],[10.61872456  2.38127544] ; [591.38127544 132.61872456],0
p4,1,0.683668,0.166026,[8 5] ; [404 319],[7.27717391 5.72282609] ; [404.72282609 318.27717391],0
a7,1,0.702298,0.146093,[9 4] ; [536 189],[9.600271 3.399729] ; [535.399729 189.600271],0
b4,1,0.738031,0.111865,[7 6] ; [425 302],[7.58918919 5.41081081] ; [424.41081081 302.58918919],0
p12,1,0.738612,0.111351,[ 1 12] ; [ 40 681],[ 0.72615804 12.27384196] ; [ 40.27384196 680.72615804],0
s8,1,0.797366,0.065925,[6 7] ; [308 415],[5.54619565 7.45380435] ; [308.45380435 414.54619565],0
s4,1,0.838763,0.041402,[ 2 11] ; [126 592],[ 2.27633379 10.72366621] ; [125.72366621 592.27633379],0
p9,1,0.88508,0.02089,[11  2] ; [595 121],[10.80658436  2.19341564] ; [595.19341564 120.80658436],0
d2,1,0.891194,0.018712,[6 7] ; [348 376],[6.24423338 6.75576662] ; [347.75576662 376.24423338],0
v3,1,0.957191,0.002881,[5 8] ; [263 434],[4.90704225 8.09295775] ; [263.09295775 433.90704225],0
