Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,9e-05,15.340008,[54 22] ; [ 3 13],[47.08695652 28.91304348] ; [9.91304348 6.08695652],1
s2,1,0.000387,12.592408,[56 22] ; [ 4 12],[49.78723404 28.21276596] ; [10.21276596  5.78723404],1
v2,1,0.009133,6.796662,[35 42] ; [13  3],[39.74193548 37.25806452] ; [8.25806452 7.74193548],0
s8,1,0.009919,6.649362,[47 31] ; [ 4 12],[42.31914894 35.68085106] ; [8.68085106 7.31914894],0
s4,1,0.022238,5.227061,[27 50] ; [ 1 15],[23.1827957 53.8172043] ; [ 4.8172043 11.1827957],0
d3,1,0.028123,4.820513,[43 35] ; [ 4 12],[39. 39.] ; [8. 8.],0
s3,1,0.029737,4.724405,[56 22] ; [7 9],[52.27659574 25.72340426] ; [10.72340426  5.27659574],0
b5,1,0.055781,3.658579,[29 49] ; [ 2 14],[25.72340426 52.27659574] ; [ 5.27659574 10.72340426],0
r2,1,0.058679,3.574323,[74  4] ; [13  3],[72.19148936  5.80851064] ; [14.80851064  1.19148936],0
a4,1,0.066477,3.367937,[44 34] ; [ 5 11],[40.65957447 37.34042553] ; [8.34042553 7.65957447],0
p6,1,0.083206,3.001133,[37 39] ; [ 4 12],[33.86956522 42.13043478] ; [7.13043478 8.86956522],0
p11,1,0.106906,2.599372,[59 19] ; [15  1],[61.40425532 16.59574468] ; [12.59574468  3.40425532],0
d2,1,0.119007,2.430342,[42 36] ; [12  4],[44.80851064 33.19148936] ; [9.19148936 6.80851064],0
p4,1,0.129032,2.304115,[50 28] ; [7 9],[47.29787234 30.70212766] ; [9.70212766 6.29787234],0
p9,1,0.133113,2.255818,[66 12] ; [11  5],[63.89361702 14.10638298] ; [13.10638298  2.89361702],0
v4,1,0.159998,1.974244,[75  3] ; [14  2],[73.85106383  4.14893617] ; [15.14893617  0.85106383],0
b2,1,0.237729,1.394013,[22 28] ; [7 4],[23.7704918 26.2295082] ; [5.2295082 5.7704918],0
b3,1,0.237729,1.394013,[22 28] ; [7 4],[23.7704918 26.2295082] ; [5.2295082 5.7704918],0
a6,1,0.246223,1.344608,[27 51] ; [8 8],[29.04255319 48.95744681] ; [ 5.95744681 10.04255319],0
p1,1,0.335658,0.926946,[ 8 70] ; [ 3 13],[ 9.12765957 68.87234043] ; [ 1.87234043 14.12765957],0
r4,1,0.335658,0.926946,[70  8] ; [13  3],[68.87234043  9.12765957] ; [14.12765957  1.87234043],0
p3,1,0.338983,0.914275,[49 29] ; [8 8],[47.29787234 30.70212766] ; [9.70212766 6.29787234],0
p8,1,0.377299,0.779482,[43 34] ; [7 9],[41.39784946 35.60215054] ; [8.60215054 7.39784946],0
n2,1,0.382677,0.762085,[19  3] ; [2 1],[18.48  3.52] ; [2.52 0.48],0
a2,1,0.456397,0.554715,[10 68] ; [ 1 15],[ 9.12765957 68.87234043] ; [ 1.87234043 14.12765957],0
p7,1,0.478376,0.502563,[56 21] ; [13  3],[57.12903226 19.87096774] ; [11.87096774  4.12903226],0
b1,1,0.58308,0.301282,[40 38] ; [7 9],[39. 39.] ; [8. 8.],0
n1,1,0.587793,0.293803,[11 11] ; [2 1],[11.44 10.56] ; [1.56 1.44],0
a3,1,0.64283,0.21506,[58 20] ; [12  3],[58.70967742 19.29032258] ; [11.29032258  3.70967742],0
v3,1,0.649187,0.206927,[29 48] ; [7 9],[29.80645161 47.19354839] ; [6.19354839 9.80645161],0
n6,1,0.664472,0.188137,[64 13] ; [14  2],[64.58064516 12.41935484] ; [13.41935484  2.58064516],0
n4,1,0.687132,0.162207,[59 18] ; [13  3],[59.61290323 17.38709677] ; [12.38709677  3.61290323],0
p10,1,0.689527,0.159598,[62 16] ; [12  4],[61.40425532 16.59574468] ; [12.59574468  3.40425532],0
n5,1,0.708474,0.139806,[61 16] ; [12  4],[60.44086022 16.55913978] ; [12.55913978  3.44086022],0
d1,1,0.722182,0.126412,[45 33] ; [10  6],[45.63829787 32.36170213] ; [9.36170213 6.63829787],0
v1,1,0.776074,0.080906,[47 31] ; [9 5],[47.47826087 30.52173913] ; [8.52173913 5.47826087],0
b4,1,0.795803,0.066968,[51 27] ; [11  5],[51.44680851 26.55319149] ; [10.55319149  5.44680851],0
r3,1,0.84134,0.040072,[72  6] ; [15  1],[72.19148936  5.80851064] ; [14.80851064  1.19148936],0
d4,1,0.851322,0.03513,[66 11] ; [14  2],[66.23655914 10.76344086] ; [13.76344086  2.23655914],0
u1,1,0.855473,0.033175,[ 4 74] ; [ 1 15],[ 4.14893617 73.85106383] ; [ 0.85106383 15.14893617],0
p2,1,0.872924,0.025583,[62 16] ; [13  3],[62.23404255 15.76595745] ; [12.76595745  3.23404255],0
r1,1,0.872924,0.025583,[62 16] ; [13  3],[62.23404255 15.76595745] ; [12.76595745  3.23404255],0
p5,1,0.939534,0.005754,[14 64] ; [ 3 13],[14.10638298 63.89361702] ; [ 2.89361702 13.10638298],0
a5,1,0.957281,0.002869,[58 20] ; [12  4],[58.08510638 19.91489362] ; [11.91489362  4.08510638],0
d5,1,0.957329,0.002863,[63 14] ; [13  3],[62.92473118 14.07526882] ; [13.07526882  2.92473118],0
