Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.694868,[ 47 103] ; [36 17],[61.33004926 88.66995074] ; [21.66995074 31.33004926],1
s8,1,0.006115,7.516233,[ 18 137] ; [15 40],[ 24.35714286 130.64285714] ; [ 8.64285714 46.35714286],0
s6,1,0.02334,5.143008,[ 47 108] ; [26 29],[ 53.88095238 101.11904762] ; [19.11904762 35.88095238],0
p12,1,0.023388,5.139419,[  2 151] ; [ 4 51],[  4.41346154 148.58653846] ; [ 1.58653846 53.41346154],0
a3,1,0.046737,3.954843,[88 65] ; [40 15],[94.15384615 58.84615385] ; [33.84615385 21.15384615],0
a6,1,0.051343,3.797059,[99 56] ; [43 12],[104.80952381  50.19047619] ; [37.19047619 17.80952381],0
r2,1,0.051882,3.779571,[125  28] ; [51  4],[129.46153846  23.53846154] ; [46.53846154  8.46153846],0
b4,1,0.065233,3.399087,[91 64] ; [40 15],[96.69047619 58.30952381] ; [34.30952381 20.69047619],0
d3,1,0.065463,3.39326,[88 67] ; [39 16],[93.73809524 61.26190476] ; [33.26190476 21.73809524],0
a1,1,0.090978,2.856987,[  7 148] ; [ 6 49],[  9.5952381 145.4047619] ; [ 3.4047619 51.5952381],0
v1,1,0.13538,2.229705,[ 48 105] ; [23 31],[ 52.47826087 100.52173913] ; [18.52173913 35.47826087],0
a7,1,0.147189,2.10114,[98 57] ; [40 14],[102.34449761  52.65550239] ; [35.65550239 18.34449761],0
s3,1,0.172088,1.864661,[ 26 127] ; [14 41],[ 29.42307692 123.57692308] ; [10.57692308 44.42307692],0
v4,1,0.221774,1.492857,[123  31] ; [48  7],[126.  28.] ; [45. 10.],0
d1,1,0.249717,1.324887,[65 90] ; [28 27],[68.64285714 86.35714286] ; [24.35714286 30.64285714],0
r4,1,0.26663,1.234004,[103  52] ; [41 14],[106.28571429  48.71428571] ; [37.71428571 17.28571429],0
a2,1,0.284235,1.146729,[ 24 131] ; [12 43],[ 26.57142857 128.42857143] ; [ 9.42857143 45.57142857],0
s4,1,0.288715,1.125604,[ 16 138] ; [ 3 51],[ 14.06730769 139.93269231] ; [ 4.93269231 49.06730769],0
d2,1,0.308875,1.035479,[56 97] ; [24 30],[59.13043478 93.86956522] ; [20.86956522 33.13043478],0
s7,1,0.314739,1.010684,[ 27 122] ; [13 40],[ 29.5049505 119.4950495] ; [10.4950495 42.5049505],0
b3,1,0.364487,0.822372,[35 51] ; [16 16],[37.16949153 48.83050847] ; [13.83050847 18.16949153],0
b2,1,0.364487,0.822372,[35 51] ; [16 16],[37.16949153 48.83050847] ; [13.83050847 18.16949153],0
b5,1,0.420518,0.648868,[89 66] ; [35 20],[91.52380952 63.47619048] ; [32.47619048 22.52380952],0
p5,1,0.430504,0.621462,[  7 148] ; [ 4 51],[  8.11904762 146.88095238] ; [ 2.88095238 52.11904762],0
p10,1,0.434189,0.611593,[87 66] ; [34 20],[89.43478261 63.56521739] ; [31.56521739 22.43478261],0
r3,1,0.445185,0.582881,[124  30] ; [46  8],[125.86538462  28.13461538] ; [44.13461538  9.86538462],0
p6,1,0.450151,0.570271,[ 14 139] ; [ 7 48],[ 15.44711538 137.55288462] ; [ 5.55288462 49.44711538],0
p1,1,0.479402,0.500224,[ 12 142] ; [ 6 49],[ 13.26315789 140.73684211] ; [ 4.73684211 50.26315789],0
u2,1,0.479548,0.499892,[29 38] ; [8 7],[30.23170732 36.76829268] ; [6.76829268 8.23170732],0
p2,1,0.480493,0.497744,[93 62] ; [30 25],[90.78571429 64.21428571] ; [32.21428571 22.78571429],0
p3,1,0.481442,0.495596,[ 35 119] ; [10 45],[ 33.15789474 120.84210526] ; [11.84210526 43.15789474],0
n6,1,0.496083,0.463307,[111  44] ; [42 13],[112.92857143  42.07142857] ; [40.07142857 14.92857143],0
b1,1,0.52804,0.398162,[61 94] ; [19 36],[59.04761905 95.95238095] ; [20.95238095 34.04761905],0
p8,1,0.542933,0.37013,[ 34 120] ; [10 45],[ 32.42105263 121.57894737] ; [11.57894737 43.42105263],0
d5,1,0.551453,0.354721,[109  46] ; [41 14],[110.71428571  44.28571429] ; [39.28571429 15.71428571],0
a4,1,0.578465,0.308722,[65 88] ; [21 34],[63.25961538 89.74038462] ; [22.74038462 32.25961538],0
s5,1,0.632601,0.22855,[ 21 130] ; [ 6 47],[ 19.98529412 131.01470588] ; [ 7.01470588 45.98529412],0
n3,1,0.637558,0.22195,[33 26] ; [10  6],[33.82666667 25.17333333] ; [9.17333333 6.82666667],0
p11,1,0.65004,0.20585,[99 56] ; [37 18],[100.38095238  54.61904762] ; [35.61904762 19.38095238],0
n4,1,0.657098,0.197067,[102  53] ; [38 17],[103.33333333  51.66666667] ; [36.66666667 18.33333333],0
p9,1,0.663612,0.189166,[96 54] ; [37 18],[97.31707317 52.68292683] ; [35.68292683 19.31707317],0
n2,1,0.725425,0.123354,[36 24] ; [11  6],[36.62337662 23.37662338] ; [10.37662338  6.62337662],0
u3,1,0.736172,0.113519,[30 37] ; [6 9],[29.41463415 37.58536585] ; [6.58536585 8.41463415],0
d4,1,0.796372,0.066587,[112  43] ; [40 14],[112.72727273  42.27272727] ; [39.27272727 14.72727273],0
p4,1,0.80352,0.061899,[ 46 109] ; [17 37],[ 46.72248804 108.27751196] ; [16.27751196 37.72248804],0
a8,1,0.826618,0.047979,[ 13 135] ; [ 5 46],[ 13.38693467 134.61306533] ; [ 4.61306533 46.38693467],0
r1,1,0.833222,0.04434,[99 56] ; [36 19],[99.64285714 55.35714286] ; [35.35714286 19.64285714],0
a5,1,0.866177,0.028398,[95 60] ; [33 22],[94.47619048 60.52380952] ; [33.52380952 21.47619048],0
s1,1,0.866511,0.028255,[  5 150] ; [ 2 52],[  5.19138756 149.80861244] ; [ 1.80861244 52.19138756],0
u1,1,0.902881,0.01489,[ 16 139] ; [ 6 49],[ 16.23809524 138.76190476] ; [ 5.76190476 49.23809524],0
n5,1,0.944697,0.004812,[100  54] ; [36 19],[100.21052632  53.78947368] ; [35.78947368 19.21052632],0
n1,1,0.962873,0.002167,[24 37] ; [6 9],[24.07894737 36.92105263] ; [5.92105263 9.07894737],0
