Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001194,10.5,[ 9 66] ; [12 18],[15. 60.] ; [ 6. 24.],0
v2,1,0.008148,7.000546,[20 56] ; [16 14],[25.81132075 50.18867925] ; [10.18867925 19.81132075],0
u2,1,0.00952,6.722509,[23 25] ; [15  3],[27.63636364 20.36363636] ; [10.36363636  7.63636364],0
a4,1,0.010774,6.502297,[ 6 72] ; [ 8 23],[10.01834862 67.98165138] ; [ 3.98165138 27.01834862],0
d4,1,0.016105,5.79137,[46 31] ; [26  5],[51.33333333 25.66666667] ; [20.66666667 10.33333333],0
p9,1,0.017098,5.686279,[44 32] ; [24  5],[49.21904762 26.78095238] ; [18.78095238 10.21904762],0
u3,1,0.021911,5.252811,[26 22] ; [16  3],[30.08955224 17.91044776] ; [11.91044776  7.08955224],0
p10,1,0.030437,4.684438,[40 36] ; [22  7],[44.87619048 31.12380952] ; [17.12380952 11.87619048],0
n6,1,0.034517,4.468908,[50 28] ; [13 18],[45.08256881 32.91743119] ; [17.91743119 13.08256881],0
s6,1,0.061817,3.487962,[30 48] ; [17 12],[34.26168224 43.73831776] ; [12.73831776 16.26168224],0
s2,1,0.110411,2.548328,[25 53] ; [15 16],[28.62385321 49.37614679] ; [11.37614679 19.62385321],0
s3,1,0.119345,2.42589,[30 48] ; [17 14],[33.63302752 44.36697248] ; [13.36697248 17.63302752],0
a1,1,0.13668,2.214946,[ 1 77] ; [ 2 29],[ 2.14678899 75.85321101] ; [ 0.85321101 30.14678899],0
r1,1,0.185111,1.756105,[42 36] ; [21 10],[45.08256881 32.91743119] ; [17.91743119 13.08256881],0
s5,1,0.192634,1.697356,[14 62] ; [ 9 21],[16.49056604 59.50943396] ; [ 6.50943396 23.49056604],0
p3,1,0.200756,1.636867,[14 64] ; [ 9 22],[16.4587156 61.5412844] ; [ 6.5412844 24.4587156],0
s4,1,0.232913,1.422983,[21 57] ; [ 5 26],[18.60550459 59.39449541] ; [ 7.39449541 23.60550459],0
p1,1,0.235402,1.40792,[ 3 74] ; [ 3 28],[ 4.27777778 72.72222222] ; [ 1.72222222 29.27777778],0
n1,1,0.279673,1.16868,[ 6 24] ; [4 7],[ 7.31707317 22.68292683] ; [2.68292683 8.31707317],0
d2,1,0.288293,1.127574,[17 61] ; [ 4 27],[15.02752294 62.97247706] ; [ 5.97247706 25.02752294],0
b5,1,0.305191,1.051375,[51 27] ; [17 14],[48.66055046 29.33944954] ; [19.33944954 11.66055046],0
v4,1,0.318638,0.99453,[66 10] ; [29  2],[67.47663551  8.52336449] ; [27.52336449  3.47663551],0
r3,1,0.34685,0.88495,[68 10] ; [24  6],[66.44444444 11.55555556] ; [25.55555556  4.44444444],0
p4,1,0.39789,0.714694,[21 56] ; [11 20],[22.81481481 54.18518519] ; [ 9.18518519 21.81481481],0
d5,1,0.408265,0.683847,[43 34] ; [20 11],[44.91666667 32.08333333] ; [18.08333333 12.91666667],0
s7,1,0.441001,0.593676,[18 58] ; [ 9 20],[19.54285714 56.45714286] ; [ 7.45714286 21.54285714],0
a7,1,0.452027,0.565563,[53 24] ; [19 12],[51.33333333 25.66666667] ; [20.66666667 10.33333333],0
p6,1,0.468721,0.524991,[17 61] ; [ 8 20],[18.39622642 59.60377358] ; [ 6.60377358 21.39622642],0
d1,1,0.485302,0.486925,[20 58] ; [10 21],[21.46788991 56.53211009] ; [ 8.53211009 22.46788991],0
b2,1,0.521215,0.411489,[ 7 31] ; [3 8],[ 7.75510204 30.24489796] ; [2.24489796 8.75510204],0
b3,1,0.521215,0.411489,[ 7 31] ; [3 8],[ 7.75510204 30.24489796] ; [2.24489796 8.75510204],0
b1,1,0.544376,0.367488,[30 48] ; [10 21],[28.62385321 49.37614679] ; [11.37614679 19.62385321],0
n3,1,0.574103,0.315865,[19 11] ; [8 3],[19.75609756 10.24390244] ; [7.24390244 3.75609756],0
p2,1,0.580883,0.304809,[53 24] ; [23  8],[54.18518519 22.81481481] ; [21.81481481  9.18518519],0
p8,1,0.618434,0.248075,[27 50] ; [ 9 21],[25.90654206 51.09345794] ; [10.09345794 19.90654206],0
n2,1,0.664513,0.188088,[18 11] ; [6 5],[17.4 11.6] ; [6.6 4.4],0
s1,1,0.690923,0.158088,[ 4 74] ; [ 1 29],[ 3.61111111 74.38888889] ; [ 1.38888889 28.61111111],0
p7,1,0.696138,0.152521,[31 42] ; [14 16],[31.89320388 41.10679612] ; [13.10679612 16.89320388],0
r2,1,0.741216,0.109061,[66 12] ; [27  4],[66.55045872 11.44954128] ; [26.44954128  4.55045872],0
n5,1,0.78097,0.077314,[27 50] ; [10 21],[26.37962963 50.62037037] ; [10.62037037 20.37962963],0
a6,1,0.785074,0.074372,[38 40] ; [16 15],[38.64220183 39.35779817] ; [15.35779817 15.64220183],0
p11,1,0.833343,0.044275,[47 31] ; [18 13],[46.51376147 31.48623853] ; [18.48623853 12.51376147],0
s8,1,0.844196,0.038624,[19 59] ; [ 7 24],[18.60550459 59.39449541] ; [ 7.39449541 23.60550459],0
u1,1,0.848919,0.03629,[ 2 76] ; [ 1 30],[ 2.14678899 75.85321101] ; [ 0.85321101 30.14678899],0
r4,1,0.87969,0.022911,[54 24] ; [21 10],[53.66972477 24.33027523] ; [21.33027523  9.66972477],0
a3,1,0.881728,0.022135,[29 49] ; [12 19],[29.33944954 48.66055046] ; [11.66055046 19.33944954],0
