Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.8e-05,15.388551,[34 60] ; [25  8],[43.66929134 50.33070866] ; [15.33070866 17.66929134],1
s7,1,0.00023,13.570166,[16 74] ; [16 15],[23.80165289 66.19834711] ; [ 8.19834711 22.80165289],1
s5,1,0.003393,8.583053,[18 75] ; [15 18],[24.35714286 68.64285714] ; [ 8.64285714 24.35714286],0
s2,1,0.015294,5.882322,[29 65] ; [18 15],[34.78740157 59.21259843] ; [12.21259843 20.78740157],0
p1,1,0.03585,4.404238,[ 4 90] ; [ 5 28],[ 6.66141732 87.33858268] ; [ 2.33858268 30.66141732],0
d5,1,0.054387,3.700796,[53 42] ; [24  8],[57.5984252 37.4015748] ; [19.4015748 12.5984252],0
n2,1,0.05656,3.635488,[20 15] ; [15  3],[23.11320755 11.88679245] ; [11.88679245  6.11320755],0
d3,1,0.064429,3.419532,[50 44] ; [23  9],[54.46031746 39.53968254] ; [18.53968254 13.46031746],0
p6,1,0.073929,3.193548,[17 76] ; [11 22],[20.66666667 72.33333333] ; [ 7.33333333 25.66666667],0
r2,1,0.07908,3.083702,[73 22] ; [30  3],[76.4453125 18.5546875] ; [26.5546875  6.4453125],0
p3,1,0.083272,2.999857,[25 70] ; [14 19],[28.9453125 66.0546875] ; [10.0546875 22.9453125],0
s3,1,0.095203,2.78412,[36 59] ; [18 15],[40.078125 54.921875] ; [13.921875 19.078125],0
n5,1,0.12933,2.300528,[29 65] ; [15 18],[32.56692913 61.43307087] ; [11.43307087 21.56692913],0
b4,1,0.160153,1.972778,[47 48] ; [21 12],[50.46875 44.53125] ; [17.53125 15.46875],0
p2,1,0.169242,1.889647,[62 32] ; [26  7],[65.13385827 28.86614173] ; [22.86614173 10.13385827],0
p4,1,0.17438,1.844877,[33 61] ; [16 17],[36.26771654 57.73228346] ; [12.73228346 20.26771654],0
v3,1,0.199872,1.643309,[ 7 86] ; [ 5 28],[ 8.85714286 84.14285714] ; [ 3.14285714 29.85714286],0
n1,1,0.219815,1.505578,[ 8 27] ; [ 7 11],[ 9.90566038 25.09433962] ; [ 5.09433962 12.90566038],0
a2,1,0.234747,1.411865,[ 9 86] ; [ 1 32],[ 7.421875 87.578125] ; [ 2.578125 30.421875],0
u3,1,0.245152,1.350723,[25 21] ; [12  5],[27.01587302 18.98412698] ; [9.98412698 7.01587302],0
d4,1,0.257742,1.280843,[65 30] ; [26  7],[67.5390625 27.4609375] ; [23.4609375  9.5390625],0
s8,1,0.263161,1.25205,[22 72] ; [11 22],[24.42519685 69.57480315] ; [ 8.57480315 24.42519685],0
r1,1,0.305388,1.050515,[53 42] ; [15 18],[50.46875 44.53125] ; [17.53125 15.46875],0
p11,1,0.337926,0.918285,[58 37] ; [17 16],[55.6640625 39.3359375] ; [19.3359375 13.6640625],0
a5,1,0.348756,0.877977,[40 55] ; [17 16],[42.3046875 52.6953125] ; [14.6953125 18.3046875],0
r4,1,0.367048,0.813634,[64 31] ; [25  8],[66.0546875 28.9453125] ; [22.9453125 10.0546875],0
p8,1,0.40566,0.691483,[35 59] ; [15 18],[37.00787402 56.99212598] ; [12.99212598 20.00787402],0
a6,1,0.406056,0.690318,[54 41] ; [16 17],[51.953125 43.046875] ; [18.046875 14.953125],0
d2,1,0.433611,0.613133,[36 59] ; [10 23],[34.140625 60.859375] ; [11.859375 21.140625],0
p9,1,0.439373,0.597921,[65 28] ; [20 12],[63.24 29.76] ; [21.76 10.24],0
s1,1,0.474532,0.511403,[ 6 89] ; [ 1 32],[ 5.1953125 89.8046875] ; [ 1.8046875 31.1953125],0
n6,1,0.566038,0.329357,[58 37] ; [22 11],[59.375 35.625] ; [20.625 12.375],0
a1,1,0.601119,0.273311,[ 5 90] ; [ 1 32],[ 4.453125 90.546875] ; [ 1.546875 31.453125],0
p7,1,0.604275,0.268597,[45 46] ; [17 14],[46.24590164 44.75409836] ; [15.75409836 15.24590164],0
b2,1,0.639712,0.219119,[13 36] ; [ 4 15],[12.25 36.75] ; [ 4.75 14.25],0
b3,1,0.639712,0.219119,[13 36] ; [ 4 15],[12.25 36.75] ; [ 4.75 14.25],0
v4,1,0.694428,0.154333,[80 14] ; [29  4],[80.67716535 13.32283465] ; [28.32283465  4.67716535],0
a7,1,0.70268,0.145699,[60 35] ; [19 13],[59.09448819 35.90551181] ; [19.90551181 12.09448819],0
r3,1,0.71896,0.129491,[78 17] ; [28  5],[78.671875 16.328125] ; [27.328125  5.671875],0
n3,1,0.784176,0.075011,[22 13] ; [12  6],[22.45283019 12.54716981] ; [11.54716981  6.45283019],0
v1,1,0.79772,0.065689,[26 67] ; [10 23],[26.57142857 66.42857143] ; [ 9.42857143 23.57142857],0
a3,1,0.798782,0.064986,[48 46] ; [16 17],[47.37007874 46.62992126] ; [16.62992126 16.37007874],0
u2,1,0.799596,0.06445,[26 20] ; [9 8],[25.55555556 20.44444444] ; [9.44444444 7.55555556],0
p10,1,0.811552,0.056846,[57 36] ; [21 12],[57.57142857 35.42857143] ; [20.42857143 12.57142857],0
d1,1,0.866095,0.028433,[33 62] ; [12 21],[33.3984375 61.6015625] ; [11.6015625 21.3984375],0
b5,1,0.878681,0.023299,[59 36] ; [20 13],[58.6328125 36.3671875] ; [20.3671875 12.6328125],0
a4,1,0.914609,0.011498,[25 70] ; [ 9 24],[25.234375 69.765625] ; [ 8.765625 24.234375],0
b1,1,0.941531,0.00538,[41 54] ; [14 19],[40.8203125 54.1796875] ; [14.1796875 18.8203125],0
