Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,100.831347,[329  13] ; [3 9],[320.74576271  21.25423729] ; [11.25423729  0.74576271],1
v4,1,0.0,42.116034,[336   6] ; [8 4],[332.33898305   9.66101695] ; [11.66101695  0.33898305],1
r3,1,9e-06,19.705151,[333   8] ; [9 3],[330.37393768  10.62606232] ; [11.62606232  0.37393768],1
r1,1,0.000231,13.556647,[298  43] ; [6 6],[293.66572238  47.33427762] ; [10.33427762  1.66572238],1
d1,1,0.000359,12.735063,[228 114] ; [ 2 10],[222.20338983 119.79661017] ; [7.79661017 4.20338983],1
a4,1,0.003646,8.452143,[174 167] ; [ 1 11],[169.0509915 171.9490085] ; [5.9490085 6.0509915],0
a3,1,0.004076,8.249839,[282  59] ; [6 6],[278.20963173  62.79036827] ; [9.79036827 2.20963173],0
n2,1,0.010214,6.597175,[59 15] ; [2 4],[56.425 17.575] ; [4.575 1.425],0
s2,1,0.011929,6.321402,[273  68] ; [6 6],[269.51558074  71.48441926] ; [9.48441926 2.51558074],0
n6,1,0.012686,6.212389,[304  35] ; [8 4],[301.33333333  37.66666667] ; [10.66666667  1.33333333],0
d2,1,0.026395,4.929972,[195 145] ; [3 9],[191.25 148.75] ; [6.75 5.25],0
n5,1,0.02885,4.776519,[282  58] ; [7 5],[279.14772727  60.85227273] ; [9.85227273 2.14772727],0
s3,1,0.043579,4.072782,[276  62] ; [7 5],[273.29714286  64.70285714] ; [9.70285714 2.29714286],0
v2,1,0.053191,3.7379,[203 129] ; [4 8],[199.77906977 132.22093023] ; [7.22093023 4.77906977],0
p9,1,0.060333,3.528193,[308  30] ; [9 3],[306.13142857  31.86857143] ; [10.86857143  1.13142857],0
n3,1,0.076241,3.143269,[51 23] ; [2 4],[49.025 24.975] ; [3.975 2.025],0
d3,1,0.076645,3.134637,[249  91] ; [6 6],[246.30681818  93.69318182] ; [8.69318182 3.30681818],0
a2,1,0.089632,2.880971,[107 235] ; [ 1 11],[104.33898305 237.66101695] ; [3.66101695 8.33898305],0
n4,1,0.117866,2.445451,[285  55] ; [8 4],[283.01136364  56.98863636] ; [9.98863636 2.01136364],0
p6,1,0.135079,2.233146,[158 179] ; [3 9],[155.46418338 181.53581662] ; [5.53581662 6.46418338],0
b1,1,0.221117,1.497107,[139 203] ; [7 5],[141.05084746 200.94915254] ; [4.94915254 7.05084746],0
a5,1,0.230213,1.439543,[276  66] ; [8 4],[274.37288136  67.62711864] ; [9.62711864 2.37288136],0
b4,1,0.263904,1.248163,[198 144] ; [5 7],[196.11864407 145.88135593] ; [6.88135593 5.11864407],0
p3,1,0.28634,1.13675,[195 146] ; [5 7],[193.20113314 147.79886686] ; [6.79886686 5.20113314],0
d4,1,0.294978,1.096761,[291  48] ; [9 3],[289.74358974  49.25641026] ; [10.25641026  1.74358974],0
p10,1,0.294978,1.096761,[291  48] ; [9 3],[289.74358974  49.25641026] ; [10.25641026  1.74358974],0
a7,1,0.354266,0.858119,[242 100] ; [7 5],[240.55932203 101.44067797] ; [8.44067797 3.55932203],0
d5,1,0.365598,0.818572,[287  52] ; [9 3],[285.88034188  53.11965812] ; [10.11965812  1.88034188],0
s4,1,0.418006,0.655913,[ 79 261] ; [4 8],[ 80.17045455 259.82954545] ; [2.82954545 9.17045455],0
