Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,37.173356,[66 69] ; [ 25 133],[41.92832765 93.07167235] ; [ 49.07167235 108.92832765],1
p3,1,0.0,25.748582,[51 86] ; [ 19 139],[ 32.50847458 104.49152542] ; [ 37.49152542 120.50847458],1
p2,1,0.0,25.319417,[116  21] ; [92 67],[96.27027027 40.72972973] ; [111.72972973  47.27027027],1
p10,1,7.7e-05,15.623994,[111  24] ; [96 61],[95.70205479 39.29794521] ; [111.29794521  45.70205479],1
a8,1,0.000297,13.08891,[28 96] ; [ 11 140],[ 17.58545455 106.41454545] ; [ 21.41454545 129.58545455],1
p6,1,0.000388,12.588982,[ 31 103] ; [ 13 145],[ 20.19178082 113.80821918] ; [ 23.80821918 134.19178082],1
r4,1,0.001062,10.715696,[124  13] ; [121  38],[113.39527027  23.60472973] ; [131.60472973  27.39527027],0
p9,1,0.001156,10.559326,[112  22] ; [103  51],[100.03472222  33.96527778] ; [114.96527778  39.03472222],0
r3,1,0.001513,10.063026,[132   4] ; [137  21],[124.43537415  11.56462585] ; [144.56462585  13.43537415],0
v4,1,0.002493,9.145953,[129   6] ; [134  24],[121.1774744  13.8225256] ; [141.8225256  16.1774744],0
n6,1,0.003175,8.704036,[114  21] ; [111  48],[103.31632653  31.68367347] ; [121.68367347  37.31632653],0
n4,1,0.004006,8.281106,[105  31] ; [98 61],[93.58644068 42.41355932] ; [109.41355932  49.58644068],0
s6,1,0.00456,8.04631,[85 49] ; [73 83],[73.00689655 60.99310345] ; [84.99310345 71.00689655],0
s8,1,0.013643,6.083733,[59 77] ; [ 47 112],[48.86779661 87.13220339] ; [ 57.13220339 101.86779661],0
u3,1,0.018167,5.579967,[13 23] ; [27 16],[18.2278481 17.7721519] ; [21.7721519 21.2278481],0
p11,1,0.02511,5.016299,[102  35] ; [99 60],[93.03040541 43.96959459] ; [107.96959459  51.03040541],0
v2,1,0.026922,4.895838,[79 53] ; [70 80],[69.74468085 62.25531915] ; [79.25531915 70.74468085],0
