Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.19379,[92 31] ; [18 33],[77.75862069 45.24137931] ; [32.24137931 18.75862069],1
d5,1,3.3e-05,17.258253,[94 30] ; [22 29],[82.19428571 41.80571429] ; [33.80571429 17.19428571],1
d1,1,0.000156,14.298279,[60 64] ; [ 9 42],[48.89142857 75.10857143] ; [20.10857143 30.89142857],1
a6,1,0.000338,12.849096,[87 37] ; [21 30],[76.52571429 47.47428571] ; [31.47428571 19.52571429],1
d4,1,0.000363,12.714928,[98 26] ; [26 24],[88.36781609 35.63218391] ; [35.63218391 14.36781609],1
p2,1,0.003219,8.679105,[95 28] ; [28 23],[86.94827586 36.05172414] ; [36.05172414 14.94827586],0
p10,1,0.003801,8.376433,[83 38] ; [23 28],[74.56976744 46.43023256] ; [31.43023256 19.56976744],0
p9,1,0.006381,7.43937,[91 30] ; [27 23],[83.49707602 37.50292398] ; [34.50292398 15.49707602],0
r3,1,0.007074,7.254074,[111  12] ; [38 13],[105.32758621  17.67241379] ; [43.67241379  7.32758621],0
s6,1,0.00726,7.207456,[61 62] ; [14 37],[53.01724138 69.98275862] ; [21.98275862 29.01724138],0
r1,1,0.008452,6.935034,[89 35] ; [26 25],[81.48571429 42.51428571] ; [33.51428571 17.48571429],0
r4,1,0.034504,4.469552,[97 27] ; [32 19],[91.40571429 32.59428571] ; [37.59428571 13.40571429],0
v2,1,0.035707,4.41106,[57 59] ; [15 33],[50.92682927 65.07317073] ; [21.07317073 26.92682927],0
p3,1,0.037406,4.331841,[41 82] ; [ 9 42],[35.34482759 87.65517241] ; [14.65517241 36.34482759],0
p8,1,0.044392,4.04159,[56 66] ; [15 36],[50.06936416 71.93063584] ; [20.93063584 30.06936416],0
a2,1,0.045308,4.007136,[ 18 106] ; [ 2 49],[ 14.17142857 109.82857143] ; [ 5.82857143 45.17142857],0
n5,1,0.052326,3.7653,[42 81] ; [25 25],[47.63583815 75.36416185] ; [19.36416185 30.63583815],0
s7,1,0.060868,3.513578,[34 86] ; [ 7 41],[29.28571429 90.71428571] ; [11.71428571 36.28571429],0
b1,1,0.072109,3.234342,[45 79] ; [26 25],[50.30857143 73.69142857] ; [20.69142857 30.30857143],0
v4,1,0.08754,2.919038,[113  11] ; [41  9],[109.74712644  14.25287356] ; [44.25287356  5.74712644],0
u1,1,0.10024,2.701719,[ 11 113] ; [ 1 50],[  8.50285714 115.49714286] ; [ 3.49714286 47.50285714],0
n2,1,0.102119,2.67213,[25 18] ; [18  5],[28.01515152 14.98484848] ; [14.98484848  8.01515152],0
r2,1,0.112378,2.520453,[107  17] ; [39 12],[103.45142857  20.54857143] ; [42.54857143  8.45142857],0
s4,1,0.122556,2.384346,[ 24 100] ; [ 5 46],[ 20.54857143 103.45142857] ; [ 8.45142857 42.54857143],0
a8,1,0.141098,2.165941,[  5 110] ; [ 5 43],[  7.05521472 107.94478528] ; [ 2.94478528 45.05521472],0
p6,1,0.147914,2.093629,[26 95] ; [ 6 44],[22.64327485 98.35672515] ; [ 9.35672515 40.64327485],0
b5,1,0.162479,1.950998,[82 42] ; [28 23],[77.94285714 46.05714286] ; [32.05714286 18.94285714],0
a5,1,0.282561,1.154733,[67 57] ; [23 28],[63.77142857 60.22857143] ; [26.22857143 24.77142857],0
v3,1,0.324699,0.969926,[29 87] ; [ 9 41],[26.55421687 89.44578313] ; [11.44578313 38.55421687],0
b4,1,0.390941,0.736013,[72 52] ; [26 25],[69.44 54.56] ; [28.56 22.44],0
p11,1,0.443166,0.58807,[75 49] ; [34 17],[77.23428571 46.76571429] ; [31.76571429 19.23428571],0
n6,1,0.458077,0.55059,[75 48] ; [28 23],[72.81034483 50.18965517] ; [30.18965517 20.81034483],0
u3,1,0.467652,0.527519,[30 19] ; [12 11],[28.58333333 20.41666667] ; [13.41666667  9.58333333],0
s3,1,0.575071,0.314272,[49 74] ; [18 33],[47.36206897 75.63793103] ; [19.63793103 31.36206897],0
s8,1,0.585129,0.298015,[29 95] ; [10 41],[27.63428571 96.36571429] ; [11.36571429 39.63428571],0
a3,1,0.629117,0.23326,[73 51] ; [28 23],[71.56571429 52.43428571] ; [29.43428571 21.56571429],0
s2,1,0.654388,0.200412,[39 85] ; [14 36],[37.77011494 86.22988506] ; [15.22988506 34.77011494],0
