Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,35.511101,[39  7] ; [ 3 22],[27.21126761 18.78873239] ; [14.78873239 10.21126761],1
s6,1,0.000243,13.461891,[37  6] ; [11 14],[30.35294118 12.64705882] ; [17.64705882  7.35294118],1
s7,1,0.00124,10.430323,[30 15] ; [ 7 19],[23.45070423 21.54929577] ; [13.54929577 12.45070423],0
v4,1,0.013053,6.161891,[44  1] ; [21  5],[41.1971831  3.8028169] ; [23.8028169  2.1971831],0
s8,1,0.020728,5.349524,[17 29] ; [ 3 23],[12.77777778 33.22222222] ; [ 7.22222222 18.77777778],0
r2,1,0.038934,4.263751,[42  4] ; [19  7],[38.97222222  7.02777778] ; [22.02777778  3.97222222],0
r1,1,0.050314,3.830952,[32 14] ; [12 14],[28.11111111 17.88888889] ; [15.88888889 10.11111111],0
s5,1,0.077428,3.118077,[21 21] ; [ 7 18],[17.55223881 24.44776119] ; [10.44776119 14.55223881],0
n1,1,0.088158,2.907692,[ 2 11] ; [4 4],[3.71428571 9.28571429] ; [2.28571429 5.71428571],0
r4,1,0.098339,2.732273,[38  8] ; [17  9],[35.13888889 10.86111111] ; [19.86111111  6.13888889],0
r3,1,0.106741,2.601816,[42  3] ; [21  5],[39.92957746  5.07042254] ; [23.07042254  2.92957746],0
a4,1,0.156607,2.006689,[14 32] ; [ 4 22],[11.5 34.5] ; [ 6.5 19.5],0
p3,1,0.1634,1.942475,[20 26] ; [ 7 19],[17.25 28.75] ; [ 9.75 16.25],0
v3,1,0.187914,1.733898,[11 34] ; [ 3 23],[ 8.87323944 36.12676056] ; [ 5.12676056 20.87323944],0
a6,1,0.246422,1.343474,[26 20] ; [11 15],[23.63888889 22.36111111] ; [13.36111111 12.63888889],0
p12,1,0.260362,1.266831,[ 1 45] ; [ 2 24],[ 1.91666667 44.08333333] ; [ 1.08333333 24.91666667],0
n2,1,0.271028,1.211538,[12  1] ; [6 2],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
b4,1,0.304941,1.052459,[27 19] ; [12 14],[24.91666667 21.08333333] ; [14.08333333 11.91666667],0
u3,1,0.310624,1.028019,[16  8] ; [7 7],[14.52631579  9.47368421] ; [8.47368421 5.52631579],0
u2,1,0.392918,0.729892,[12 12] ; [5 9],[10.73684211 13.26315789] ; [6.26315789 7.73684211],0
p2,1,0.395355,0.722408,[36 10] ; [18  8],[34.5 11.5] ; [19.5  6.5],0
d3,1,0.404848,0.693879,[21 25] ; [14 11],[22.67605634 23.32394366] ; [12.32394366 12.67605634],0
p7,1,0.463426,0.537608,[27 16] ; [14 12],[25.55072464 17.44927536] ; [15.44927536 10.55072464],0
n4,1,0.475704,0.508696,[27 19] ; [13 13],[25.55555556 20.44444444] ; [14.44444444 11.55555556],0
d5,1,0.491683,0.472841,[26 20] ; [12 13],[24.61971831 21.38028169] ; [13.38028169 11.61971831],0
p8,1,0.501852,0.451017,[21 24] ; [10 16],[19.64788732 25.35211268] ; [11.35211268 14.64788732],0
p9,1,0.533452,0.387812,[35  9] ; [19  7],[33.94285714 10.05714286] ; [20.05714286  5.94285714],0
p11,1,0.573956,0.316108,[33 13] ; [17  9],[31.94444444 14.05555556] ; [18.05555556  7.94444444],0
b1,1,0.576009,0.312731,[19 27] ; [ 9 17],[17.88888889 28.11111111] ; [10.11111111 15.88888889],0
b3,1,0.648867,0.207332,[ 2 21] ; [ 2 13],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
b2,1,0.648867,0.207332,[ 2 21] ; [ 2 13],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
p5,1,0.678339,0.172002,[ 1 45] ; [ 1 25],[ 1.27777778 44.72222222] ; [ 0.72222222 25.27777778],0
a1,1,0.678339,0.172002,[ 1 45] ; [ 1 25],[ 1.27777778 44.72222222] ; [ 0.72222222 25.27777778],0
b5,1,0.689769,0.159335,[27 19] ; [14 12],[26.19444444 19.80555556] ; [14.80555556 11.19444444],0
p10,1,0.709513,0.138764,[31 14] ; [19  7],[31.69014085 13.30985915] ; [18.30985915  7.69014085],0
n5,1,0.752847,0.099154,[32 14] ; [19  7],[32.58333333 13.41666667] ; [18.41666667  7.58333333],0
v1,1,0.756124,0.096456,[19 26] ; [10 16],[18.38028169 26.61971831] ; [10.61971831 15.38028169],0
n3,1,0.776258,0.080769,[9 4] ; [6 2],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
d2,1,0.782619,0.076125,[ 6 40] ; [ 4 22],[ 6.38888889 39.61111111] ; [ 3.61111111 22.38888889],0
a5,1,0.78384,0.075251,[21 25] ; [11 15],[20.44444444 25.55555556] ; [11.55555556 14.44444444],0
v2,1,0.806563,0.059958,[16 29] ; [10 16],[16.47887324 28.52112676] ; [ 9.52112676 16.47887324],0
p4,1,0.813249,0.055808,[19 27] ; [10 16],[18.52777778 27.47222222] ; [10.47222222 15.52777778],0
p6,1,0.817088,0.053496,[11 34] ; [ 7 19],[11.4084507 33.5915493] ; [ 6.5915493 19.4084507],0
a3,1,0.891409,0.018638,[22 24] ; [12 14],[21.72222222 24.27777778] ; [12.27777778 13.72222222],0
n6,1,0.896497,0.016923,[34 11] ; [20  6],[34.22535211 10.77464789] ; [19.77464789  6.22535211],0
s1,1,0.903904,0.014576,[ 2 43] ; [ 1 25],[ 1.90140845 43.09859155] ; [ 1.09859155 24.90140845],0
u1,1,0.918502,0.01047,[ 2 44] ; [ 1 25],[ 1.91666667 44.08333333] ; [ 1.08333333 24.91666667],0
a7,1,0.936312,0.006385,[29 17] ; [16  9],[29.15492958 16.84507042] ; [15.84507042  9.15492958],0
d4,1,0.967267,0.001684,[25 21] ; [14 12],[24.91666667 21.08333333] ; [14.08333333 11.91666667],0
