Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,331.217287,[379  54] ; [101 300],[249.20863309 183.79136691] ; [230.79136691 170.20863309],1
s7,1,0.0,154.648653,[295 123] ; [103 283],[206.92039801 211.07960199] ; [191.07960199 194.92039801],1
s6,1,0.0,152.138422,[371  56] ; [185 212],[288.12135922 138.87864078] ; [267.87864078 129.12135922],1
s8,1,0.0,119.392203,[270 165] ; [ 99 304],[191.54534606 243.45465394] ; [177.45465394 225.54534606],1
s5,1,0.0,80.431521,[202 212] ; [ 74 319],[141.59107807 272.40892193] ; [134.40892193 258.59107807],1
s4,1,0.0,29.081465,[101 330] ; [ 38 363],[ 72.00600962 358.99399038] ; [ 66.99399038 334.00600962],1
p12,1,9.9e-05,15.153995,[ 47 385] ; [ 15 383],[ 32.26987952 399.73012048] ; [ 29.73012048 368.26987952],1
p10,1,0.000104,15.056712,[368  62] ; [298 100],[345.86956522  84.13043478] ; [320.13043478  77.86956522],1
p9,1,0.000184,13.990457,[379  49] ; [316  84],[359.25120773  68.74879227] ; [335.74879227  64.25120773],1
u1,1,0.00023,13.567914,[100 337] ; [ 53 352],[ 79.40736342 357.59263658] ; [ 73.59263658 331.40736342],1
p6,1,0.000318,12.959676,[183 246] ; [121 275],[158.08 270.92] ; [145.92 250.08],1
d1,1,0.000448,12.319298,[285 152] ; [216 189],[260.02019002 176.97980998] ; [240.97980998 164.02019002],1
p4,1,0.000682,11.537686,[278 154] ; [211 189],[253.90384615 178.09615385] ; [235.09615385 164.90384615],1
d4,1,0.003321,8.622206,[375  58] ; [319  85],[359.02270012  73.97729988] ; [334.97729988  69.02270012],0
n5,1,0.003523,8.514491,[336  97] ; [276 126],[317.36047904 115.63952096] ; [294.63952096 107.36047904],0
d2,1,0.004201,8.194884,[232 202] ; [176 228],[211.30310263 222.69689737] ; [196.69689737 207.30310263],0
v1,1,0.006989,7.275772,[247 176] ; [194 202],[227.76923077 195.23076923] ; [213.23076923 182.76923077],0
a2,1,0.009443,6.737029,[122 315] ; [ 82 323],[105.87648456 331.12351544] ; [ 98.12351544 306.87648456],0
s1,1,0.009536,6.719618,[ 20 412] ; [  6 394],[ 13.5 418.5] ; [ 12.5 387.5],0
u4,1,0.010911,6.479825,[ 16 421] ; [  4 401],[ 10.38004751 426.61995249] ; [  9.61995249 395.38004751],0
a3,1,0.013923,6.04785,[325 110] ; [270 133],[308.86038186 126.13961814] ; [286.13961814 116.86038186],0
v3,1,0.017708,5.624804,[183 233] ; [140 251],[166.50309789 249.49690211] ; [156.49690211 234.50309789],0
d5,1,0.019479,5.457995,[367  66] ; [318  87],[353.94391408  79.05608592] ; [331.05608592  73.94391408],0
a6,1,0.029925,4.713615,[282 151] ; [292 113],[296.58949881 136.41050119] ; [277.41050119 127.58949881],0
p3,1,0.031356,4.633377,[230 202] ; [185 219],[214.44976077 217.55023923] ; [200.55023923 203.44976077],0
u3,1,0.035948,4.399551,[74 36] ; [73 62],[66. 44.] ; [81. 54.],0
a4,1,0.036688,4.36483,[212 224] ; [167 236],[196.95351609 239.04648391] ; [182.04648391 220.95351609],0
