Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.489937,[17 13] ; [15 91],[ 7.05882353 22.94117647] ; [24.94117647 81.05882353],1
p7,1,9e-06,19.736043,[20 10] ; [24 79],[ 9.92481203 20.07518797] ; [34.07518797 68.92481203],1
s6,1,0.000516,12.058704,[26  3] ; [57 48],[17.96268657 11.03731343] ; [65.03731343 39.96268657],1
v1,1,0.003213,8.682302,[19 11] ; [34 68],[12.04545455 17.95454545] ; [40.95454545 61.04545455],0
p4,1,0.003444,8.555834,[17 13] ; [29 75],[10.29850746 19.70149254] ; [35.70149254 68.29850746],0
s5,1,0.003776,8.388529,[15 14] ; [24 77],[ 8.7 20.3] ; [30.3 70.7],0
s2,1,0.008919,6.839072,[19 11] ; [38 66],[12.76119403 17.23880597] ; [44.23880597 59.76119403],0
s7,1,0.009089,6.805211,[18 11] ; [35 65],[11.91472868 17.08527132] ; [41.08527132 58.91472868],0
p9,1,0.00971,6.687267,[25  5] ; [58 43],[19.00763359 10.99236641] ; [63.99236641 37.00763359],0
p3,1,0.014314,5.999036,[16 14] ; [31 75],[10.36764706 19.63235294] ; [36.63235294 69.36764706],0
v2,1,0.017393,5.656239,[19  8] ; [46 57],[13.5 13.5] ; [51.5 51.5],0
s8,1,0.020891,5.335882,[17 12] ; [37 69],[11.6 17.4] ; [42.4 63.6],0
p5,1,0.0578,3.599401,[ 5 25] ; [ 6 97],[ 2.48120301 27.51879699] ; [ 8.51879699 94.48120301],0
r4,1,0.089957,2.875134,[28  2] ; [85 21],[24.92647059  5.07352941] ; [88.07352941 17.92647059],0
p12,1,0.155159,2.020789,[ 4 26] ; [  6 100],[ 2.20588235 27.79411765] ; [ 7.79411765 98.20588235],0
u3,1,0.179733,1.799831,[8 3] ; [20 20],[6.03921569 4.96078431] ; [21.96078431 18.03921569],0
p1,1,0.323915,0.973071,[ 4 26] ; [ 8 98],[ 2.64705882 27.35294118] ; [ 9.35294118 96.64705882],0
r3,1,0.326259,0.96369,[28  2] ; [92 14],[26.47058824  3.52941176] ; [93.52941176 12.47058824],0
v3,1,0.335045,0.929298,[13 16] ; [35 65],[10.79069767 18.20930233] ; [37.20930233 62.79069767],0
p10,1,0.34714,0.883885,[21  9] ; [63 41],[18.80597015 11.19402985] ; [65.19402985 38.80597015],0
n3,1,0.349575,0.875,[5 1] ; [23 13],[4. 2.] ; [24. 12.],0
a2,1,0.361448,0.832856,[ 4 26] ; [22 84],[ 5.73529412 24.26470588] ; [20.26470588 85.73529412],0
a4,1,0.399347,0.710291,[15 15] ; [43 61],[12.98507463 17.01492537] ; [45.01492537 58.98507463],0
d4,1,0.406519,0.688957,[21  9] ; [82 24],[22.72058824  7.27941176] ; [80.27941176 25.72058824],0
b4,1,0.419076,0.652906,[20 10] ; [62 44],[18.08823529 11.91176471] ; [63.91176471 42.08823529],0
a5,1,0.435878,0.607109,[21  9] ; [66 40],[19.19117647 10.80882353] ; [67.80882353 38.19117647],0
a6,1,0.473285,0.514296,[20 10] ; [63 43],[18.30882353 11.69117647] ; [64.69117647 41.30882353],0
