Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.4e-05,18.911836,[34 27] ; [ 1 23],[25.11764706 35.88235294] ; [ 9.88235294 14.11764706],1
d5,1,7.5e-05,15.690231,[46 15] ; [ 7 17],[38.03529412 22.96470588] ; [14.96470588  9.03529412],1
d2,1,0.003752,8.4,[36 24] ; [ 6 18],[30. 30.] ; [12. 12.],0
d3,1,0.005492,7.709999,[33 28] ; [ 5 19],[27.27058824 33.72941176] ; [10.72941176 13.27058824],0
v2,1,0.010367,6.570707,[27 34] ; [ 3 19],[22.04819277 38.95180723] ; [ 7.95180723 14.04819277],0
n5,1,0.011441,6.39553,[29 32] ; [18  5],[34.13095238 26.86904762] ; [12.86904762 10.13095238],0
a7,1,0.019447,5.460822,[36 25] ; [ 7 16],[31.22619048 29.77380952] ; [11.77380952 11.22619048],0
s1,1,0.0577,3.602281,[ 6 55] ; [ 6 17],[ 8.71428571 52.28571429] ; [ 3.28571429 19.71428571],0
n6,1,0.074341,3.184468,[39 21] ; [10 13],[35.42168675 24.57831325] ; [13.57831325  9.42168675],0
a5,1,0.084216,2.981596,[38 23] ; [10 14],[34.44705882 26.55294118] ; [13.55294118 10.44705882],0
a3,1,0.089934,2.875552,[39 22] ; [10 13],[35.58333333 25.41666667] ; [13.41666667  9.58333333],0
a2,1,0.098401,2.731277,[11 50] ; [ 1 23],[ 8.61176471 52.38823529] ; [ 3.38823529 20.61176471],0
a4,1,0.11803,2.443269,[26 34] ; [ 6 18],[22.85714286 37.14285714] ; [ 9.14285714 14.85714286],0
u3,1,0.17146,1.87013,[ 9 13] ; [9 5],[11. 11.] ; [7. 7.],0
s5,1,0.194924,1.68,[12 48] ; [ 2 22],[10. 50.] ; [ 4. 20.],0
p10,1,0.194924,1.68,[12 48] ; [ 2 22],[10. 50.] ; [ 4. 20.],0
n4,1,0.19979,1.643906,[33 28] ; [16  7],[35.58333333 25.41666667] ; [13.41666667  9.58333333],0
r3,1,0.225842,1.466857,[43 18] ; [13 10],[40.66666667 20.33333333] ; [15.33333333  7.66666667],0
p8,1,0.228705,1.448895,[12 49] ; [ 2 21],[10.16666667 50.83333333] ; [ 3.83333333 19.16666667],0
p5,1,0.298545,1.080684,[ 2 59] ; [ 2 21],[ 2.9047619 58.0952381] ; [ 1.0952381 21.9047619],0
u1,1,0.298897,1.079107,[ 7 54] ; [ 1 23],[ 5.74117647 55.25882353] ; [ 2.25882353 21.74117647],0
u2,1,0.332216,0.940241,[11 10] ; [5 9],[ 9.6 11.4] ; [6.4 7.6],0
v3,1,0.3553,0.854439,[20 40] ; [ 5 17],[18.29268293 41.70731707] ; [ 6.70731707 15.29268293],0
n1,1,0.383057,0.76087,[ 8 15] ; [6 6],[ 9.2 13.8] ; [4.8 7.2],0
n3,1,0.458318,0.55,[ 9 13] ; [6 5],[10. 12.] ; [5. 6.],0
s6,1,0.479892,0.499109,[25 35] ; [ 8 16],[23.57142857 36.42857143] ; [ 9.42857143 14.57142857],0
r1,1,0.532738,0.389166,[39 22] ; [13 10],[37.76190476 23.23809524] ; [14.23809524  8.76190476],0
p7,1,0.536963,0.381198,[15 45] ; [ 7 15],[16.09756098 43.90243902] ; [ 5.90243902 16.09756098],0
r4,1,0.538043,0.379179,[35 26] ; [12 12],[33.72941176 27.27058824] ; [13.27058824 10.72941176],0
p11,1,0.545908,0.364699,[22 39] ; [ 7 17],[20.81176471 40.18823529] ; [ 8.18823529 15.81176471],0
v4,1,0.58556,0.297332,[41 20] ; [14  9],[39.94047619 21.05952381] ; [15.05952381  7.94047619],0
s3,1,0.608408,0.2625,[19 41] ; [ 9 15],[20. 40.] ; [ 8. 16.],0
s7,1,0.653859,0.201069,[13 44] ; [ 4 18],[12.26582278 44.73417722] ; [ 4.73417722 17.26582278],0
s4,1,0.671706,0.179613,[ 7 54] ; [ 2 22],[ 6.45882353 54.54117647] ; [ 2.54117647 21.45882353],0
a6,1,0.678942,0.171319,[31 30] ; [11 13],[30.14117647 30.85882353] ; [11.85882353 12.14117647],0
b4,1,0.683765,0.165919,[36 25] ; [13 11],[35.16470588 25.83529412] ; [13.83529412 10.16470588],0
p3,1,0.685443,0.164063,[15 45] ; [ 5 19],[14.28571429 45.71428571] ; [ 5.71428571 18.28571429],0
a1,1,0.719359,0.129107,[ 6 55] ; [ 3 21],[ 6.45882353 54.54117647] ; [ 2.54117647 21.45882353],0
r2,1,0.750703,0.100941,[48 11] ; [18  5],[47.48780488 11.51219512] ; [18.51219512  4.48780488],0
p4,1,0.775906,0.081031,[14 45] ; [ 5 19],[13.5060241 45.4939759] ; [ 5.4939759 18.5060241],0
a8,1,0.78041,0.077721,[ 4 54] ; [ 2 21],[ 4.2962963 53.7037037] ; [ 1.7037037 21.2962963],0
b5,1,0.781026,0.077274,[30 31] ; [11 13],[29.42352941 31.57647059] ; [11.57647059 12.42352941],0
n2,1,0.823181,0.049933,[12 12] ; [6 7],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
p6,1,0.856982,0.032478,[ 6 54] ; [ 2 21],[ 5.78313253 54.21686747] ; [ 2.21686747 20.78313253],0
b2,1,0.857327,0.03232,[14 23] ; [ 6 11],[13.7037037 23.2962963] ; [ 6.2962963 10.7037037],0
b3,1,0.857327,0.03232,[14 23] ; [ 6 11],[13.7037037 23.2962963] ; [ 6.2962963 10.7037037],0
v1,1,0.907255,0.013572,[16 45] ; [ 6 18],[15.78823529 45.21176471] ; [ 6.21176471 17.78823529],0
s8,1,0.918536,0.010461,[ 8 52] ; [ 3 21],[ 7.85714286 52.14285714] ; [ 3.14285714 20.85714286],0
b1,1,0.935984,0.006451,[35 26] ; [14 10],[35.16470588 25.83529412] ; [13.83529412 10.16470588],0
