Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,28.494352,[20  8] ; [15 70],[ 8.67256637 19.32743363] ; [26.32743363 58.67256637],1
s2,1,0.000829,11.17559,[18 11] ; [25 65],[10.4789916 18.5210084] ; [32.5210084 57.4789916],1
p10,1,0.001011,10.807453,[25  4] ; [45 42],[17.5 11.5] ; [52.5 34.5],0
p4,1,0.006337,7.451948,[18 11] ; [29 58],[11.75 17.25] ; [35.25 51.75],0
p9,1,0.009058,6.811411,[25  4] ; [52 35],[19.25  9.75] ; [57.75 29.25],0
n6,1,0.010444,6.557488,[26  3] ; [59 32],[20.54166667  8.45833333] ; [64.45833333 26.54166667],0
p8,1,0.018309,5.566324,[18 11] ; [33 56],[12.53389831 16.46610169] ; [38.46610169 50.53389831],0
s6,1,0.018765,5.523309,[19 10] ; [36 53],[13.51694915 15.48305085] ; [41.48305085 47.51694915],0
s3,1,0.024168,5.082563,[19 10] ; [36 51],[13.75 15.25] ; [41.25 45.75],0
p2,1,0.024906,5.030381,[24  5] ; [54 36],[19.00840336  9.99159664] ; [58.99159664 31.00840336],0
p7,1,0.034012,4.494107,[19  9] ; [39 48],[14.12173913 13.87826087] ; [43.87826087 43.12173913],0
s5,1,0.03422,4.483668,[11 17] ; [17 70],[ 6.8173913 21.1826087] ; [21.1826087 65.8173913],0
a3,1,0.085928,2.949053,[16 13] ; [33 56],[12.04237288 16.95762712] ; [36.95762712 52.04237288],0
p12,1,0.091221,2.8527,[ 5 24] ; [ 6 83],[ 2.70338983 26.29661017] ; [ 8.29661017 80.70338983],0
p3,1,0.092542,2.829583,[14 15] ; [28 62],[10.23529412 18.76470588] ; [31.76470588 58.23529412],0
a5,1,0.098853,2.72395,[16 13] ; [34 56],[12.18487395 16.81512605] ; [37.81512605 52.18487395],0
v4,1,0.100767,2.693354,[27  2] ; [72 18],[24.12605042  4.87394958] ; [74.87394958 15.12605042],0
p6,1,0.111652,2.530676,[12 17] ; [23 66],[ 8.60169492 20.39830508] ; [26.39830508 62.60169492],0
