Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.77908,[67 32] ; [ 3 20],[56.80327869 42.19672131] ; [13.19672131  9.80327869],1
r2,1,0.0001,15.145068,[84 12] ; [10 10],[77.79310345 18.20689655] ; [16.20689655  3.79310345],1
p2,1,0.000197,13.857159,[72 26] ; [ 7 15],[64.51666667 33.48333333] ; [14.48333333  7.51666667],1
r3,1,0.000474,12.215715,[86 13] ; [12 10],[80.18181818 18.81818182] ; [17.81818182  4.18181818],1
p10,1,0.003202,8.688458,[76 21] ; [11 12],[70.325 26.675] ; [16.675  6.325],0
a8,1,0.004544,8.052507,[ 6 90] ; [ 6 17],[ 9.68067227 86.31932773] ; [ 2.31932773 20.68067227],0
p8,1,0.005395,7.741938,[44 52] ; [ 3 19],[38.23728814 57.76271186] ; [ 8.76271186 13.23728814],0
n6,1,0.006076,7.52765,[81 18] ; [12 10],[76.09090909 22.90909091] ; [16.90909091  5.09090909],0
p11,1,0.00815,7.000194,[75 24] ; [11 12],[69.78688525 29.21311475] ; [16.21311475  6.78688525],0
s6,1,0.010334,6.576434,[60 37] ; [ 7 15],[54.61344538 42.38655462] ; [12.38655462  9.61344538],0
s5,1,0.022254,5.225815,[31 61] ; [ 2 20],[26.63157895 65.36842105] ; [ 6.36842105 15.63157895],0
n2,1,0.024778,5.039333,[30  7] ; [4 5],[27.34782609  9.65217391] ; [6.65217391 2.34782609],0
p9,1,0.025003,5.023694,[82 15] ; [14  8],[78.25210084 18.74789916] ; [17.74789916  4.25210084],0
s2,1,0.027678,4.848035,[51 48] ; [ 6 17],[46.25409836 52.74590164] ; [10.74590164 12.25409836],0
b1,1,0.048421,3.895321,[42 57] ; [15  8],[46.25409836 52.74590164] ; [10.74590164 12.25409836],0
s8,1,0.05629,3.643454,[38 61] ; [ 4 19],[34.08196721 64.91803279] ; [ 7.91803279 15.08196721],0
d4,1,0.14947,2.077655,[82 17] ; [16  7],[79.52459016 19.47540984] ; [18.47540984  4.52459016],0
s3,1,0.16066,1.968,[50 48] ; [ 8 15],[46.97520661 51.02479339] ; [11.02479339 11.97520661],0
b2,1,0.173109,1.855813,[25 32] ; [ 4 12],[22.64383562 34.35616438] ; [6.35616438 9.64383562],0
b3,1,0.173109,1.855813,[25 32] ; [ 4 12],[22.64383562 34.35616438] ; [6.35616438 9.64383562],0
v2,1,0.210234,1.569811,[43 53] ; [ 7 16],[40.33613445 55.66386555] ; [ 9.66386555 13.33613445],0
p1,1,0.24516,1.350674,[ 9 90] ; [ 4 19],[10.54918033 88.45081967] ; [ 2.45081967 20.54918033],0
b4,1,0.270466,1.214381,[52 47] ; [15  8],[54.36885246 44.63114754] ; [12.63114754 10.36885246],0
v1,1,0.271545,1.208926,[42 52] ; [ 7 15],[39.70689655 54.29310345] ; [ 9.29310345 12.70689655],0
p6,1,0.27841,1.174834,[33 62] ; [ 5 17],[30.85470085 64.14529915] ; [ 7.14529915 14.85470085],0
p4,1,0.292011,1.110328,[54 43] ; [10 13],[51.73333333 45.26666667] ; [12.26666667 10.73333333],0
a2,1,0.324761,0.969674,[17 82] ; [ 6 17],[18.66393443 80.33606557] ; [ 4.33606557 18.66393443],0
