Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000651,11.623932,[8 4] ; [ 60 200],[3. 9.] ; [ 65. 195.],1
s1,1,0.001252,10.411352,[ 3 10] ; [ 10 256],[ 0.60573477 12.39426523] ; [ 12.39426523 253.60573477],0
p8,1,0.007682,7.1061,[8 4] ; [ 80 186],[3.79856115 8.20143885] ; [ 84.20143885 181.79856115],0
s7,1,0.021129,5.316085,[9 3] ; [107 152],[5.13653137 6.86346863] ; [110.86346863 148.13653137],0
r3,1,0.029124,4.760276,[9 4] ; [239  29],[11.47330961  1.52669039] ; [236.52669039  31.47330961],0
v2,1,0.039476,4.240259,[ 3 10] ; [134 122],[6.62081784 6.37918216] ; [130.37918216 125.62081784],0
a5,1,0.073085,3.212329,[12  1] ; [187  84],[9.10915493 3.89084507] ; [189.89084507  81.10915493],0
p9,1,0.139547,2.182949,[11  1] ; [191  73],[8.7826087 3.2173913] ; [193.2173913  70.7826087],0
s6,1,0.140933,2.167739,[9 3] ; [143 125],[6.51428571 5.48571429] ; [145.48571429 122.51428571],0
b4,1,0.159064,1.983099,[10  3] ; [155 116],[7.5528169 5.4471831] ; [157.4471831 113.5528169],0
p3,1,0.222783,1.486351,[5 8] ; [ 64 207],[3.1584507 9.8415493] ; [ 65.8415493 205.1584507],0
n6,1,0.249748,1.324712,[12  1] ; [213  56],[10.37234043  2.62765957] ; [214.62765957  54.37234043],0
v1,1,0.281588,1.15941,[7 5] ; [112 151],[5.19272727 6.80727273] ; [113.80727273 149.19272727],0
p11,1,0.282878,1.153209,[11  2] ; [192  79],[9.29225352 3.70774648] ; [193.70774648  77.29225352],0
p10,1,0.284249,1.146662,[10  2] ; [185  84],[8.32740214 3.67259786] ; [186.67259786  82.32740214],0
r4,1,0.286836,1.134414,[9 4] ; [220  51],[10.48239437  2.51760563] ; [218.51760563  52.48239437],0
u2,1,0.317128,1.000755,[1 3] ; [40 39],[1.97590361 2.02409639] ; [39.02409639 39.97590361],0
a7,1,0.343816,0.896151,[10  3] ; [173  97],[8.40636042 4.59363958] ; [174.59363958  95.40636042],0
n5,1,0.351454,0.868202,[9 4] ; [215  54],[10.32624113  2.67375887] ; [213.67375887  55.32624113],0
u3,1,0.416776,0.65939,[1 3] ; [37 44],[1.78823529 2.21176471] ; [36.21176471 44.78823529],0
s2,1,0.436783,0.60472,[4 9] ; [112 157],[5.34751773 7.65248227] ; [110.65248227 158.34751773],0
s3,1,0.449649,0.571536,[5 7] ; [141 126],[6.27956989 5.72043011] ; [139.72043011 127.27956989],0
b1,1,0.464689,0.534577,[4 9] ; [111 160],[5.26408451 7.73591549] ; [109.73591549 161.26408451],0
p6,1,0.51338,0.427172,[3 9] ; [ 47 220],[2.15053763 9.84946237] ; [ 47.84946237 219.15053763],0
n1,1,0.542177,0.371519,[3 2] ; [34 40],[2.34177215 2.65822785] ; [34.65822785 39.34177215],0
n3,1,0.602056,0.271906,[4 1] ; [51 23],[3.48101266 1.51898734] ; [51.51898734 22.48101266],0
p7,1,0.613719,0.254795,[6 5] ; [124 141],[5.18115942 5.81884058] ; [124.81884058 140.18115942],0
v4,1,0.62074,0.244829,[12  1] ; [236  33],[11.43262411  1.56737589] ; [236.56737589  32.43262411],0
a2,1,0.62386,0.240479,[ 2 11] ; [ 57 214],[ 2.70070423 10.29929577] ; [ 56.29929577 214.70070423],0
a4,1,0.662965,0.189942,[5 8] ; [120 149],[5.76241135 7.23758865] ; [119.23758865 149.76241135],0
v3,1,0.674658,0.176201,[4 9] ; [ 96 167],[4.71014493 8.28985507] ; [ 95.28985507 167.71014493],0
s8,1,0.678377,0.171959,[5 7] ; [ 97 174],[4.32508834 7.67491166] ; [ 97.67491166 173.32508834],0
