Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,50.181707,[17 32] ; [137  23],[36.10526316 12.89473684] ; [117.89473684  42.10526316],1
p2,1,4e-06,21.445141,[25 25] ; [129  27],[37.37864078 12.62135922] ; [116.62135922  39.37864078],1
p10,1,2e-05,18.190616,[26 23] ; [131  27],[37.16425121 11.83574879] ; [119.83574879  38.16425121],1
n6,1,3.2e-05,17.315906,[30 20] ; [138  21],[40.19138756  9.80861244] ; [127.80861244  31.19138756],1
p9,1,5e-05,16.452923,[29 19] ; [138  21],[38.72463768  9.27536232] ; [128.27536232  30.72463768],1
s7,1,0.000209,13.746033,[13 33] ; [92 63],[24.02985075 21.97014925] ; [80.97014925 74.02985075],1
s8,1,0.00038,12.629452,[12 37] ; [86 75],[22.86666667 26.13333333] ; [75.13333333 85.86666667],1
p11,1,0.000425,12.420306,[28 22] ; [130  31],[37.44075829 12.55924171] ; [120.55924171  40.44075829],1
d5,1,0.000796,11.249856,[34 16] ; [142  19],[41.70616114  8.29383886] ; [134.29383886  26.70616114],1
d1,1,0.001983,9.565109,[21 29] ; [107  54],[30.33175355 19.66824645] ; [97.66824645 63.33175355],0
v3,1,0.002565,9.093552,[10 37] ; [72 85],[18.89215686 28.10784314] ; [63.10784314 93.89215686],0
v2,1,0.006294,7.464079,[17 32] ; [89 67],[25.33658537 23.66341463] ; [80.66341463 75.33658537],0
a3,1,0.008239,6.980676,[31 18] ; [131  30],[37.8 11.2] ; [124.2  36.8],0
s4,1,0.017277,5.668016,[15 35] ; [ 24 136],[ 9.28571429 40.71428571] ; [ 29.71428571 130.28571429],0
r3,1,0.018528,5.545524,[41  9] ; [150  11],[45.26066351  4.73933649] ; [145.73933649  15.26066351],0
a5,1,0.021356,5.297518,[31 19] ; [126  35],[37.20379147 12.79620853] ; [119.79620853  41.20379147],0
b3,1,0.03415,4.487179,[ 8 20] ; [57 55],[13. 15.] ; [52. 60.],0
b2,1,0.03415,4.487179,[ 8 20] ; [57 55],[13. 15.] ; [52. 60.],0
r1,1,0.035648,4.413869,[31 19] ; [124  37],[36.72985782 13.27014218] ; [118.27014218  42.72985782],0
s6,1,0.036753,4.361842,[24 24] ; [104  52],[30.11764706 17.88235294] ; [97.88235294 58.11764706],0
d2,1,0.041095,4.172113,[21 29] ; [93 66],[27.27272727 22.72727273] ; [86.72727273 72.27272727],0
p6,1,0.050342,3.830028,[11 37] ; [59 95],[16.63366337 31.36633663] ; [ 53.36633663 100.63366337],0
s3,1,0.050392,3.828372,[22 28] ; [95 64],[27.99043062 22.00956938] ; [89.00956938 69.99043062],0
p3,1,0.051517,3.791392,[19 31] ; [85 73],[25. 25.] ; [79. 79.],0
p8,1,0.065291,3.397603,[18 32] ; [79 76],[23.65853659 26.34146341] ; [73.34146341 81.65853659],0
a8,1,0.067499,3.342821,[ 1 48] ; [ 16 139],[ 4.08333333 44.91666667] ; [ 12.91666667 142.08333333],0
s2,1,0.072702,3.220941,[19 30] ; [86 75],[24.5 24.5] ; [80.5 80.5],0
p4,1,0.076128,3.145685,[21 28] ; [90 67],[26.40291262 22.59708738] ; [84.59708738 72.40291262],0
r4,1,0.079593,3.073199,[36 14] ; [134  27],[40.28436019  9.71563981] ; [129.71563981  31.28436019],0
b5,1,0.120953,2.404934,[28 22] ; [70 91],[23.22274882 26.77725118] ; [74.77725118 86.22274882],0
n2,1,0.145521,2.118589,[18  4] ; [23 13],[15.55172414  6.44827586] ; [25.44827586 10.55172414],0
a1,1,0.176799,1.824332,[ 6 44] ; [ 10 151],[ 3.79146919 46.20853081] ; [ 12.20853081 148.79146919],0
p1,1,0.180991,1.789465,[ 6 44] ; [ 10 150],[ 3.80952381 46.19047619] ; [ 12.19047619 147.80952381],0
v1,1,0.202162,1.626686,[23 26] ; [90 67],[26.87864078 22.12135922] ; [86.12135922 70.87864078],0
r2,1,0.206563,1.59535,[42  8] ; [142  15],[44.44444444  5.55555556] ; [139.55555556  17.44444444],0
v4,1,0.207299,1.590192,[41  9] ; [143  18],[43.60189573  6.39810427] ; [140.39810427  20.60189573],0
p12,1,0.236398,1.401947,[ 1 48] ; [ 10 146],[ 2.62926829 46.37073171] ; [  8.37073171 147.62926829],0
n3,1,0.285206,1.142115,[11 10] ; [24 12],[12.89473684  8.10526316] ; [22.10526316 13.89473684],0
b4,1,0.295485,1.09446,[30 20] ; [83 78],[26.77725118 23.22274882] ; [86.22274882 74.77725118],0
u3,1,0.320472,0.98702,[11  8] ; [13 17],[9.30612245 9.69387755] ; [14.69387755 15.30612245],0
p7,1,0.3521,0.865874,[28 21] ; [100  55],[30.74509804 18.25490196] ; [97.25490196 57.74509804],0
s1,1,0.353935,0.859298,[ 3 47] ; [  5 155],[ 1.9047619 48.0952381] ; [  6.0952381 153.9047619],0
a4,1,0.413382,0.669052,[22 28] ; [81 79],[24.52380952 25.47619048] ; [78.47619048 81.52380952],0
a2,1,0.5407,0.374244,[ 3 47] ; [ 14 147],[ 4.02843602 45.97156398] ; [ 12.97156398 148.02843602],0
n1,1,0.544317,0.367598,[ 8 14] ; [16 20],[ 9.10344828 12.89655172] ; [14.89655172 21.10344828],0
b1,1,0.648462,0.207844,[23 27] ; [80 81],[24.40758294 25.59241706] ; [78.59241706 82.40758294],0
s5,1,0.673371,0.177684,[20 26] ; [62 93],[18.76616915 27.23383085] ; [63.23383085 91.76616915],0
u2,1,0.674785,0.176056,[11  8] ; [15 14],[10.29166667  8.70833333] ; [15.70833333 13.29166667],0
d3,1,0.834663,0.043566,[26 24] ; [81 80],[25.35545024 24.64454976] ; [81.64454976 79.35545024],0
a6,1,0.862448,0.030019,[19 31] ; [ 59 102],[18.48341232 31.51658768] ; [ 59.51658768 101.48341232],0
