Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.2e-05,19.125,[25  9] ; [ 7 27],[16. 18.] ; [16. 18.],1
p3,1,0.01355,6.095857,[25  9] ; [16 20],[19.91428571 14.08571429] ; [21.08571429 14.91428571],0
s4,1,0.018959,5.505322,[ 7 27] ; [17 19],[11.65714286 22.34285714] ; [12.34285714 23.65714286],0
v3,1,0.025707,4.97561,[18 16] ; [ 9 25],[13.5 20.5] ; [13.5 20.5],0
d5,1,0.040564,4.194144,[29  5] ; [23 13],[25.25714286  8.74285714] ; [26.74285714  9.25714286],0
d3,1,0.050787,3.815285,[23 11] ; [16 20],[18.94285714 15.05714286] ; [20.05714286 15.94285714],0
d4,1,0.069297,3.299602,[29  5] ; [24 12],[25.74285714  8.25714286] ; [27.25714286  8.74285714],0
n3,1,0.111666,2.530481,[6 5] ; [14  3],[7.85714286 3.14285714] ; [12.14285714  4.85714286],0
u1,1,0.144515,2.129211,[ 4 30] ; [ 1 35],[ 2.42857143 31.57142857] ; [ 2.57142857 33.42857143],0
s6,1,0.198077,1.656499,[25  6] ; [24 12],[22.67164179  8.32835821] ; [26.32835821  9.67164179],0
b5,1,0.214006,1.544118,[22 12] ; [18 18],[19.42857143 14.57142857] ; [20.57142857 15.42857143],0
p1,1,0.327178,0.960034,[ 3 31] ; [ 6 30],[ 4.37142857 29.62857143] ; [ 4.62857143 31.37142857],0
a1,1,0.331347,0.943627,[ 1 33] ; [ 3 33],[ 1.94285714 32.05714286] ; [ 2.05714286 33.94285714],0
d1,1,0.349597,0.87492,[17 17] ; [14 22],[15.05714286 18.94285714] ; [15.94285714 20.05714286],0
b1,1,0.354219,0.858286,[15 19] ; [12 24],[13.11428571 20.88571429] ; [13.88571429 22.11428571],0
v4,1,0.376873,0.780877,[28  5] ; [33  3],[29.17391304  3.82608696] ; [31.82608696  4.17391304],0
p5,1,0.402282,0.701494,[ 5 29] ; [ 3 33],[ 3.88571429 30.11428571] ; [ 4.11428571 31.88571429],0
p2,1,0.418956,0.653242,[29  5] ; [28  8],[27.68571429  6.31428571] ; [29.31428571  6.68571429],0
a2,1,0.43478,0.610022,[ 6 28] ; [ 4 32],[ 4.85714286 29.14285714] ; [ 5.14285714 30.85714286],0
a6,1,0.447624,0.576661,[21 13] ; [19 17],[19.42857143 14.57142857] ; [20.57142857 15.42857143],0
