Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,30.18562,[69 10] ; [11 20],[57.45454545 21.54545455] ; [22.54545455  8.45454545],1
p8,1,7.1e-05,15.795603,[56 24] ; [ 8 21],[46.97247706 33.02752294] ; [17.02752294 11.97247706],1
p9,1,0.000666,11.582691,[69 12] ; [17 14],[62.19642857 18.80357143] ; [23.80357143  7.19642857],1
p2,1,0.001039,10.755902,[70  9] ; [19 12],[63.91818182 15.08181818] ; [25.08181818  5.91818182],0
s8,1,0.001275,10.378361,[37 44] ; [ 4 27],[29.65178571 51.34821429] ; [11.34821429 19.65178571],0
n5,1,0.003835,8.360442,[60 21] ; [14 17],[53.51785714 27.48214286] ; [20.48214286 10.51785714],0
s6,1,0.006274,7.469971,[53 26] ; [11 18],[46.81481481 32.18518519] ; [17.18518519 11.81481481],0
s7,1,0.017027,5.693539,[37 39] ; [ 7 23],[31.54716981 44.45283019] ; [12.45283019 17.54716981],0
n4,1,0.021021,5.325016,[58 23] ; [15 16],[52.79464286 28.20535714] ; [20.20535714 10.79464286],0
v1,1,0.027973,4.829749,[40 40] ; [ 8 22],[34.90909091 45.09090909] ; [13.09090909 16.90909091],0
p4,1,0.032901,4.550931,[55 25] ; [14 16],[50.18181818 29.81818182] ; [18.81818182 11.18181818],0
d5,1,0.036747,4.362105,[60 21] ; [16 14],[55.45945946 25.54054054] ; [20.54054054  9.45945946],0
b4,1,0.03834,4.289888,[49 32] ; [12 19],[44.11607143 36.88392857] ; [16.88392857 14.11607143],0
v4,1,0.048935,3.877571,[73  7] ; [24  7],[69.90990991 10.09009009] ; [27.09009009  3.90990991],0
p5,1,0.056222,3.645471,[14 67] ; [ 1 29],[10.94594595 70.05405405] ; [ 4.05405405 25.94594595],0
n6,1,0.061816,3.48799,[65 15] ; [20 11],[61.26126126 18.73873874] ; [23.73873874  7.26126126],0
p6,1,0.090217,2.870491,[37 40] ; [ 9 21],[33.10280374 43.89719626] ; [12.89719626 17.10280374],0
v2,1,0.135325,2.230332,[41 39] ; [11 20],[37.47747748 42.52252252] ; [14.52252252 16.47747748],0
n3,1,0.137916,2.201064,[19  9] ; [10  1],[20.82051282  7.17948718] ; [8.17948718 2.82051282],0
b5,1,0.169277,1.889338,[46 35] ; [22  9],[49.17857143 31.82142857] ; [18.82142857 12.17857143],0
a7,1,0.19159,1.70535,[49 32] ; [14 16],[45.97297297 35.02702703] ; [17.02702703 12.97297297],0
d4,1,0.215407,1.534706,[57 24] ; [18 13],[54.24107143 26.75892857] ; [20.75892857 10.24107143],0
b1,1,0.221317,1.49581,[34 47] ; [17 14],[36.88392857 44.11607143] ; [14.11607143 16.88392857],0
a1,1,0.246697,1.341913,[ 8 73] ; [ 1 30],[ 6.50892857 74.49107143] ; [ 2.49107143 28.50892857],0
d1,1,0.25215,1.31135,[33 48] ; [ 9 22],[30.375 50.625] ; [11.625 19.375],0
v3,1,0.257926,1.279854,[28 53] ; [ 7 23],[25.54054054 55.45945946] ; [ 9.45945946 20.54054054],0
r3,1,0.342913,0.899509,[71 10] ; [25  6],[69.42857143 11.57142857] ; [26.57142857  4.42857143],0
d2,1,0.357269,0.847471,[24 57] ; [12 19],[26.03571429 54.96428571] ; [ 9.96428571 21.03571429],0
r4,1,0.468966,0.524412,[53 28] ; [18 13],[51.34821429 29.65178571] ; [19.65178571 11.34821429],0
u2,1,0.483758,0.490381,[19 14] ; [6 7],[17.93478261 15.06521739] ; [7.06521739 5.93478261],0
p3,1,0.4959,0.463699,[47 33] ; [16 15],[45.40540541 34.59459459] ; [17.59459459 13.40540541],0
a5,1,0.496136,0.463193,[45 36] ; [15 16],[43.39285714 37.60714286] ; [16.60714286 14.39285714],0
s1,1,0.535448,0.384041,[ 5 76] ; [ 1 30],[ 4.33928571 76.66071429] ; [ 1.66071429 29.33928571],0
d3,1,0.557147,0.344667,[47 34] ; [15 14],[45.65454545 35.34545455] ; [16.34545455 12.65454545],0
b3,1,0.600395,0.2744,[17 43] ; [ 3 11],[16.21621622 43.78378378] ; [ 3.78378378 10.21621622],0
b2,1,0.600395,0.2744,[17 43] ; [ 3 11],[16.21621622 43.78378378] ; [ 3.78378378 10.21621622],0
a4,1,0.620568,0.24507,[22 59] ; [ 7 24],[20.97321429 60.02678571] ; [ 8.02678571 22.97321429],0
n1,1,0.630202,0.231786,[10 17] ; [5 6],[10.65789474 16.34210526] ; [4.34210526 6.65789474],0
p1,1,0.702823,0.145552,[ 7 74] ; [ 2 29],[ 6.50892857 74.49107143] ; [ 2.49107143 28.50892857],0
s2,1,0.721421,0.127135,[37 44] ; [13 18],[36.16071429 44.83928571] ; [13.83928571 17.16071429],0
a8,1,0.74846,0.10283,[ 6 71] ; [ 3 28],[ 6.41666667 70.58333333] ; [ 2.58333333 28.41666667],0
a6,1,0.753291,0.098786,[47 34] ; [19 12],[47.73214286 33.26785714] ; [18.26785714 12.73214286],0
a3,1,0.805494,0.060635,[48 33] ; [17 13],[47.43243243 33.56756757] ; [17.56756757 12.43243243],0
u3,1,0.812405,0.056323,[13 20] ; [5 9],[12.63829787 20.36170213] ; [5.36170213 8.63829787],0
u1,1,0.824389,0.049241,[ 2 79] ; [ 1 30],[ 2.16964286 78.83035714] ; [ 0.83035714 30.16964286],0
a2,1,0.826275,0.048172,[ 9 72] ; [ 3 28],[ 8.67857143 72.32142857] ; [ 3.32142857 27.67857143],0
s4,1,0.854153,0.033791,[17 64] ; [ 7 24],[17.35714286 63.64285714] ; [ 6.64285714 24.35714286],0
s5,1,0.873582,0.025316,[20 58] ; [ 7 22],[19.68224299 58.31775701] ; [ 7.31775701 21.68224299],0
s3,1,0.907023,0.013641,[41 39] ; [15 15],[40.72727273 39.27272727] ; [15.27272727 14.72727273],0
r2,1,0.927913,0.008185,[63 15] ; [24  6],[62.83333333 15.16666667] ; [24.16666667  5.83333333],0
n2,1,0.935359,0.006578,[20  8] ; [8 3],[20.1025641  7.8974359] ; [7.8974359 3.1025641],0
