Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,21.941546,[25 17] ; [ 5 39],[14.65116279 27.34883721] ; [15.34883721 28.65116279],1
p6,1,6.4e-05,15.976144,[15 26] ; [ 1 42],[ 7.80952381 33.19047619] ; [ 8.19047619 34.80952381],1
p3,1,0.000101,15.122106,[18 24] ; [ 3 41],[10.25581395 31.74418605] ; [10.74418605 33.25581395],1
p2,1,0.000255,13.374211,[35  7] ; [20 24],[26.86046512 15.13953488] ; [28.13953488 15.86046512],1
s3,1,0.000488,12.162001,[21 19] ; [ 7 36],[13.4939759 26.5060241] ; [14.5060241 28.4939759],1
p8,1,0.000538,11.979215,[21 20] ; [ 7 37],[13.50588235 27.49411765] ; [14.49411765 29.50588235],1
s6,1,0.001001,10.825084,[23 19] ; [ 9 35],[15.62790698 26.37209302] ; [16.37209302 27.62790698],0
s2,1,0.001981,9.566617,[17 25] ; [ 5 39],[10.74418605 31.25581395] ; [11.25581395 32.74418605],0
b3,1,0.005267,7.785382,[ 5 22] ; [13 10],[ 9.72 17.28] ; [ 8.28 14.72],0
b2,1,0.005267,7.785382,[ 5 22] ; [13 10],[ 9.72 17.28] ; [ 8.28 14.72],0
p11,1,0.009634,6.701299,[27 15] ; [16 28],[21. 21.] ; [22. 22.],0
b4,1,0.018095,5.586945,[17 25] ; [29 15],[22.46511628 19.53488372] ; [23.53488372 20.46511628],0
u2,1,0.025817,4.968235,[12  7] ; [ 7 17],[ 8.39534884 10.60465116] ; [10.60465116 13.39534884],0
v2,1,0.027652,4.849608,[16 26] ; [ 7 35],[11.5 30.5] ; [11.5 30.5],0
r3,1,0.028625,4.790037,[26 15] ; [17 26],[20.98809524 20.01190476] ; [22.01190476 20.98809524],0
s8,1,0.03672,4.36336,[11 31] ; [ 4 40],[ 7.3255814 34.6744186] ; [ 7.6744186 36.3255814],0
a1,1,0.091392,2.84969,[ 2 40] ; [ 7 37],[ 4.39534884 37.60465116] ; [ 4.60465116 39.39534884],0
p1,1,0.102153,2.6716,[ 1 41] ; [ 5 39],[ 2.93023256 39.06976744] ; [ 3.06976744 40.93023256],0
n3,1,0.104607,2.633857,[13  6] ; [ 9 12],[10.45  8.55] ; [11.55  9.45],0
v1,1,0.122717,2.382303,[17 24] ; [11 32],[13.66666667 27.33333333] ; [14.33333333 28.66666667],0
s7,1,0.13189,2.270118,[14 25] ; [ 9 34],[10.93902439 28.06097561] ; [12.06097561 30.93902439],0
p10,1,0.183959,1.765348,[25 16] ; [20 23],[21.96428571 19.03571429] ; [23.03571429 19.96428571],0
b5,1,0.191624,1.705088,[25 17] ; [20 24],[21.97674419 20.02325581] ; [23.02325581 20.97674419],0
s4,1,0.225572,1.468568,[10 32] ; [ 6 38],[ 7.81395349 34.18604651] ; [ 8.18604651 35.81395349],0
d3,1,0.242541,1.365764,[14 27] ; [10 34],[11.57647059 29.42352941] ; [12.42352941 31.57647059],0
n5,1,0.250591,1.320004,[24 17] ; [31 13],[26.52941176 14.47058824] ; [28.47058824 15.52941176],0
s5,1,0.253868,1.301891,[ 7 33] ; [ 4 40],[ 5.23809524 34.76190476] ; [ 5.76190476 38.23809524],0
p9,1,0.268481,1.22449,[27 15] ; [22 20],[24.5 17.5] ; [24.5 17.5],0
p5,1,0.272472,1.20426,[ 3 38] ; [ 1 43],[ 1.92941176 39.07058824] ; [ 2.07058824 41.92941176],0
n2,1,0.273381,1.199703,[14  5] ; [12  9],[12.35  6.65] ; [13.65  7.35],0
v4,1,0.27605,1.186434,[25 14] ; [23 21],[22.55421687 16.44578313] ; [25.44578313 18.55421687],0
