Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.279769,1.168214,[ 15 136] ; [ 2 41],[ 13.23195876 137.76804124] ; [ 3.76804124 39.23195876],0
u2,1,0.285935,1.138664,[19  7] ; [11  8],[17.33333333  8.66666667] ; [12.66666667  6.33333333],0
p1,1,0.314845,1.010241,[ 23 127] ; [ 4 39],[ 20.98445596 129.01554404] ; [ 6.01554404 36.98445596],0
d5,1,0.358382,0.843555,[126  23] ; [33  9],[124.03664921  24.96335079] ; [34.96335079  7.03664921],0
b5,1,0.392669,0.73066,[91 60] ; [29 14],[93.40206186 57.59793814] ; [26.59793814 16.40206186],0
u4,1,0.413599,0.668431,[  8 143] ; [ 1 42],[  7.00515464 143.99484536] ; [ 1.99484536 41.00515464],0
a8,1,0.415936,0.661768,[ 24 116] ; [ 5 37],[ 22.30769231 117.69230769] ; [ 6.69230769 35.30769231],0
b3,1,0.438237,0.600894,[52 52] ; [ 9 13],[50.34920635 53.65079365] ; [10.65079365 11.34920635],0
b2,1,0.438237,0.600894,[52 52] ; [ 9 13],[50.34920635 53.65079365] ; [10.65079365 11.34920635],0
n2,1,0.496629,0.462132,[24  5] ; [5 2],[23.36111111  5.63888889] ; [5.63888889 1.36111111],0
v4,1,0.503455,0.447645,[147   4] ; [41  2],[146.32989691   4.67010309] ; [41.67010309  1.32989691],0
r1,1,0.505683,0.44299,[126  25] ; [34  9],[124.53608247  26.46391753] ; [35.46391753  7.53608247],0
p4,1,0.57227,0.318899,[121  29] ; [33 10],[119.68911917  30.31088083] ; [34.31088083  8.68911917],0
s1,1,0.635902,0.224142,[ 10 141] ; [ 2 41],[  9.34020619 141.65979381] ; [ 2.65979381 40.34020619],0
p12,1,0.681108,0.168881,[ 25 126] ; [ 6 37],[ 24.12886598 126.87113402] ; [ 6.87113402 36.12886598],0
a6,1,0.715052,0.133283,[96 53] ; [29 14],[97.00520833 51.99479167] ; [27.99479167 15.00520833],0
p2,1,0.720936,0.127598,[133  18] ; [37  6],[132.31958763  18.68041237] ; [37.68041237  5.31958763],0
p7,1,0.762028,0.091699,[124  24] ; [36  6],[124.63157895  23.36842105] ; [35.36842105  6.63157895],0
b1,1,0.769741,0.085681,[67 84] ; [18 25],[66.15979381 84.84020619] ; [18.84020619 24.15979381],0
r4,1,0.833544,0.044167,[139  12] ; [40  3],[139.32474227  11.67525773] ; [39.67525773  3.32474227],0
d3,1,0.840244,0.040635,[113  37] ; [31 11],[112.5  37.5] ; [31.5 10.5],0
p8,1,0.858352,0.031852,[104  47] ; [29 14],[103.52061856  47.47938144] ; [29.47938144 13.52061856],0
d4,1,0.935822,0.006484,[131  18] ; [38  5],[131.15104167  17.84895833] ; [37.84895833  5.15104167],0
p10,1,0.958235,0.002742,[133  18] ; [38  5],[133.09793814  17.90206186] ; [37.90206186  5.09793814],0
v2,1,0.963134,0.002136,[90 59] ; [24 16],[89.87301587 59.12698413] ; [24.12698413 15.87301587],0
b4,1,0.985745,0.000319,[81 70] ; [23 20],[80.94845361 70.05154639] ; [23.05154639 19.94845361],0
r3,1,0.99662,1.8e-05,[144   7] ; [41  2],[143.99484536   7.00515464] ; [41.00515464  1.99484536],0
