Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,22.598496,[32 10] ; [ 8 28],[21.53846154 20.46153846] ; [18.46153846 17.53846154],1
d3,1,2e-05,18.167702,[34  8] ; [12 24],[24.76923077 17.23076923] ; [21.23076923 14.76923077],1
a4,1,4.2e-05,16.771221,[30 14] ; [ 8 28],[20.9 23.1] ; [17.1 18.9],1
a5,1,0.000172,14.119376,[38  6] ; [17 19],[30.25 13.75] ; [24.75 11.25],1
a2,1,0.000931,10.960891,[14 30] ; [ 1 35],[ 8.25 35.75] ; [ 6.75 29.25],1
p9,1,0.004205,8.192991,[37  6] ; [20 15],[31.42307692 11.57692308] ; [25.57692308  9.42307692],0
s7,1,0.01876,5.523759,[29 11] ; [15 18],[24.10958904 15.89041096] ; [19.89041096 13.10958904],0
a3,1,0.021277,5.303949,[35  9] ; [20 16],[30.25 13.75] ; [24.75 11.25],0
n4,1,0.038159,4.297924,[33 11] ; [19 17],[28.6 15.4] ; [23.4 12.6],0
r2,1,0.049713,3.851124,[43  1] ; [31  5],[40.7  3.3] ; [33.3  2.7],0
a6,1,0.079019,3.084955,[27 15] ; [16 20],[23.15384615 18.84615385] ; [19.84615385 16.15384615],0
p10,1,0.079724,3.070521,[33 10] ; [21 15],[29.39240506 13.60759494] ; [24.60759494 11.39240506],0
a8,1,0.084055,2.984694,[ 2 40] ; [ 6 30],[ 4.30769231 37.69230769] ; [ 3.69230769 32.30769231],0
u3,1,0.093102,2.819904,[8 1] ; [9 7],[6.12 2.88] ; [10.88  5.12],0
a7,1,0.098648,2.727273,[30 14] ; [18 18],[26.4 17.6] ; [21.6 14.4],0
p4,1,0.099249,2.717573,[21 22] ; [11 25],[17.41772152 25.58227848] ; [14.58227848 21.41772152],0
v4,1,0.141194,2.164898,[42  2] ; [31  5],[40.15  3.85] ; [32.85  3.15],0
b4,1,0.150431,2.067874,[29 15] ; [18 18],[25.85 18.15] ; [21.15 14.85],0
s8,1,0.15526,2.019801,[26 17] ; [16 20],[22.86075949 20.13924051] ; [19.13924051 16.86075949],0
p7,1,0.240719,1.376379,[16 26] ; [18 17],[18.54545455 23.45454545] ; [15.45454545 19.54545455],0
p1,1,0.294291,1.099888,[ 3 41] ; [ 5 31],[ 4.4 39.6] ; [ 3.6 32.4],0
p3,1,0.299176,1.077865,[18 25] ; [11 25],[15.78481013 27.21518987] ; [13.21518987 22.78481013],0
b2,1,0.310576,1.028226,[12 19] ; [ 5 15],[10.33333333 20.66666667] ; [ 6.66666667 13.33333333],0
b3,1,0.310576,1.028226,[12 19] ; [ 5 15],[10.33333333 20.66666667] ; [ 6.66666667 13.33333333],0
n6,1,0.319646,0.990394,[33 10] ; [24 12],[31.02531646 11.97468354] ; [25.97468354 10.02531646],0
s1,1,0.326883,0.961207,[ 4 39] ; [ 6 30],[ 5.44303797 37.55696203] ; [ 4.55696203 31.44303797],0
v2,1,0.333474,0.935359,[25 15] ; [18 17],[22.93333333 17.06666667] ; [20.06666667 14.93333333],0
p6,1,0.341435,0.905034,[15 28] ; [ 9 27],[13.06329114 29.93670886] ; [10.93670886 25.06329114],0
n2,1,0.359809,0.838561,[14  5] ; [8 1],[14.92857143  4.07142857] ; [7.07142857 1.92857143],0
n5,1,0.361975,0.831028,[30 14] ; [21 15],[28.05 15.95] ; [22.95 13.05],0
b1,1,0.39252,0.731121,[19 25] ; [19 17],[20.9 23.1] ; [17.1 18.9],0
p8,1,0.428543,0.626768,[10 34] ; [11 25],[11.55 32.45] ; [ 9.45 26.55],0
s3,1,0.475677,0.508759,[35  9] ; [30  5],[36.20253165  7.79746835] ; [28.79746835  6.20253165],0
r3,1,0.486234,0.484848,[42  2] ; [33  3],[41.25  2.75] ; [33.75  2.25],0
s6,1,0.512116,0.429741,[37  6] ; [29  7],[35.92405063  7.07594937] ; [30.07594937  5.92405063],0
a1,1,0.550333,0.35672,[ 4 40] ; [ 2 34],[ 3.3 40.7] ; [ 2.7 33.3],0
v1,1,0.569821,0.322981,[26 16] ; [20 16],[24.76923077 17.23076923] ; [21.23076923 14.76923077],0
b5,1,0.584683,0.298724,[28 16] ; [25 11],[29.15 14.85] ; [23.85 12.15],0
u2,1,0.609834,0.260417,[6 3] ; [9 7],[5.4 3.6] ; [9.6 6.4],0
n1,1,0.63749,0.222039,[ 9 10] ; [3 5],[ 8.44444444 10.55555556] ; [3.55555556 4.44444444],0
p11,1,0.656958,0.197239,[29 15] ; [22 14],[28.05 15.95] ; [22.95 13.05],0
p5,1,0.778766,0.07892,[ 3 38] ; [ 2 33],[ 2.69736842 38.30263158] ; [ 2.30263158 32.69736842],0
p12,1,0.880023,0.022783,[ 4 39] ; [ 3 33],[ 3.81012658 39.18987342] ; [ 3.18987342 32.81012658],0
v3,1,0.885358,0.020788,[15 22] ; [14 22],[14.69863014 22.30136986] ; [14.30136986 21.69863014],0
s5,1,0.92118,0.009791,[16 24] ; [14 22],[15.78947368 24.21052632] ; [14.21052632 21.78947368],0
n3,1,0.926036,0.008618,[13  6] ; [6 3],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
s4,1,0.959859,0.002533,[12 32] ; [10 26],[12.1 31.9] ; [ 9.9 26.1],0
r4,1,0.97397,0.001065,[38  6] ; [31  5],[37.95  6.05] ; [31.05  4.95],0
r1,1,1.0,0.0,[33 11] ; [27  9],[33. 11.] ; [27.  9.],0
