Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4.4e-05,16.669449,[27 19] ; [ 6 33],[17.85882353 28.14117647] ; [15.14117647 23.85882353],1
p7,1,0.000144,14.453281,[37 10] ; [15 24],[28.41860465 18.58139535] ; [23.58139535 15.41860465],1
p4,1,0.00095,10.922004,[36 13] ; [15 24],[28.39772727 20.60227273] ; [22.60227273 16.39772727],1
p11,1,0.002168,9.401709,[42  7] ; [22 17],[35.63636364 13.36363636] ; [28.36363636 10.63636364],0
p5,1,0.003042,8.782287,[13 36] ; [ 1 36],[ 7.97674419 41.02325581] ; [ 6.02325581 30.97674419],0
p2,1,0.006309,7.459969,[45  4] ; [27 12],[40.09090909  8.90909091] ; [31.90909091  7.09090909],0
d2,1,0.018893,5.511395,[ 8 41] ; [15 24],[12.80681818 36.19318182] ; [10.19318182 28.80681818],0
n5,1,0.019216,5.481725,[40  9] ; [23 16],[35.07954545 13.92045455] ; [27.92045455 11.07954545],0
p9,1,0.043815,4.063696,[43  6] ; [26 11],[39.31395349  9.68604651] ; [29.68604651  7.31395349],0
r1,1,0.047349,3.932938,[32 17] ; [32  6],[36.04597701 12.95402299] ; [27.95402299 10.04597701],0
p3,1,0.064221,3.424869,[26 23] ; [13 26],[21.71590909 27.28409091] ; [17.28409091 21.71590909],0
p12,1,0.10204,2.673361,[ 6 43] ; [ 1 37],[ 3.94252874 45.05747126] ; [ 3.05747126 34.94252874],0
b4,1,0.12054,2.410289,[22 27] ; [24 15],[25.61363636 23.38636364] ; [20.38636364 18.61363636],0
b5,1,0.123667,2.370255,[26 23] ; [27 12],[29.51136364 19.48863636] ; [23.48863636 15.51136364],0
a3,1,0.145706,2.116642,[29 20] ; [17 22],[25.61363636 23.38636364] ; [20.38636364 18.61363636],0
s4,1,0.172935,1.857317,[15 34] ; [ 7 32],[12.25 36.75] ; [ 9.75 29.25],0
n1,1,0.17753,1.818182,[6 4] ; [3 7],[4.5 5.5] ; [4.5 5.5],0
a6,1,0.189429,1.722049,[27 22] ; [16 23],[23.94318182 25.05681818] ; [19.05681818 19.94318182],0
d4,1,0.254752,1.297052,[38 11] ; [26 13],[35.63636364 13.36363636] ; [28.36363636 10.63636364],0
s7,1,0.305091,1.051807,[35 11] ; [23 12],[32.9382716 13.0617284] ; [25.0617284  9.9382716],0
n2,1,0.329114,0.952381,[8 2] ; [6 4],[7. 3.] ; [7. 3.],0
a7,1,0.360389,0.836538,[30 18] ; [28 11],[32. 16.] ; [26. 13.],0
s6,1,0.407241,0.686842,[42  7] ; [30  8],[40.55172414  8.44827586] ; [31.44827586  6.55172414],0
v3,1,0.428512,0.626852,[22 26] ; [13 22],[20.24096386 27.75903614] ; [14.75903614 20.24096386],0
a8,1,0.43013,0.622471,[ 8 37] ; [ 4 31],[ 6.75 38.25] ; [ 5.25 29.75],0
d5,1,0.473869,0.51294,[33 16] ; [29 10],[34.52272727 14.47727273] ; [27.47727273 11.52272727],0
u2,1,0.557741,0.34363,[15  5] ; [14  7],[14.14634146  5.85365854] ; [14.85365854  6.14634146],0
p10,1,0.562312,0.335716,[40  8] ; [29  8],[38.96470588  9.03529412] ; [30.03529412  6.96470588],0
r4,1,0.570202,0.322344,[42  7] ; [35  4],[42.875  6.125] ; [34.125  4.875],0
s1,1,0.574715,0.314857,[ 4 45] ; [ 2 37],[ 3.34090909 45.65909091] ; [ 2.65909091 36.34090909],0
u3,1,0.5885,0.292694,[13  7] ; [16  6],[13.80952381  6.19047619] ; [15.19047619  6.80952381],0
n4,1,0.63039,0.231532,[35 14] ; [26 13],[33.96590909 15.03409091] ; [27.03409091 11.96590909],0
n3,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
s3,1,0.675916,0.17476,[38 11] ; [28 10],[37.17241379 11.82758621] ; [28.82758621  9.17241379],0
r2,1,0.781415,0.076993,[43  4] ; [35  4],[42.62790698  4.37209302] ; [35.37209302  3.62790698],0
n6,1,0.800079,0.064133,[40  9] ; [31  8],[39.53409091  9.46590909] ; [31.46590909  7.53409091],0
u1,1,0.814878,0.05482,[ 2 47] ; [ 2 37],[ 2.22727273 46.77272727] ; [ 1.77272727 37.22727273],0
b2,1,0.821154,0.051103,[ 8 22] ; [ 6 19],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
b3,1,0.821154,0.051103,[ 8 22] ; [ 6 19],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
d1,1,0.822595,0.050269,[20 29] ; [15 24],[19.48863636 29.51136364] ; [15.51136364 23.48863636],0
v4,1,0.823084,0.049988,[45  3] ; [37  2],[45.24137931  2.75862069] ; [36.75862069  2.24137931],0
d3,1,0.830357,0.0459,[30 19] ; [23 16],[29.51136364 19.48863636] ; [23.48863636 15.51136364],0
r3,1,0.841369,0.040057,[46  3] ; [37  2],[46.21590909  2.78409091] ; [36.78409091  2.21590909],0
a1,1,0.870027,0.026773,[ 1 48] ; [ 1 38],[ 1.11363636 47.88636364] ; [ 0.88636364 38.11363636],0
p1,1,0.885247,0.020828,[ 7 42] ; [ 6 33],[ 7.23863636 41.76136364] ; [ 5.76136364 33.23863636],0
b1,1,0.902328,0.015061,[22 27] ; [17 22],[21.71590909 27.28409091] ; [17.28409091 21.71590909],0
s2,1,0.915294,0.011313,[33 16] ; [26 12],[33.22988506 15.77011494] ; [25.77011494 12.22988506],0
v2,1,0.921708,0.00966,[25 22] ; [19 16],[25.2195122 21.7804878] ; [18.7804878 16.2195122],0
v1,1,0.925922,0.008645,[25 24] ; [18 18],[24.78823529 24.21176471] ; [18.21176471 17.78823529],0
s5,1,0.975172,0.000969,[13 32] ; [10 25],[12.9375 32.0625] ; [10.0625 24.9375],0
a4,1,0.990353,0.000146,[10 39] ; [ 8 31],[10.02272727 38.97727273] ; [ 7.97727273 31.02272727],0
