Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.025347,5.0,[4 1] ; [2 8],[2. 3.] ; [4. 6.],0
p4,1,0.025347,5.0,[4 1] ; [2 8],[2. 3.] ; [4. 6.],0
p7,1,0.052353,3.764444,[3 1] ; [2 8],[1.42857143 2.57142857] ; [3.57142857 6.42857143],0
a7,1,0.067278,3.348214,[4 1] ; [3 7],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
v2,1,0.170904,1.875,[2 3] ; [1 9],[1. 4.] ; [2. 8.],0
s8,1,0.170904,1.875,[2 3] ; [1 9],[1. 4.] ; [2. 8.],0
r4,1,0.170904,1.875,[2 3] ; [1 9],[1. 4.] ; [2. 8.],0
p11,1,0.263552,1.25,[3 2] ; [3 7],[2. 3.] ; [4. 6.],0
a5,1,0.263552,1.25,[4 1] ; [5 5],[3. 2.] ; [6. 4.],0
r2,1,0.279401,1.17,[4 1] ; [4 4],[3.07692308 1.92307692] ; [4.92307692 3.07692308],0
p3,1,0.408961,0.681818,[2 3] ; [2 8],[1.33333333 3.66666667] ; [2.66666667 7.33333333],0
a6,1,0.408961,0.681818,[2 3] ; [2 8],[1.33333333 3.66666667] ; [2.66666667 7.33333333],0
d4,1,0.438578,0.6,[4 1] ; [6 4],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
b4,1,0.438578,0.6,[1 4] ; [4 6],[1.66666667 3.33333333] ; [3.33333333 6.66666667],0
n6,1,0.438578,0.6,[4 1] ; [6 4],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
d2,1,0.464214,0.535714,[2 3] ; [6 4],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
d1,1,0.464214,0.535714,[3 2] ; [4 6],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
a3,1,0.464214,0.535714,[2 3] ; [6 4],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
s2,1,0.464214,0.535714,[3 2] ; [4 6],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
s5,1,0.480478,0.497778,[2 3] ; [2 7],[1.42857143 3.57142857] ; [2.57142857 6.42857143],0
s7,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
v3,1,0.591208,0.288462,[1 4] ; [1 9],[0.66666667 4.33333333] ; [1.33333333 8.66666667],0
u2,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
u3,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
n1,1,0.67329,0.177778,[1 1] ; [2 4],[0.75 1.25] ; [2.25 3.75],0
n5,1,0.679708,0.170455,[4 1] ; [7 3],[3.66666667 1.33333333] ; [7.33333333 2.66666667],0
n4,1,0.698535,0.15,[3 2] ; [7 3],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
b5,1,0.698535,0.15,[3 2] ; [7 3],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
r1,1,0.698535,0.15,[2 3] ; [3 7],[1.66666667 3.33333333] ; [3.33333333 6.66666667],0
a4,1,0.714393,0.133929,[2 3] ; [5 5],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
s6,1,0.714393,0.133929,[2 3] ; [5 5],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
v1,1,1.0,0.0,[1 4] ; [2 8],[1. 4.] ; [2. 8.],0
s3,1,1.0,0.0,[2 3] ; [4 6],[2. 3.] ; [4. 6.],0
s1,1,1.0,0.0,[1 4] ; [2 8],[1. 4.] ; [2. 8.],0
d5,1,1.0,0.0,[3 2] ; [6 4],[3. 2.] ; [6. 4.],0
b1,1,1.0,0.0,[3 2] ; [6 4],[3. 2.] ; [6. 4.],0
