Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.9e-05,18.321568,[42 25] ; [34 79],[28.28888889 38.71111111] ; [47.71111111 65.28888889],1
v3,1,0.000843,11.143618,[28 37] ; [22 90],[18.36158192 46.63841808] ; [31.63841808 80.36158192],1
s6,1,0.001165,10.545029,[39 30] ; [37 78],[28.5 40.5] ; [47.5 67.5],0
s7,1,0.002234,9.346575,[27 41] ; [20 87],[18.26285714 49.73714286] ; [28.73714286 78.26285714],0
s2,1,0.003153,8.716711,[28 42] ; [23 92],[19.2972973 50.7027027] ; [31.7027027 83.2972973],0
a5,1,0.011151,6.441033,[50 20] ; [61 55],[41.77419355 28.22580645] ; [69.22580645 46.77419355],0
s8,1,0.01534,5.877037,[22 47] ; [19 96],[15.375 53.625] ; [25.625 89.375],0
d3,1,0.015578,5.849902,[48 22] ; [58 57],[40.10810811 29.89189189] ; [65.89189189 49.10810811],0
a2,1,0.036759,4.361532,[19 51] ; [17 99],[13.5483871 56.4516129] ; [22.4516129 93.5483871],0
a3,1,0.044406,4.041066,[47 22] ; [61 54],[40.5 28.5] ; [67.5 47.5],0
r3,1,0.044563,4.035088,[62  7] ; [90 25],[57. 12.] ; [95. 20.],0
r1,1,0.045143,4.013292,[53 15] ; [74 42],[46.93478261 21.06521739] ; [80.06521739 35.93478261],0
s3,1,0.056761,3.629592,[33 36] ; [38 75],[26.91758242 42.08241758] ; [44.08241758 68.91758242],0
r2,1,0.059451,3.552635,[63  6] ; [94 22],[58.55675676 10.44324324] ; [98.44324324 17.55675676],0
v4,1,0.062372,3.47315,[61  8] ; [89 26],[56.25 12.75] ; [93.75 21.25],0
n2,1,0.080788,3.048979,[16  5] ; [27 23],[12.71830986  8.28169014] ; [30.28169014 19.71830986],0
b5,1,0.089812,2.877737,[48 22] ; [65 51],[42.52688172 27.47311828] ; [70.47311828 45.52688172],0
a8,1,0.092466,2.830903,[12 50] ; [11 97],[ 8.38823529 53.61176471] ; [14.61176471 93.38823529],0
d4,1,0.099068,2.720483,[55 15] ; [76 37],[50.10928962 19.89071038] ; [80.89071038 32.10928962],0
p11,1,0.120339,2.412903,[39 31] ; [51 65],[33.87096774 36.12903226] ; [56.12903226 59.87096774],0
s5,1,0.162739,1.948588,[14 53] ; [ 15 100],[10.67582418 56.32417582] ; [18.32417582 96.67582418],0
n3,1,0.179075,1.805282,[15  6] ; [26 22],[12.47826087  8.52173913] ; [28.52173913 19.47826087],0
p2,1,0.181652,1.784056,[45 25] ; [63 53],[40.64516129 29.35483871] ; [67.35483871 48.64516129],0
p3,1,0.196836,1.665697,[24 45] ; [30 86],[20.14054054 48.85945946] ; [33.85945946 82.14054054],0
r4,1,0.228626,1.449389,[54 16] ; [80 36],[50.43010753 19.56989247] ; [83.56989247 32.43010753],0
u3,1,0.234917,1.410841,[13 10] ; [23 32],[10.61538462 12.38461538] ; [25.38461538 29.61538462],0
a7,1,0.244186,1.356265,[45 24] ; [65 50],[41.25 27.75] ; [68.75 46.25],0
u1,1,0.250204,1.322163,[12 58] ; [ 13 103],[ 9.40860215 60.59139785] ; [ 15.59139785 100.40860215],0
a1,1,0.261276,1.261981,[ 3 67] ; [ 10 106],[ 4.89247312 65.10752688] ; [  8.10752688 107.89247312],0
