Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.003229,8.673208,[ 6 42] ; [ 9 11],[10.58823529 37.41176471] ; [ 4.41176471 15.58823529],0
u3,1,0.015717,5.834266,[ 3 20] ; [4 3],[ 5.36666667 17.63333333] ; [1.63333333 5.36666667],0
p9,1,0.041148,4.169926,[12 33] ; [11 10],[15.68181818 29.31818182] ; [ 7.31818182 13.68181818],0
p3,1,0.043392,4.080075,[ 7 41] ; [ 7 12],[10.02985075 37.97014925] ; [ 3.97014925 15.02985075],0
p2,1,0.044104,4.052589,[14 34] ; [11  9],[17.64705882 30.35294118] ; [ 7.35294118 12.64705882],0
s6,1,0.052299,3.766173,[ 8 40] ; [ 8 13],[11.13043478 36.86956522] ; [ 4.86956522 16.13043478],0
n5,1,0.061808,3.488182,[31 17] ; [ 8 12],[27.52941176 20.47058824] ; [11.47058824  8.52941176],0
n3,1,0.106125,2.611,[ 8 18] ; [7 5],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
s5,1,0.119964,2.417793,[ 3 43] ; [ 4 17],[ 4.80597015 41.19402985] ; [ 2.19402985 18.80597015],0
s4,1,0.128824,2.306613,[ 9 39] ; [ 1 20],[ 6.95652174 41.04347826] ; [ 3.04347826 17.95652174],0
d4,1,0.155625,2.016234,[28 20] ; [16  5],[30.60869565 17.39130435] ; [13.39130435  7.60869565],0
s1,1,0.173654,1.851111,[ 4 44] ; [ 4 16],[ 5.64705882 42.35294118] ; [ 2.35294118 17.64705882],0
d3,1,0.175007,1.83952,[23 24] ; [14  7],[25.57352941 21.42647059] ; [11.42647059  9.57352941],0
s2,1,0.186592,1.744325,[ 9 39] ; [ 7 14],[11.13043478 36.86956522] ; [ 4.86956522 16.13043478],0
r2,1,0.208211,1.583821,[24 21] ; [14  6],[26.30769231 18.69230769] ; [11.69230769  8.30769231],0
a4,1,0.215847,1.531771,[13 34] ; [ 9 12],[15.20588235 31.79411765] ; [ 6.79411765 14.20588235],0
p6,1,0.253105,1.306083,[ 7 40] ; [ 1 19],[ 5.6119403 41.3880597] ; [ 2.3880597 17.6119403],0
u2,1,0.259509,1.271377,[ 6 17] ; [3 3],[ 7.13793103 15.86206897] ; [1.86206897 4.13793103],0
s8,1,0.275706,1.188138,[ 3 45] ; [ 3 18],[ 4.17391304 43.82608696] ; [ 1.82608696 19.17391304],0
p1,1,0.275706,1.188138,[ 3 45] ; [ 3 18],[ 4.17391304 43.82608696] ; [ 1.82608696 19.17391304],0
a6,1,0.284485,1.14554,[25 23] ; [ 8 13],[22.95652174 25.04347826] ; [10.04347826 10.95652174],0
n6,1,0.286296,1.136957,[22 26] ; [ 6 13],[20.05970149 27.94029851] ; [ 7.94029851 11.05970149],0
p10,1,0.292578,1.107722,[14 33] ; [ 9 12],[15.89705882 31.10294118] ; [ 7.10294118 13.89705882],0
a3,1,0.299249,1.077538,[25 22] ; [14  7],[26.95588235 20.04411765] ; [12.04411765  8.95588235],0
v4,1,0.328354,0.95538,[25 23] ; [13  7],[26.82352941 21.17647059] ; [11.17647059  8.82352941],0
s7,1,0.334341,0.932012,[ 7 37] ; [ 5 14],[ 8.38095238 35.61904762] ; [ 3.61904762 15.38095238],0
r3,1,0.363274,0.826543,[16 32] ; [ 9 11],[17.64705882 30.35294118] ; [ 7.35294118 12.64705882],0
u1,1,0.380923,0.76772,[ 2 46] ; [ 2 19],[ 2.7826087 45.2173913] ; [ 1.2173913 19.7826087],0
b1,1,0.381231,0.766729,[29 19] ; [15  6],[30.60869565 17.39130435] ; [13.39130435  7.60869565],0
