Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.004537,8.055394,[ 9 48] ; [6 5],[12.57352941 44.42647059] ; [2.42647059 8.57352941],0
p7,1,0.022953,5.17203,[21 39] ; [9 4],[24.65753425 35.34246575] ; [5.34246575 7.65753425],0
u2,1,0.025497,4.989805,[ 8 22] ; [5 2],[10.54054054 19.45945946] ; [2.45945946 4.54054054],0
p2,1,0.028081,4.823104,[26 34] ; [10  3],[29.5890411 30.4109589] ; [6.4109589 6.5890411],0
s4,1,0.031431,4.629252,[11 49] ; [6 7],[13.97260274 46.02739726] ; [3.02739726 9.97260274],0
b5,1,0.04789,3.913826,[33 27] ; [11  2],[36.16438356 23.83561644] ; [7.83561644 5.16438356],0
s8,1,0.048324,3.898681,[ 6 54] ; [4 9],[ 8.21917808 51.78082192] ; [ 1.78082192 11.21917808],0
p10,1,0.053366,3.732416,[19 39] ; [8 5],[22.05633803 35.94366197] ; [4.94366197 8.05633803],0
p9,1,0.054074,3.710412,[26 29] ; [10  3],[29.11764706 25.88235294] ; [6.88235294 6.11764706],0
r3,1,0.060269,3.529967,[34 26] ; [11  2],[36.98630137 23.01369863] ; [8.01369863 4.98630137],0
v2,1,0.07407,3.190444,[13 46] ; [6 7],[15.56944444 43.43055556] ; [3.43055556 9.56944444],0
p3,1,0.075854,3.151571,[17 43] ; [7 6],[19.7260274 40.2739726] ; [4.2739726 8.7260274],0
s2,1,0.075854,3.151571,[17 43] ; [7 6],[19.7260274 40.2739726] ; [4.2739726 8.7260274],0
r4,1,0.076262,3.142811,[21 39] ; [8 5],[23.83561644 36.16438356] ; [5.16438356 7.83561644],0
a6,1,0.113137,2.509849,[27 33] ; [9 4],[29.5890411 30.4109589] ; [6.4109589 6.5890411],0
d4,1,0.124889,2.354911,[37 23] ; [5 8],[34.52054795 25.47945205] ; [7.47945205 5.52054795],0
r2,1,0.156848,2.00435,[42 16] ; [11  1],[43.91428571 14.08571429] ; [9.08571429 2.91428571],0
d5,1,0.166441,1.914713,[32 28] ; [9 3],[34.16666667 25.83333333] ; [6.83333333 5.16666667],0
s5,1,0.173117,1.85574,[12 47] ; [4 6],[13.68115942 45.31884058] ; [2.31884058 7.68115942],0
u1,1,0.178988,1.806007,[ 3 57] ; [ 2 11],[ 4.10958904 55.89041096] ; [ 0.89041096 12.10958904],0
v1,1,0.189595,1.720763,[20 39] ; [ 2 11],[18.02777778 40.97222222] ; [3.97222222 9.02777778],0
p1,1,0.299479,1.076515,[ 4 56] ; [ 2 11],[ 4.93150685 55.06849315] ; [ 1.06849315 11.93150685],0
p8,1,0.329823,0.949592,[11 48] ; [4 9],[12.29166667 46.70833333] ; [ 2.70833333 10.29166667],0
d3,1,0.350696,0.870937,[29 31] ; [7 4],[30.42253521 29.57746479] ; [5.57746479 5.42253521],0
p4,1,0.381497,0.765874,[20 40] ; [6 7],[21.36986301 38.63013699] ; [4.63013699 8.36986301],0
b1,1,0.40387,0.696772,[34 26] ; [9 4],[35.34246575 24.65753425] ; [7.65753425 5.34246575],0
v4,1,0.47048,0.520847,[40 20] ; [10  3],[41.09589041 18.90410959] ; [8.90410959 4.09589041],0
s3,1,0.47648,0.50691,[21 38] ; [6 7],[22.125 36.875] ; [4.875 8.125],0
a7,1,0.527089,0.4,[29 31] ; [7 5],[30. 30.] ; [6. 6.],0
d1,1,0.551576,0.354502,[18 42] ; [5 8],[18.90410959 41.09589041] ; [4.09589041 8.90410959],0
n1,1,0.560776,0.338363,[ 8 15] ; [2 2],[ 8.51851852 14.48148148] ; [1.48148148 2.51851852],0
u3,1,0.593421,0.285034,[10 21] ; [3 4],[10.60526316 20.39473684] ; [2.39473684 4.60526316],0
v3,1,0.61209,0.257143,[14 46] ; [ 2 10],[13.33333333 46.66666667] ; [2.66666667 9.33333333],0
a2,1,0.711637,0.136648,[ 7 53] ; [ 2 11],[ 7.39726027 52.60273973] ; [ 1.60273973 11.39726027],0
d2,1,0.716963,0.131421,[24 35] ; [6 7],[24.58333333 34.41666667] ; [5.41666667 7.58333333],0
n6,1,0.74732,0.103797,[34 26] ; [8 5],[34.52054795 25.47945205] ; [7.47945205 5.52054795],0
n2,1,0.80857,0.058696,[13 10] ; [2 2],[12.77777778 10.22222222] ; [2.22222222 1.77777778],0
b3,1,0.819187,0.052254,[15 18] ; [2 3],[14.76315789 18.23684211] ; [2.23684211 2.76315789],0
b2,1,0.819187,0.052254,[15 18] ; [2 3],[14.76315789 18.23684211] ; [2.23684211 2.76315789],0
a3,1,0.844749,0.038346,[29 30] ; [6 7],[28.68055556 30.31944444] ; [6.31944444 6.68055556],0
s6,1,0.847037,0.037211,[18 41] ; [4 8],[18.28169014 40.71830986] ; [3.71830986 8.28169014],0
n5,1,0.852593,0.034525,[34 26] ; [7 6],[33.69863014 26.30136986] ; [7.30136986 5.69863014],0
a8,1,0.860361,0.030946,[ 4 54] ; [ 1 11],[ 4.14285714 53.85714286] ; [ 0.85714286 11.14285714],0
a4,1,0.920033,0.010079,[19 40] ; [4 9],[18.84722222 40.15277778] ; [4.15277778 8.84722222],0
b4,1,0.939592,0.005743,[27 33] ; [6 7],[27.12328767 32.87671233] ; [5.87671233 7.12328767],0
a5,1,0.973192,0.001129,[28 32] ; [6 7],[27.94520548 32.05479452] ; [6.05479452 6.94520548],0
n4,1,0.973192,0.001129,[32 28] ; [7 6],[32.05479452 27.94520548] ; [6.94520548 6.05479452],0
