Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-05,16.891548,[55  4] ; [27 18],[46.51923077 12.48076923] ; [35.48076923  9.51923077],1
r1,1,5.2e-05,16.378858,[54  5] ; [26 19],[45.38461538 13.61538462] ; [34.61538462 10.38461538],1
r2,1,0.000136,14.554964,[58  1] ; [33 12],[51.625  7.375] ; [39.375  5.625],1
a4,1,0.000184,13.99131,[28 30] ; [ 6 39],[19.14563107 38.85436893] ; [14.85436893 30.14563107],1
d1,1,0.000264,13.311712,[37 22] ; [12 33],[27.79807692 31.20192308] ; [21.20192308 23.79807692],1
a3,1,0.000289,13.139089,[42 17] ; [16 29],[32.90384615 26.09615385] ; [25.09615385 19.90384615],1
d5,1,0.002034,9.518644,[51  8] ; [27 18],[44.25 14.75] ; [33.75 11.25],0
d2,1,0.002729,8.980233,[35 24] ; [13 31],[27.49514563 31.50485437] ; [20.50485437 23.49514563],0
v1,1,0.003811,8.371543,[31 28] ; [11 34],[23.82692308 35.17307692] ; [18.17307692 26.82692308],0
a6,1,0.003854,8.351435,[45 14] ; [22 23],[38.00961538 20.99038462] ; [28.99038462 16.00961538],0
d3,1,0.004085,8.245761,[46 13] ; [23 22],[39.14423077 19.85576923] ; [29.85576923 15.14423077],0
n4,1,0.008318,6.9638,[47 12] ; [25 20],[40.84615385 18.15384615] ; [31.15384615 13.84615385],0
d4,1,0.009717,6.686062,[47 12] ; [24 19],[41.06862745 17.93137255] ; [29.93137255 13.06862745],0
u1,1,0.011418,6.399136,[13 46] ; [ 2 43],[ 8.50961538 50.49038462] ; [ 6.49038462 38.50961538],0
v4,1,0.018433,5.554501,[57  1] ; [38  6],[54.01960784  3.98039216] ; [40.98039216  3.01960784],0
u3,1,0.055587,3.664392,[12  5] ; [12 17],[8.86956522 8.13043478] ; [15.13043478 13.86956522],0
a7,1,0.095705,2.775701,[44 15] ; [26 18],[40.09708738 18.90291262] ; [29.90291262 14.09708738],0
p11,1,0.122675,2.382835,[39 20] ; [23 22],[35.17307692 23.82692308] ; [26.82692308 18.17307692],0
r3,1,0.128431,2.311363,[56  3] ; [38  6],[53.84466019  5.15533981] ; [40.15533981  3.84466019],0
b1,1,0.199614,1.645198,[35 24] ; [21 24],[31.76923077 27.23076923] ; [24.23076923 20.76923077],0
n5,1,0.217275,1.522281,[36 23] ; [22 23],[32.90384615 26.09615385] ; [25.09615385 19.90384615],0
p8,1,0.22352,1.481628,[28 31] ; [16 29],[24.96153846 34.03846154] ; [19.03846154 25.96153846],0
s6,1,0.236773,1.399702,[30 28] ; [18 27],[27.02912621 30.97087379] ; [20.97087379 24.02912621],0
s4,1,0.249431,1.326486,[ 9 48] ; [11 33],[11.28712871 45.71287129] ; [ 8.71287129 35.28712871],0
b3,1,0.316231,1.00447,[10 26] ; [ 5 24],[ 8.30769231 27.69230769] ; [ 6.69230769 22.30769231],0
b2,1,0.316231,1.00447,[10 26] ; [ 5 24],[ 8.30769231 27.69230769] ; [ 6.69230769 22.30769231],0
b5,1,0.360115,0.837491,[38 21] ; [25 20],[35.74038462 23.25961538] ; [27.25961538 17.74038462],0
p6,1,0.41918,0.652613,[14 43] ; [14 30],[15.8019802 41.1980198] ; [12.1980198 31.8019802],0
p7,1,0.431248,0.61946,[33 26] ; [28 16],[34.94174757 24.05825243] ; [26.05825243 17.94174757],0
v2,1,0.481923,0.494508,[27 31] ; [17 26],[25.26732673 32.73267327] ; [18.73267327 24.26732673],0
p10,1,0.503768,0.446989,[19 39] ; [12 33],[17.45631068 40.54368932] ; [13.54368932 31.45631068],0
s5,1,0.516881,0.420112,[10 47] ; [10 34],[11.28712871 45.71287129] ; [ 8.71287129 35.28712871],0
s7,1,0.577275,0.31066,[20 35] ; [13 29],[18.71134021 36.28865979] ; [14.28865979 27.71134021],0
n6,1,0.586698,0.29553,[41 18] ; [29 16],[39.71153846 19.28846154] ; [30.28846154 14.71153846],0
s3,1,0.628746,0.233765,[31 28] ; [21 23],[29.78640777 29.21359223] ; [22.21359223 21.78640777],0
v3,1,0.679639,0.170533,[18 40] ; [12 32],[17.05882353 40.94117647] ; [12.94117647 31.05882353],0
p1,1,0.707876,0.140407,[ 4 54] ; [ 4 41],[ 4.50485437 53.49514563] ; [ 3.49514563 41.50485437],0
