Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.6e-05,16.245837,[26  9] ; [ 8 24],[17.76119403 17.23880597] ; [16.23880597 15.76119403],1
s3,1,0.000146,14.416858,[25 10] ; [ 8 24],[17.23880597 17.76119403] ; [15.76119403 16.23880597],1
s5,1,0.000255,13.377104,[18 11] ; [ 5 26],[11.11666667 17.88333333] ; [11.88333333 19.11666667],1
s7,1,0.000744,11.37666,[25  9] ; [ 9 20],[18.34920635 15.65079365] ; [15.65079365 13.34920635],1
a5,1,0.002401,9.214454,[26  9] ; [12 20],[19.85074627 15.14925373] ; [18.14925373 13.85074627],0
s4,1,0.002445,9.181516,[13 22] ; [ 2 30],[ 7.8358209 27.1641791] ; [ 7.1641791 24.8358209],0
s6,1,0.005486,7.711698,[26  7] ; [14 17],[20.625 12.375] ; [19.375 11.625],0
n3,1,0.011864,6.331081,[5 6] ; [12  1],[7.79166667 3.20833333] ; [9.20833333 3.79166667],0
p9,1,0.037072,4.347114,[32  3] ; [23  9],[28.73134328  6.26865672] ; [26.26865672  5.73134328],0
p3,1,0.040536,4.195317,[24 11] ; [14 18],[19.85074627 15.14925373] ; [18.14925373 13.85074627],0
v1,1,0.043896,4.06055,[19 15] ; [10 22],[14.93939394 19.06060606] ; [14.06060606 17.93939394],0
p10,1,0.044901,4.02235,[30  5] ; [20 11],[26.51515152  8.48484848] ; [23.48484848  7.51515152],0
u3,1,0.04986,3.846154,[9 4] ; [4 9],[6.5 6.5] ; [6.5 6.5],0
d4,1,0.105424,2.621516,[29  6] ; [21 11],[26.11940299  8.88059701] ; [23.88059701  8.11940299],0
a1,1,0.110026,2.553852,[ 5 30] ; [ 1 31],[ 3.13432836 31.86567164] ; [ 2.86567164 29.13432836],0
v2,1,0.137857,2.201719,[21 12] ; [14 17],[18.046875 14.953125] ; [16.953125 14.046875],0
u2,1,0.147758,2.095249,[10  3] ; [7 7],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
r3,1,0.169608,1.886403,[29  6] ; [30  2],[30.82089552  4.17910448] ; [28.17910448  3.82089552],0
d1,1,0.176747,1.824767,[20 15] ; [13 19],[17.23880597 17.76119403] ; [15.76119403 16.23880597],0
u1,1,0.19639,1.669018,[ 4 31] ; [ 1 31],[ 2.6119403 32.3880597] ; [ 2.3880597 29.6119403],0
r4,1,0.284514,1.145401,[22 13] ; [24  8],[24.02985075 10.97014925] ; [21.97014925 10.02985075],0
d3,1,0.289073,1.123933,[23 11] ; [17 14],[20.92307692 13.07692308] ; [19.07692308 11.92307692],0
b5,1,0.297584,1.08499,[24 11] ; [18 14],[21.94029851 13.05970149] ; [20.05970149 11.94029851],0
d5,1,0.310033,1.030536,[28  6] ; [23  9],[26.27272727  7.72727273] ; [24.72727273  7.27272727],0
b2,1,0.358597,0.8428,[ 9 16] ; [9 9],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
b3,1,0.358597,0.8428,[ 9 16] ; [9 9],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
n6,1,0.429441,0.624336,[29  6] ; [24  8],[27.68656716  7.31343284] ; [25.31343284  6.68656716],0
