Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.5e-05,16.280488,[ 5 28] ; [7 1],[ 9.65853659 23.34146341] ; [2.34146341 5.65853659],1
p10,1,0.002082,9.475611,[10 22] ; [8 1],[14.04878049 17.95121951] ; [3.95121951 5.04878049],0
p7,1,0.004112,8.233618,[ 7 25] ; [6 2],[10.4 21.6] ; [2.6 5.4],0
v2,1,0.006834,7.316017,[ 3 29] ; [4 4],[ 5.6 26.4] ; [1.4 6.6],0
v4,1,0.013361,6.120661,[14 19] ; [8 1],[17.28571429 15.71428571] ; [4.71428571 4.28571429],0
r4,1,0.025125,5.015233,[ 2 31] ; [3 6],[ 3.92857143 29.07142857] ; [1.07142857 7.92857143],0
p6,1,0.028265,4.811806,[ 2 30] ; [3 6],[ 3.90243902 28.09756098] ; [1.09756098 7.90243902],0
n6,1,0.029921,4.713805,[16 17] ; [8 1],[18.85714286 14.14285714] ; [5.14285714 3.85714286],0
u3,1,0.034703,4.459722,[ 1 14] ; [2 2],[ 2.36842105 12.63157895] ; [0.63157895 3.36842105],0
p9,1,0.074574,3.179348,[10 20] ; [6 3],[12.30769231 17.69230769] ; [3.69230769 5.30769231],0
p3,1,0.112786,2.51474,[ 6 26] ; [4 5],[ 7.80487805 24.19512195] ; [2.19512195 6.80487805],0
p11,1,0.161077,1.964085,[10 23] ; [5 4],[11.78571429 21.21428571] ; [3.21428571 5.78571429],0
p2,1,0.224325,1.476488,[14 18] ; [6 3],[15.6097561 16.3902439] ; [4.3902439 4.6097561],0
s6,1,0.23437,1.414141,[ 8 25] ; [4 5],[ 9.42857143 23.57142857] ; [2.57142857 6.42857143],0
v3,1,0.236292,1.40258,[ 6 27] ; [3 5],[ 7.24390244 25.75609756] ; [1.75609756 6.24390244],0
s8,1,0.280916,1.162654,[ 3 30] ; [2 7],[ 3.92857143 29.07142857] ; [1.07142857 7.92857143],0
p12,1,0.312951,1.018182,[ 1 32] ; [1 8],[ 1.57142857 31.42857143] ; [0.42857143 8.57142857],0
p5,1,0.325805,0.9655,[ 1 31] ; [1 8],[ 1.56097561 30.43902439] ; [0.43902439 8.56097561],0
b2,1,0.329929,0.949175,[10 13] ; [1 4],[ 9.03571429 13.96428571] ; [1.96428571 3.03571429],0
b3,1,0.329929,0.949175,[10 13] ; [1 4],[ 9.03571429 13.96428571] ; [1.96428571 3.03571429],0
b4,1,0.333002,0.93719,[16 17] ; [6 3],[17.28571429 15.71428571] ; [4.71428571 4.28571429],0
a6,1,0.340594,0.908193,[13 20] ; [2 7],[11.78571429 21.21428571] ; [3.21428571 5.78571429],0
b1,1,0.385147,0.754209,[20 13] ; [4 5],[18.85714286 14.14285714] ; [5.14285714 3.85714286],0
r2,1,0.414216,0.666667,[19 13] ; [6 2],[20. 12.] ; [5. 3.],0
n4,1,0.425031,0.636364,[23 10] ; [5 4],[22. 11.] ; [6. 3.],0
d3,1,0.425031,0.636364,[10 23] ; [4 5],[11. 22.] ; [3. 6.],0
n5,1,0.449177,0.572727,[26  7] ; [6 3],[25.14285714  7.85714286] ; [6.85714286 2.14285714],0
d1,1,0.449177,0.572727,[ 7 26] ; [3 6],[ 7.85714286 25.14285714] ; [2.14285714 6.85714286],0
n1,1,0.477197,0.505263,[ 7 12] ; [1 4],[ 6.33333333 12.66666667] ; [1.66666667 3.33333333],0
d5,1,0.482948,0.492199,[14 19] ; [5 4],[14.92857143 18.07142857] ; [4.07142857 4.92857143],0
s4,1,0.493948,0.467914,[ 7 26] ; [1 8],[ 6.28571429 26.71428571] ; [1.71428571 7.28571429],0
a5,1,0.514828,0.424242,[15 18] ; [3 6],[14.14285714 18.85714286] ; [3.85714286 5.14285714],0
r1,1,0.537471,0.380247,[11 22] ; [4 5],[11.78571429 21.21428571] ; [3.21428571 5.78571429],0
v1,1,0.582432,0.302319,[ 8 25] ; [3 6],[ 8.64285714 24.35714286] ; [2.35714286 6.64285714],0
d4,1,0.590698,0.289256,[15 18] ; [5 4],[15.71428571 17.28571429] ; [4.28571429 4.71428571],0
s5,1,0.613893,0.254545,[ 5 28] ; [2 7],[ 5.5 27.5] ; [1.5 7.5],0
s7,1,0.659505,0.194125,[ 5 24] ; [1 8],[ 4.57894737 24.42105263] ; [1.42105263 7.57894737],0
d2,1,0.705945,0.142361,[12 20] ; [4 5],[12.48780488 19.51219512] ; [3.51219512 5.48780488],0
n2,1,0.768589,0.086566,[ 9 10] ; [2 3],[ 8.70833333 10.29166667] ; [2.29166667 2.70833333],0
b5,1,0.784379,0.074866,[13 20] ; [4 5],[13.35714286 19.64285714] ; [3.64285714 5.35714286],0
n3,1,0.859234,0.031453,[ 8 10] ; [2 3],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
a4,1,0.86388,0.029391,[ 8 24] ; [2 7],[ 7.80487805 24.19512195] ; [2.19512195 6.80487805],0
p1,1,0.933897,0.00688,[ 4 29] ; [1 8],[ 3.92857143 29.07142857] ; [1.07142857 7.92857143],0
s2,1,0.947806,0.004285,[ 7 26] ; [2 7],[ 7.07142857 25.92857143] ; [1.92857143 7.07142857],0
a3,1,0.956962,0.002912,[18 15] ; [5 4],[18.07142857 14.92857143] ; [4.92857143 4.07142857],0
