Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,8.5e-05,15.438196,[35 53] ; [13 80],[23.33701657 64.66298343] ; [24.66298343 68.33701657],1
v1,1,0.000232,13.550157,[47 42] ; [24 68],[34.91160221 54.08839779] ; [36.08839779 55.91160221],1
d1,1,0.000426,12.416483,[59 33] ; [36 58],[46.98924731 45.01075269] ; [48.01075269 45.98924731],1
d5,1,0.002532,9.117476,[78 14] ; [61 32],[69.12432432 22.87567568] ; [69.87567568 23.12432432],0
d3,1,0.005297,7.775134,[76 16] ; [60 33],[67.63243243 24.36756757] ; [68.36756757 24.63243243],0
r3,1,0.005763,7.623012,[91  1] ; [84 10],[86.55913978  5.44086022] ; [88.44086022  5.55913978],0
a6,1,0.008053,7.021731,[68 24] ; [52 42],[59.35483871 32.64516129] ; [60.64516129 33.35483871],0
r2,1,0.00958,6.711288,[86  4] ; [78 15],[80.6557377  9.3442623] ; [83.3442623  9.6557377],0
a3,1,0.025144,5.013967,[66 26] ; [52 41],[58.68108108 33.31891892] ; [59.31891892 33.68108108],0
a5,1,0.027851,4.837287,[67 25] ; [54 40],[59.84946237 32.15053763] ; [61.15053763 32.84946237],0
r1,1,0.028978,4.768902,[73 18] ; [62 32],[66.40540541 24.59459459] ; [68.59459459 25.40540541],0
n2,1,0.050186,3.835227,[18  4] ; [18 14],[14.66666667  7.33333333] ; [21.33333333 10.66666667],0
u1,1,0.051827,3.781341,[14 78] ; [ 6 88],[ 9.89247312 82.10752688] ; [10.10752688 83.89247312],0
a2,1,0.059808,3.542708,[19 73] ; [10 84],[14.34408602 77.65591398] ; [14.65591398 79.34408602],0
r4,1,0.088149,2.907863,[81 11] ; [74 20],[76.66666667 15.33333333] ; [78.33333333 15.66666667],0
n6,1,0.090159,2.871528,[65 26] ; [56 38],[59.51891892 31.48108108] ; [61.48108108 32.51891892],0
d4,1,0.114076,2.496832,[78 14] ; [71 23],[73.69892473 18.30107527] ; [75.30107527 18.69892473],0
p12,1,0.143886,2.1359,[ 6 86] ; [ 2 91],[ 3.97837838 88.02162162] ; [ 4.02162162 88.97837838],0
n3,1,0.181616,1.784354,[20  3] ; [23  9],[17.98181818  5.01818182] ; [25.01818182  6.98181818],0
d2,1,0.187593,1.736417,[41 51] ; [33 61],[36.60215054 55.39784946] ; [37.39784946 56.60215054],0
s4,1,0.189612,1.720629,[12 80] ; [19 75],[15.33333333 76.66666667] ; [15.66666667 78.33333333],0
u3,1,0.197315,1.662139,[13 13] ; [27 14],[15.52238806 10.47761194] ; [24.47761194 16.52238806],0
b3,1,0.29386,1.101852,[17 34] ; [13 41],[14.57142857 36.42857143] ; [15.42857143 38.57142857],0
b2,1,0.29386,1.101852,[17 34] ; [13 41],[14.57142857 36.42857143] ; [15.42857143 38.57142857],0
