Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.166667,[22 28] ; [86 14],[36. 14.] ; [72. 28.],1
v3,1,0.00104,10.754086,[ 5 46] ; [34 64],[13.34899329 37.65100671] ; [25.65100671 72.34899329],0
n6,1,0.004362,8.126479,[29 22] ; [79 21],[36.47682119 14.52317881] ; [71.52317881 28.47682119],0
a6,1,0.007493,7.150722,[21 30] ; [64 36],[28.70860927 22.29139073] ; [56.29139073 43.70860927],0
r1,1,0.011633,6.366007,[22 29] ; [64 35],[29.24 21.76] ; [56.76 42.24],0
a4,1,0.02037,5.379871,[ 6 45] ; [28 70],[11.63758389 39.36241611] ; [22.36241611 75.63758389],0
v1,1,0.030142,4.701187,[16 35] ; [48 48],[22.20408163 28.79591837] ; [41.79591837 54.20408163],0
n1,1,0.052489,3.760105,[ 6 18] ; [13 12],[ 9.30612245 14.69387755] ; [ 9.69387755 15.30612245],0
b1,1,0.060827,3.514703,[27 24] ; [37 63],[21.61589404 29.38410596] ; [42.38410596 57.61589404],0
a5,1,0.066552,3.366074,[20 31] ; [55 45],[25.33112583 25.66887417] ; [49.66887417 50.33112583],0
p3,1,0.119862,2.419128,[15 36] ; [42 57],[19.38 31.62] ; [37.62 61.38],0
n3,1,0.133277,2.253913,[21  4] ; [15  8],[18.75  6.25] ; [17.25  5.75],0
p1,1,0.135557,2.227685,[ 3 48] ; [14 86],[ 5.74172185 45.25827815] ; [11.25827815 88.74172185],0
b4,1,0.13687,2.212801,[20 31] ; [52 48],[24.31788079 26.68211921] ; [47.68211921 52.31788079],0
a2,1,0.142496,2.150794,[ 2 49] ; [11 89],[ 4.39072848 46.60927152] ; [ 8.60927152 91.39072848],0
s3,1,0.156949,2.003379,[18 33] ; [46 51],[22.05405405 28.94594595] ; [41.94594595 55.05405405],0
d3,1,0.214523,1.540634,[10 39] ; [30 70],[13.15436242 35.84563758] ; [26.84563758 73.15436242],0
s2,1,0.23663,1.400557,[17 34] ; [24 75],[13.94 37.06] ; [27.06 71.94],0
r2,1,0.247582,1.336898,[40 11] ; [85 14],[42.5  8.5] ; [82.5 16.5],0
s6,1,0.25355,1.303637,[19 32] ; [47 53],[22.29139073 28.70860927] ; [43.70860927 56.29139073],0
p11,1,0.255106,1.295123,[31 20] ; [70 30],[34.11258278 16.88741722] ; [66.88741722 33.11258278],0
b2,1,0.264221,1.246506,[ 4 21] ; [19 51],[ 6.05263158 18.94736842] ; [16.94736842 53.05263158],0
b3,1,0.264221,1.246506,[ 4 21] ; [19 51],[ 6.05263158 18.94736842] ; [16.94736842 53.05263158],0
r4,1,0.279776,1.168178,[34 17] ; [75 25],[36.81456954 14.18543046] ; [72.18543046 27.81456954],0
u3,1,0.284018,1.14776,[14 15] ; [18 32],[11.74683544 17.25316456] ; [20.25316456 29.74683544],0
u2,1,0.284018,1.14776,[14 15] ; [18 32],[11.74683544 17.25316456] ; [20.25316456 29.74683544],0
s1,1,0.333798,0.934107,[ 4 47] ; [ 4 94],[ 2.73825503 48.26174497] ; [ 5.26174497 92.73825503],0
a3,1,0.360901,0.834755,[22 29] ; [50 48],[24.6442953 26.3557047] ; [47.3557047 50.6442953],0
a1,1,0.365877,0.817619,[ 1 50] ; [ 5 95],[ 2.02649007 48.97350993] ; [ 3.97350993 96.02649007],0
b5,1,0.400533,0.706727,[28 23] ; [62 38],[30.39735099 20.60264901] ; [59.60264901 40.39735099],0
r3,1,0.4169,0.659039,[43  8] ; [78 21],[41.14  9.86] ; [79.86 19.14],0
p2,1,0.417937,0.656108,[34 17] ; [73 27],[36.13907285 14.86092715] ; [70.86092715 29.13907285],0
p10,1,0.447693,0.576487,[30 20] ; [65 33],[32.09459459 17.90540541] ; [62.90540541 35.09459459],0
v2,1,0.505428,0.443521,[16 33] ; [36 58],[17.81818182 31.18181818] ; [34.18181818 59.81818182],0
a7,1,0.561468,0.33717,[26 24] ; [57 43],[27.66666667 22.33333333] ; [55.33333333 44.66666667],0
d5,1,0.561995,0.336263,[21 29] ; [47 53],[22.66666667 27.33333333] ; [45.33333333 54.66666667],0
p4,1,0.572593,0.318363,[21 30] ; [46 54],[22.62913907 28.37086093] ; [44.37086093 55.62913907],0
p8,1,0.65355,0.201454,[18 32] ; [39 59],[19.25675676 30.74324324] ; [37.74324324 60.25675676],0
s4,1,0.669236,0.182497,[ 8 43] ; [13 86],[ 7.14 43.86] ; [13.86 85.14],0
p9,1,0.675415,0.175333,[33 17] ; [68 30],[34.12162162 15.87837838] ; [66.87837838 31.12162162],0
a8,1,0.68145,0.168499,[ 4 46] ; [ 9 80],[ 4.67625899 45.32374101] ; [ 8.32374101 80.67625899],0
s7,1,0.728311,0.120668,[13 37] ; [27 67],[13.88888889 36.11111111] ; [26.11111111 67.88888889],0
d2,1,0.737731,0.112131,[11 40] ; [24 76],[11.82119205 39.17880795] ; [23.17880795 76.82119205],0
p6,1,0.793075,0.068811,[11 40] ; [23 75],[11.63758389 39.36241611] ; [22.36241611 75.63758389],0
v4,1,0.796366,0.066591,[44  7] ; [83 15],[43.46979866  7.53020134] ; [83.53020134 14.46979866],0
p7,1,0.823835,0.049557,[27 24] ; [50 48],[26.3557047 24.6442953] ; [50.6442953 47.3557047],0
s8,1,0.848453,0.036516,[14 37] ; [26 74],[13.50993377 37.49006623] ; [26.49006623 73.50993377],0
p5,1,1.0,0.0,[ 2 48] ; [ 4 96],[ 2. 48.] ; [ 4. 96.],0
n2,1,1.0,0.0,[17  8] ; [17  8],[17.  8.] ; [17.  8.],0
